Frequency (Hz)	Level (dB)
0.488281	-93.356468
0.976562	-92.579308
1.464844	-92.594467
1.953125	-93.297081
2.441406	-93.720085
2.929688	-92.638382
3.417969	-93.246513
3.906250	-92.047562
4.394531	-92.549454
4.882812	-93.867714
5.371094	-92.321465
5.859375	-92.963257
6.347656	-91.909264
6.835938	-90.889610
7.324219	-93.627907
7.812500	-92.115242
8.300781	-93.192757
8.789062	-92.731171
9.277344	-92.035606
9.765625	-91.555168
10.253906	-91.674011
10.742188	-89.639931
11.230469	-90.283554
11.718750	-89.116379
12.207031	-90.777771
12.695312	-89.638763
13.183594	-88.676216
13.671875	-91.369087
14.160156	-89.332741
14.648438	-91.985146
15.136719	-92.916985
15.625000	-90.216858
16.113281	-88.717888
16.601562	-88.296463
17.089844	-89.521416
17.578125	-88.717491
18.066406	-87.424347
18.554688	-87.741806
19.042969	-88.927818
19.531250	-87.165810
20.019531	-89.086845
20.507812	-89.410698
20.996094	-89.428238
21.484375	-89.043900
21.972656	-87.483078
22.460938	-85.565788
22.949219	-85.262070
23.437500	-86.796158
23.925781	-86.466110
24.414062	-86.381821
24.902344	-85.643875
25.390625	-87.500008
25.878906	-87.043991
26.367188	-84.057465
26.855469	-84.909813
27.343750	-86.317223
27.832031	-86.103180
28.320312	-84.936523
28.808594	-87.908440
29.296875	-86.621048
29.785156	-84.297531
30.273438	-86.533821
30.761719	-87.854759
31.250000	-85.965523
31.738281	-84.732430
32.226562	-86.261780
32.714844	-85.017822
33.203125	-85.859001
33.691406	-87.480957
34.179688	-85.871872
34.667969	-85.745750
35.156250	-86.086563
35.644531	-84.199463
36.132812	-85.508659
36.621094	-84.850914
37.109375	-84.284653
37.597656	-84.652893
38.085938	-85.808342
38.574219	-85.387413
39.062500	-84.834412
39.550781	-84.382439
40.039062	-84.453316
40.527344	-85.070343
41.015625	-86.238388
41.503906	-86.186295
41.992188	-85.100090
42.480469	-85.598717
42.968750	-84.831146
43.457031	-84.860916
43.945312	-84.359001
44.433594	-83.379242
44.921875	-87.067215
45.410156	-85.426308
45.898438	-85.285896
46.386719	-85.008530
46.875000	-83.728516
