Frequency (Hz)	Level (dB)
0.488281	-93.896469
0.976562	-93.249840
1.464844	-93.576912
1.953125	-93.972008
2.441406	-94.272980
2.929688	-93.444305
3.417969	-93.944710
3.906250	-93.397789
4.394531	-94.361549
4.882812	-94.645325
5.371094	-93.292709
5.859375	-93.749382
6.347656	-92.660393
6.835938	-93.088104
7.324219	-93.150902
7.812500	-92.678291
8.300781	-94.030922
8.789062	-92.447472
9.277344	-94.728004
9.765625	-91.241867
10.253906	-91.334862
10.742188	-92.985504
11.230469	-88.844841
11.718750	-89.125069
12.207031	-89.294975
12.695312	-90.253029
13.183594	-89.761383
13.671875	-90.018646
14.160156	-90.568611
14.648438	-90.475471
15.136719	-92.255630
15.625000	-90.037132
16.113281	-89.417427
16.601562	-88.880486
17.089844	-88.913361
17.578125	-91.236603
18.066406	-90.084412
18.554688	-88.156685
19.042969	-90.423752
19.531250	-90.392860
20.019531	-89.332771
20.507812	-87.500755
20.996094	-88.254585
21.484375	-87.921654
21.972656	-88.538445
22.460938	-86.370834
22.949219	-87.138420
23.437500	-87.172852
23.925781	-86.812943
24.414062	-86.898735
24.902344	-87.536583
25.390625	-88.281387
25.878906	-86.648865
26.367188	-84.953537
26.855469	-86.520218
27.343750	-86.057602
27.832031	-86.985825
28.320312	-87.246445
28.808594	-86.043045
29.296875	-87.759026
29.785156	-84.627518
30.273438	-89.024750
30.761719	-86.868134
31.250000	-87.074516
31.738281	-86.377525
32.226562	-85.917633
32.714844	-87.034370
33.203125	-87.788437
33.691406	-86.377792
34.179688	-87.624397
34.667969	-85.193291
35.156250	-87.533180
35.644531	-86.892174
36.132812	-86.436401
36.621094	-85.369293
37.109375	-85.571312
37.597656	-85.143944
38.085938	-84.341080
38.574219	-84.564606
39.062500	-84.691452
39.550781	-86.651337
40.039062	-84.131416
40.527344	-85.552078
41.015625	-86.466980
41.503906	-85.501083
41.992188	-84.436272
42.480469	-85.259415
42.968750	-83.956299
43.457031	-85.208908
43.945312	-83.073540
44.433594	-83.793976
44.921875	-86.580605
45.410156	-83.339958
45.898438	-84.611877
46.386719	-84.462181
46.875000	-86.252602
47.363281	-82.874992
47.851562	-83.079407
48.339844	-82.261574
48.828125	-83.341530
49.316406	-83.685379
49.804688	-83.178741
50.292969	-82.427681
50.781250	-81.510834
51.269531	-83.041679
51.757812	-82.838013
52.246094	-82.655724
52.734375	-84.790947
53.222656	-82.842651
53.710938	-80.883072
54.199219	-82.210503
54.687500	-81.325401
55.175781	-83.001884
55.664062	-81.419556
56.152344	-79.930428
56.640625	-80.314400
57.128906	-80.954987
57.617188	-80.368591
58.105469	-79.882133
58.593750	-79.961067
59.082031	-80.158310
59.570312	-81.084335
60.058594	-80.841858
60.546875	-82.173302
61.035156	-79.307274
61.523438	-79.561844
62.011719	-80.401550
62.500000	-79.802078
62.988281	-78.617455
63.476562	-79.038536
63.964844	-79.280876
64.453125	-80.002258
64.941406	-79.240334
65.429688	-79.689857
65.917969	-80.226402
66.406250	-80.618492
66.894531	-81.026382
67.382812	-81.642624
67.871094	-80.752007
68.359375	-81.456680
68.847656	-81.041916
69.335938	-80.161194
69.824219	-80.327278
70.312500	-79.769135
70.800781	-80.195587
71.289062	-80.039986
71.777344	-79.808701
72.265625	-81.422592
72.753906	-80.570122
73.242188	-79.610832
73.730469	-79.308548
74.218750	-78.763809
74.707031	-78.164467
75.195312	-79.513481
75.683594	-79.535103
76.171875	-81.644562
76.660156	-80.720100
77.148438	-79.400024
77.636719	-78.461243
78.125000	-79.624954
78.613281	-80.402260
79.101562	-79.799652
79.589844	-81.648148
80.078125	-81.847076
80.566406	-79.445007
81.054688	-79.329109
81.542969	-79.420746
82.031250	-78.934128
82.519531	-80.081863
83.007812	-78.154335
83.496094	-77.942459
83.984375	-78.571106
84.472656	-79.661827
84.960938	-76.492867
85.449219	-79.991478
85.937500	-78.544205
86.425781	-78.189384
86.914062	-78.966957
87.402344	-78.622726
87.890625	-77.923698
88.378906	-78.168777
88.867188	-78.541084
89.355469	-78.527733
89.843750	-76.980118
90.332031	-78.985420
90.820312	-78.771393
91.308594	-78.343842
91.796875	-79.592674
92.285156	-79.150383
92.773438	-78.331322
93.261719	-79.348343
93.750000	-79.748276
94.238281	-78.205734
94.726562	-78.651703
95.214844	-78.730263
95.703125	-77.851921
96.191406	-78.367584
96.679688	-78.127769
97.167969	-78.634537
97.656250	-79.188530
98.144531	-78.545914
98.632812	-78.936470
99.121094	-79.651596
99.609375	-80.495903
100.097656	-80.279091
100.585938	-78.629028
101.074219	-78.052071
101.562500	-78.936028
102.050781	-78.886055
102.539062	-78.578575
103.027344	-78.549324
103.515625	-77.916077
104.003906	-79.521362
104.492188	-77.947014
104.980469	-76.961655
105.468750	-76.101944
105.957031	-78.283096
106.445312	-78.687340
106.933594	-79.765739
107.421875	-79.337448
107.910156	-78.747162
108.398438	-76.547615
108.886719	-78.794731
109.375000	-77.259537
109.863281	-78.079903
110.351562	-78.634293
110.839844	-79.029854
111.328125	-77.038689
111.816406	-78.603142
112.304688	-77.731758
112.792969	-78.545097
113.281250	-78.121643
113.769531	-77.505188
114.257812	-75.906860
114.746094	-78.304916
115.234375	-77.600952
115.722656	-76.390533
116.210938	-78.990166
116.699219	-77.829147
117.187500	-77.559189
117.675781	-77.775864
118.164062	-77.371460
118.652344	-76.244179
119.140625	-78.990417
119.628906	-77.175163
120.117188	-74.874504
120.605469	-74.145935
121.093750	-75.411713
121.582031	-78.139793
122.070312	-77.909332
122.558594	-77.095703
123.046875	-76.997704
123.535156	-77.186905
124.023438	-77.348938
124.511719	-76.889771
125.000000	-77.471306
125.488281	-77.841988
125.976562	-77.179886
126.464844	-77.858810
126.953125	-76.897446
127.441406	-76.699295
127.929688	-76.182793
128.417969	-77.049316
128.906250	-77.838242
129.394531	-77.963692
129.882812	-76.629715
130.371094	-77.505692
130.859375	-79.515854
131.347656	-77.872452
131.835938	-77.979965
132.324219	-78.398636
132.812500	-75.974060
133.300781	-76.807281
133.789062	-74.634537
134.277344	-77.456581
134.765625	-77.292038
135.253906	-76.028793
135.742188	-77.212944
136.230469	-77.393478
136.718750	-77.667213
137.207031	-76.139328
137.695312	-76.528046
138.183594	-75.456154
138.671875	-76.318886
139.160156	-75.818329
139.648438	-76.758820
140.136719	-77.498329
140.625000	-75.858971
141.113281	-76.096901
141.601562	-76.275620
142.089844	-77.455200
142.578125	-76.751411
143.066406	-75.310242
143.554688	-77.809479
144.042969	-75.099991
144.531250	-76.363861
145.019531	-77.045464
145.507812	-76.242004
145.996094	-76.324478
146.484375	-77.123596
146.972656	-78.094803
147.460938	-75.744804
147.949219	-78.107849
148.437500	-79.594521
148.925781	-76.796814
149.414062	-76.149467
149.902344	-75.452225
150.390625	-76.437515
150.878906	-75.664490
151.367188	-75.364227
151.855469	-76.870010
152.343750	-75.645981
152.832031	-75.726067
153.320312	-75.792313
153.808594	-75.895248
154.296875	-76.519859
154.785156	-75.759987
155.273438	-75.584282
155.761719	-76.762062
156.250000	-75.463394
156.738281	-77.535027
157.226562	-76.766510
157.714844	-76.211159
158.203125	-76.058037
158.691406	-74.912430
159.179688	-75.457481
159.667969	-74.971107
160.156250	-75.027954
160.644531	-75.839874
161.132812	-76.693611
161.621094	-76.497414
162.109375	-74.692047
162.597656	-77.716530
163.085938	-76.323479
163.574219	-76.837410
164.062500	-77.917839
164.550781	-74.894981
165.039062	-74.517899
165.527344	-74.997734
166.015625	-75.436089
166.503906	-76.813278
166.992188	-75.883461
167.480469	-74.908569
167.968750	-77.148697
168.457031	-75.139061
168.945312	-74.856865
169.433594	-76.886238
169.921875	-75.774239
170.410156	-76.376854
170.898438	-75.963028
171.386719	-76.584099
171.875000	-75.207527
172.363281	-75.201935
172.851562	-75.145645
173.339844	-74.451996
173.828125	-75.956932
174.316406	-76.128265
174.804688	-74.730675
175.292969	-75.029274
175.781250	-73.357445
176.269531	-74.447540
176.757812	-76.051117
177.246094	-75.830894
177.734375	-75.360016
178.222656	-75.086029
178.710938	-74.936348
179.199219	-74.808464
179.687500	-73.195915
180.175781	-74.767487
180.664062	-75.017174
181.152344	-74.873398
181.640625	-76.159370
182.128906	-74.420509
182.617188	-73.716797
183.105469	-74.484474
183.593750	-74.094940
184.082031	-75.294174
184.570312	-73.804237
185.058594	-73.351723
185.546875	-75.364281
186.035156	-74.968437
186.523438	-74.963264
187.011719	-73.632011
187.500000	-74.255890
187.988281	-73.716606
188.476562	-73.362907
188.964844	-75.716156
189.453125	-72.403671
189.941406	-74.741447
190.429688	-76.414040
190.917969	-74.398773
191.406250	-73.969643
191.894531	-74.631073
192.382812	-74.828484
192.871094	-75.059746
193.359375	-75.400848
193.847656	-74.311691
194.335938	-72.348412
194.824219	-73.076759
195.312500	-73.787636
195.800781	-73.580978
196.289062	-74.255363
196.777344	-72.646332
197.265625	-73.978477
197.753906	-75.032936
198.242188	-72.620270
198.730469	-73.281944
199.218750	-74.451485
199.707031	-72.535675
200.195312	-73.027466
200.683594	-74.053452
201.171875	-72.850502
201.660156	-73.286453
202.148438	-71.979774
202.636719	-73.889725
203.125000	-70.731384
203.613281	-73.896980
204.101562	-73.322731
204.589844	-73.107254
205.078125	-72.461723
205.566406	-72.644760
206.054688	-72.487816
206.542969	-72.170807
207.031250	-72.744949
207.519531	-73.198769
208.007812	-70.480499
208.496094	-71.768509
208.984375	-72.400764
209.472656	-72.183990
209.960938	-71.666916
210.449219	-72.381508
210.937500	-72.630508
211.425781	-70.189598
211.914062	-71.934578
212.402344	-72.382744
212.890625	-71.110306
213.378906	-71.532295
213.867188	-72.839874
214.355469	-72.432968
214.843750	-72.560509
215.332031	-71.438072
215.820312	-69.640343
216.308594	-72.413338
216.796875	-72.123520
217.285156	-70.787033
217.773438	-71.925819
218.261719	-69.872643
218.750000	-69.549271
219.238281	-70.635796
219.726562	-71.731087
220.214844	-70.610977
220.703125	-71.986359
221.191406	-71.286644
221.679688	-71.190369
222.167969	-71.297066
222.656250	-70.633606
223.144531	-70.699097
223.632812	-69.709610
224.121094	-69.844978
224.609375	-69.424759
225.097656	-69.259827
225.585938	-69.971947
226.074219	-70.393127
226.562500	-70.231705
227.050781	-69.462448
227.539062	-70.681038
228.027344	-70.963737
228.515625	-69.408440
229.003906	-69.524414
229.492188	-71.904091
229.980469	-68.457863
230.468750	-70.069450
230.957031	-69.331383
231.445312	-70.222870
231.933594	-69.862671
232.421875	-69.872849
232.910156	-69.363945
233.398438	-68.453499
233.886719	-69.957695
234.375000	-68.552910
234.863281	-69.698830
235.351562	-68.819107
235.839844	-70.497963
236.328125	-70.444901
236.816406	-68.046867
237.304688	-68.510231
237.792969	-68.806534
238.281250	-68.693420
238.769531	-67.691284
239.257812	-68.571335
239.746094	-67.433655
240.234375	-68.677811
240.722656	-68.492363
241.210938	-68.637604
241.699219	-70.231392
242.187500	-68.932533
242.675781	-67.744827
243.164062	-67.762459
243.652344	-67.239944
244.140625	-67.985947
244.628906	-69.130157
245.117188	-67.323387
245.605469	-67.461494
246.093750	-68.759010
246.582031	-66.803383
247.070312	-66.689919
247.558594	-67.050880
248.046875	-67.014168
248.535156	-67.120689
249.023438	-65.522224
249.511719	-66.054527
250.000000	-67.266907
250.488281	-66.619774
250.976562	-67.632179
251.464844	-66.444916
251.953125	-65.321152
252.441406	-66.082909
252.929688	-64.683037
253.417969	-64.885956
253.906250	-65.915794
254.394531	-65.714142
254.882812	-65.302765
255.371094	-65.153542
255.859375	-65.088730
256.347656	-65.750694
256.835938	-64.907730
257.324219	-66.106461
257.812500	-64.963356
258.300781	-65.404739
258.789062	-64.208633
259.277344	-64.871666
259.765625	-63.469936
260.253906	-62.457069
260.742188	-63.932617
261.230469	-62.513565
261.718750	-62.461300
262.207031	-63.128239
262.695312	-63.055588
263.183594	-64.721352
263.671875	-63.235950
264.160156	-62.996971
264.648438	-62.395756
265.136719	-62.420311
265.625000	-61.939484
266.113281	-63.658741
266.601562	-61.193050
267.089844	-62.097603
267.578125	-62.577156
268.066406	-63.810097
268.554688	-62.888451
269.042969	-60.254436
269.531250	-62.103935
270.019531	-62.608307
270.507812	-59.965420
270.996094	-61.717560
271.484375	-60.816895
271.972656	-61.425133
272.460938	-61.614136
272.949219	-60.683777
273.437500	-60.247005
273.925781	-60.263664
274.414062	-59.565331
274.902344	-58.403767
275.390625	-58.867050
275.878906	-59.111298
276.367188	-60.388908
276.855469	-59.286129
277.343750	-58.625191
277.832031	-60.126278
278.320312	-58.267139
278.808594	-59.454639
279.296875	-58.944923
279.785156	-59.760349
280.273438	-58.935184
280.761719	-56.949135
281.250000	-58.206146
281.738281	-56.295856
282.226562	-57.770214
282.714844	-57.197430
283.203125	-56.864277
283.691406	-58.084431
284.179688	-57.938725
284.667969	-56.968845
285.156250	-56.897209
285.644531	-57.290604
286.132812	-57.003082
286.621094	-58.158897
287.109375	-56.340199
287.597656	-59.623604
288.085938	-57.190971
288.574219	-57.750763
289.062500	-59.043438
289.550781	-58.135612
290.039062	-58.641449
290.527344	-59.157307
291.015625	-60.396927
291.503906	-60.490368
291.992188	-59.066483
292.480469	-57.768612
292.968750	-59.580540
293.457031	-57.457264
293.945312	-57.881176
294.433594	-58.979679
294.921875	-58.357098
295.410156	-60.073154
295.898438	-58.791351
296.386719	-58.985104
296.875000	-58.812370
297.363281	-59.409218
297.851562	-58.838863
298.339844	-60.046471
298.828125	-59.820511
299.316406	-58.661434
299.804688	-59.909039
300.292969	-61.287327
300.781250	-59.107456
301.269531	-61.198090
301.757812	-60.486698
302.246094	-63.181572
302.734375	-60.606750
303.222656	-60.504158
303.710938	-62.853207
304.199219	-62.726414
304.687500	-62.144180
305.175781	-60.276814
305.664062	-61.284111
306.152344	-62.350346
306.640625	-62.463360
307.128906	-61.476532
307.617188	-62.303699
308.105469	-61.234188
308.593750	-64.217148
309.082031	-62.633064
309.570312	-60.877647
310.058594	-63.063972
310.546875	-63.547947
311.035156	-62.567848
311.523438	-64.235291
312.011719	-63.465343
312.500000	-62.875114
312.988281	-61.539024
313.476562	-64.236259
313.964844	-64.825630
314.453125	-62.835873
314.941406	-64.684990
315.429688	-63.534302
315.917969	-65.167084
316.406250	-64.038284
316.894531	-64.091934
317.382812	-64.706444
317.871094	-63.682575
318.359375	-64.863167
318.847656	-65.024788
319.335938	-66.097649
319.824219	-66.459190
320.312500	-64.926781
320.800781	-66.118408
321.289062	-64.947121
321.777344	-65.448341
322.265625	-65.598274
322.753906	-67.181419
323.242188	-66.084740
323.730469	-64.665489
324.218750	-64.696007
324.707031	-66.045410
325.195312	-64.520180
325.683594	-66.459969
326.171875	-65.687424
326.660156	-65.279976
327.148438	-65.876877
327.636719	-67.622810
328.125000	-66.780869
328.613281	-67.328964
329.101562	-68.023270
329.589844	-67.413780
330.078125	-66.745934
330.566406	-67.822205
331.054688	-65.021416
331.542969	-66.560539
332.031250	-67.245148
332.519531	-67.402481
333.007812	-69.190483
333.496094	-68.285675
333.984375	-68.139450
334.472656	-69.203529
334.960938	-68.119675
335.449219	-68.006096
335.937500	-67.182129
336.425781	-67.064003
336.914062	-68.313087
337.402344	-69.025124
337.890625	-66.657562
338.378906	-65.787788
338.867188	-66.575203
339.355469	-67.013893
339.843750	-67.118790
340.332031	-69.081703
340.820312	-67.691628
341.308594	-69.878372
341.796875	-69.053566
342.285156	-67.902786
342.773438	-68.940147
343.261719	-66.882050
343.750000	-69.735413
344.238281	-70.289291
344.726562	-67.489891
345.214844	-68.145821
345.703125	-69.709190
346.191406	-69.701042
346.679688	-69.863586
347.167969	-70.424187
347.656250	-71.355484
348.144531	-69.316154
348.632812	-69.783073
349.121094	-69.538086
349.609375	-70.095047
350.097656	-71.338394
350.585938	-69.416359
351.074219	-70.874855
351.562500	-69.000153
352.050781	-70.007027
352.539062	-68.981712
353.027344	-68.516525
353.515625	-68.219826
354.003906	-68.865768
354.492188	-69.332130
354.980469	-71.445633
355.468750	-71.557281
355.957031	-69.240646
356.445312	-70.566696
356.933594	-70.795586
357.421875	-70.368950
357.910156	-70.798019
358.398438	-68.963425
358.886719	-70.417526
359.375000	-73.072815
359.863281	-69.700157
360.351562	-69.627731
360.839844	-69.184296
361.328125	-69.738464
361.816406	-69.212112
362.304688	-71.944511
362.792969	-69.259758
363.281250	-71.135231
363.769531	-69.576958
364.257812	-70.605827
364.746094	-70.490181
365.234375	-71.568253
365.722656	-70.230644
366.210938	-69.807228
366.699219	-71.852242
367.187500	-70.078262
367.675781	-69.690178
368.164062	-71.665581
368.652344	-71.023949
369.140625	-70.601509
369.628906	-69.412689
370.117188	-71.589035
370.605469	-70.745270
371.093750	-71.452911
371.582031	-69.212563
372.070312	-69.379463
372.558594	-70.628212
373.046875	-71.393326
373.535156	-71.155273
374.023438	-72.508354
374.511719	-71.440819
375.000000	-73.509369
375.488281	-71.274673
375.976562	-70.987869
376.464844	-72.625008
376.953125	-71.348282
377.441406	-70.418785
377.929688	-70.209274
378.417969	-71.571564
378.906250	-71.278198
