Frequency (Hz)	Level (dB)
0.488281	-101.729507
0.976562	-101.695549
1.464844	-101.980431
1.953125	-101.687218
2.441406	-101.259895
2.929688	-100.592316
3.417969	-100.542953
3.906250	-98.585236
4.394531	-98.992699
4.882812	-99.679100
5.371094	-98.428261
5.859375	-95.849937
6.347656	-96.157616
6.835938	-94.644264
7.324219	-95.145798
7.812500	-96.372704
8.300781	-95.845726
8.789062	-92.255135
9.277344	-93.490768
9.765625	-92.382790
10.253906	-92.492111
10.742188	-90.888420
11.230469	-89.038261
11.718750	-88.470139
12.207031	-90.098579
12.695312	-88.283630
13.183594	-88.708923
13.671875	-88.304253
14.160156	-89.071175
14.648438	-89.712082
15.136719	-88.463051
15.625000	-87.230888
16.113281	-89.107491
16.601562	-89.188522
17.089844	-90.967766
17.578125	-90.911560
18.066406	-88.926300
18.554688	-85.037140
19.042969	-89.661621
19.531250	-87.971924
20.019531	-89.881172
20.507812	-87.166359
20.996094	-86.418877
21.484375	-86.632019
21.972656	-87.781174
22.460938	-83.483040
22.949219	-85.902916
23.437500	-86.355560
23.925781	-85.647758
24.414062	-84.020515
24.902344	-83.124893
25.390625	-84.366905
25.878906	-83.843155
26.367188	-83.460503
26.855469	-82.841576
27.343750	-82.949409
27.832031	-82.284340
28.320312	-82.432518
28.808594	-82.853767
29.296875	-82.669792
29.785156	-79.549774
30.273438	-81.277588
30.761719	-80.840988
31.250000	-81.323418
31.738281	-79.599998
32.226562	-80.013245
32.714844	-80.682716
33.203125	-80.258652
33.691406	-81.427864
34.179688	-78.897751
34.667969	-80.197380
35.156250	-78.262543
35.644531	-78.860939
36.132812	-78.322701
36.621094	-80.113434
37.109375	-78.511932
37.597656	-77.314240
38.085938	-75.557625
38.574219	-78.936882
39.062500	-77.200790
39.550781	-77.009186
40.039062	-77.049225
40.527344	-77.329285
41.015625	-78.170952
41.503906	-76.644875
41.992188	-76.408539
42.480469	-77.265839
42.968750	-76.030197
43.457031	-74.945534
43.945312	-75.765259
44.433594	-75.488503
44.921875	-74.871490
45.410156	-75.489563
45.898438	-74.689377
46.386719	-75.884003
46.875000	-74.432175
47.363281	-73.651474
47.851562	-74.251518
48.339844	-74.055740
48.828125	-75.673576
49.316406	-73.657082
49.804688	-74.356430
50.292969	-74.534477
50.781250	-73.823555
51.269531	-74.269768
51.757812	-74.138763
52.246094	-74.789314
52.734375	-73.355949
53.222656	-75.109894
53.710938	-75.192245
54.199219	-74.615768
54.687500	-72.215431
55.175781	-74.026260
55.664062	-73.394684
56.152344	-73.136665
56.640625	-74.150154
57.128906	-75.260551
57.617188	-73.619194
58.105469	-76.055534
58.593750	-74.069199
59.082031	-73.518074
59.570312	-74.564301
60.058594	-72.717087
60.546875	-73.373001
61.035156	-73.591888
61.523438	-73.790428
62.011719	-73.567070
62.500000	-72.752121
62.988281	-72.444618
63.476562	-74.799950
63.964844	-74.072075
64.453125	-72.172760
64.941406	-74.056107
65.429688	-73.686874
65.917969	-73.841705
66.406250	-73.018311
66.894531	-74.430855
67.382812	-72.297729
67.871094	-72.984825
68.359375	-72.827827
68.847656	-73.952705
69.335938	-73.404022
69.824219	-73.456635
70.312500	-73.104965
70.800781	-72.595116
71.289062	-73.412460
71.777344	-76.079376
72.265625	-75.643669
72.753906	-75.822197
73.242188	-72.959396
73.730469	-74.324867
74.218750	-71.307617
74.707031	-72.868149
75.195312	-73.309822
75.683594	-73.505730
76.171875	-75.796356
76.660156	-74.321388
77.148438	-74.915871
77.636719	-75.372688
78.125000	-75.489037
78.613281	-73.028755
79.101562	-72.020966
79.589844	-73.179398
80.078125	-73.388962
80.566406	-72.106323
81.054688	-75.580093
81.542969	-72.525146
82.031250	-73.888908
82.519531	-72.108765
83.007812	-73.468674
83.496094	-73.429375
83.984375	-74.095360
84.472656	-73.229134
84.960938	-74.211060
85.449219	-72.823387
85.937500	-73.577415
86.425781	-75.754486
86.914062	-73.949333
87.402344	-74.622643
87.890625	-74.297546
88.378906	-74.104889
88.867188	-73.118279
89.355469	-72.169060
89.843750	-73.567741
90.332031	-72.251442
90.820312	-74.438019
91.308594	-72.085472
91.796875	-75.532516
92.285156	-74.731270
92.773438	-74.186203
93.261719	-73.747955
93.750000	-74.453735
