Frequency (Hz)	Level (dB)
0.488281	-98.887611
0.976562	-99.758034
1.464844	-99.571068
1.953125	-98.732513
2.441406	-98.519539
2.929688	-97.320671
3.417969	-97.095695
3.906250	-95.850906
4.394531	-99.883850
4.882812	-97.866600
5.371094	-98.185661
5.859375	-96.940643
6.347656	-96.077492
6.835938	-94.354599
7.324219	-93.812637
7.812500	-94.943901
8.300781	-98.705032
8.789062	-92.532509
9.277344	-91.485268
9.765625	-93.069351
10.253906	-97.489151
10.742188	-94.656342
11.230469	-92.503265
11.718750	-90.480019
12.207031	-90.246178
12.695312	-86.716171
13.183594	-93.765533
13.671875	-93.169792
14.160156	-88.508354
14.648438	-97.644707
15.136719	-91.603737
15.625000	-90.246323
16.113281	-86.704559
16.601562	-87.989342
17.089844	-94.414635
17.578125	-89.892334
18.066406	-86.422997
18.554688	-87.024254
19.042969	-90.348709
19.531250	-90.155876
20.019531	-90.558640
20.507812	-89.654968
20.996094	-89.604347
21.484375	-86.240791
21.972656	-84.693336
22.460938	-85.778236
22.949219	-85.716125
23.437500	-84.144836
23.925781	-88.473099
24.414062	-86.071358
24.902344	-81.458031
25.390625	-84.767815
25.878906	-82.111237
26.367188	-85.103157
26.855469	-84.756752
27.343750	-79.915077
27.832031	-84.630791
28.320312	-85.146080
28.808594	-84.072365
29.296875	-85.945396
29.785156	-79.280586
30.273438	-84.159004
30.761719	-84.282997
31.250000	-82.962456
31.738281	-81.015793
32.226562	-86.981903
32.714844	-81.563667
33.203125	-90.295624
33.691406	-81.210930
34.179688	-85.442787
34.667969	-81.261421
35.156250	-78.198166
35.644531	-81.874474
36.132812	-80.803246
36.621094	-79.983131
37.109375	-75.528168
37.597656	-83.962860
38.085938	-76.839386
38.574219	-80.644455
39.062500	-76.332581
39.550781	-79.287178
40.039062	-80.025871
40.527344	-77.022476
41.015625	-77.989403
41.503906	-76.343452
41.992188	-78.034279
42.480469	-75.937088
42.968750	-80.403961
43.457031	-82.016846
43.945312	-85.619339
44.433594	-71.159508
44.921875	-74.530754
45.410156	-79.641907
45.898438	-80.061188
46.386719	-74.185936
46.875000	-77.388771
47.363281	-78.562538
47.851562	-70.197418
48.339844	-73.844406
48.828125	-76.873787
49.316406	-76.361427
49.804688	-70.194954
50.292969	-72.177811
50.781250	-78.234146
51.269531	-71.941841
51.757812	-74.471756
52.246094	-78.876015
52.734375	-81.749619
53.222656	-78.269600
53.710938	-74.416084
54.199219	-71.125359
54.687500	-71.459312
55.175781	-77.107689
55.664062	-80.877007
56.152344	-71.754662
56.640625	-73.817924
57.128906	-71.954140
57.617188	-73.922668
58.105469	-76.309700
58.593750	-73.793495
59.082031	-75.689926
59.570312	-75.108322
60.058594	-75.437904
60.546875	-74.794960
61.035156	-76.790970
61.523438	-79.380714
62.011719	-73.346893
62.500000	-78.964287
62.988281	-77.960899
63.476562	-76.224693
63.964844	-77.716904
64.453125	-76.603821
64.941406	-76.770988
65.429688	-72.156410
65.917969	-71.834450
66.406250	-75.519539
66.894531	-82.593216
67.382812	-72.743736
67.871094	-73.770973
68.359375	-71.598862
68.847656	-73.327522
69.335938	-74.612679
69.824219	-77.371971
70.312500	-74.924171
70.800781	-75.426903
71.289062	-77.586472
71.777344	-80.599030
72.265625	-75.564125
72.753906	-75.595245
73.242188	-70.132622
73.730469	-73.837479
74.218750	-70.030289
74.707031	-69.002602
75.195312	-74.815025
75.683594	-73.106392
76.171875	-73.428932
76.660156	-78.819626
77.148438	-72.779785
77.636719	-72.825630
78.125000	-72.414963
78.613281	-78.832237
79.101562	-75.919823
79.589844	-75.870560
80.078125	-72.430420
80.566406	-72.332069
81.054688	-77.890709
81.542969	-73.417854
82.031250	-72.712547
82.519531	-74.454445
83.007812	-78.394135
83.496094	-78.975853
83.984375	-74.882332
84.472656	-70.892830
84.960938	-74.815552
85.449219	-73.522476
85.937500	-79.856514
86.425781	-73.274239
86.914062	-72.965080
87.402344	-73.786507
87.890625	-71.348938
88.378906	-71.811905
88.867188	-73.798744
89.355469	-73.561737
89.843750	-70.531448
90.332031	-70.691162
90.820312	-78.614670
91.308594	-79.964432
91.796875	-76.631447
92.285156	-72.403580
92.773438	-79.625618
93.261719	-73.877144
93.750000	-72.993996
94.238281	-76.866898
94.726562	-78.602669
95.214844	-76.025620
95.703125	-71.698502
96.191406	-73.181404
96.679688	-75.744675
97.167969	-72.780190
97.656250	-74.693649
98.144531	-78.458351
98.632812	-70.784332
99.121094	-75.685402
99.609375	-73.506187
100.097656	-71.037689
100.585938	-74.293747
101.074219	-70.627098
101.562500	-77.692757
102.050781	-84.822304
102.539062	-74.693466
103.027344	-86.423050
103.515625	-76.802887
104.003906	-72.202393
104.492188	-79.460518
104.980469	-78.397171
105.468750	-75.173615
105.957031	-78.846848
106.445312	-81.226585
106.933594	-74.817268
107.421875	-74.165077
107.910156	-75.162064
108.398438	-82.944801
108.886719	-79.442230
109.375000	-76.590401
109.863281	-72.942734
110.351562	-76.450203
110.839844	-72.631989
111.328125	-80.034386
111.816406	-75.745644
112.304688	-77.835182
112.792969	-73.307091
113.281250	-74.638748
113.769531	-74.902191
114.257812	-72.142693
114.746094	-75.625160
115.234375	-77.958038
115.722656	-73.757088
116.210938	-76.101517
116.699219	-78.637054
117.187500	-73.740173
117.675781	-70.799934
118.164062	-69.767845
118.652344	-72.958916
119.140625	-72.337753
119.628906	-80.036133
120.117188	-72.002113
120.605469	-74.997139
121.093750	-76.579674
121.582031	-79.808525
122.070312	-71.131310
122.558594	-74.801872
123.046875	-77.692757
123.535156	-75.340141
124.023438	-73.420654
124.511719	-73.379562
125.000000	-74.689011
125.488281	-80.922913
125.976562	-74.495842
126.464844	-78.074615
126.953125	-74.820389
127.441406	-77.577133
127.929688	-72.787773
128.417969	-72.251602
128.906250	-74.361359
129.394531	-73.280762
129.882812	-85.882301
130.371094	-77.898727
130.859375	-73.598579
131.347656	-77.846352
131.835938	-74.076820
132.324219	-75.452126
132.812500	-70.349976
133.300781	-71.306145
133.789062	-72.508308
134.277344	-72.869102
134.765625	-74.466187
135.253906	-77.827034
135.742188	-77.627357
136.230469	-74.745651
136.718750	-76.577431
137.207031	-77.539177
137.695312	-79.093849
138.183594	-76.880745
138.671875	-78.130379
139.160156	-80.894196
139.648438	-77.300224
140.136719	-76.162018
140.625000	-79.799988
141.113281	-74.986824
141.601562	-78.736702
142.089844	-78.801552
142.578125	-76.289467
143.066406	-81.533615
143.554688	-75.805664
144.042969	-73.897171
144.531250	-70.595360
145.019531	-71.921425
145.507812	-78.262115
145.996094	-80.406326
146.484375	-73.540565
146.972656	-71.562309
147.460938	-74.914062
147.949219	-77.428215
148.437500	-74.187866
148.925781	-77.544533
149.414062	-74.447205
149.902344	-73.572617
150.390625	-72.502815
150.878906	-73.600250
151.367188	-81.476189
151.855469	-73.245682
152.343750	-72.126465
152.832031	-78.155228
153.320312	-77.398102
153.808594	-77.628235
154.296875	-77.004707
154.785156	-75.130814
155.273438	-78.731964
155.761719	-76.340546
156.250000	-74.390587
156.738281	-72.057220
157.226562	-80.038750
157.714844	-76.938118
158.203125	-75.657265
158.691406	-77.092789
159.179688	-75.953812
159.667969	-73.620842
160.156250	-71.558571
