Frequency (Hz)	Level (dB)
0.488281	-75.615074
0.976562	-75.510139
1.464844	-75.520515
1.953125	-75.418877
2.441406	-75.517395
2.929688	-75.394073
3.417969	-75.152321
3.906250	-75.199585
4.394531	-75.079178
4.882812	-74.766350
5.371094	-74.538261
5.859375	-73.416245
6.347656	-73.284225
6.835938	-72.016319
7.324219	-71.055344
7.812500	-70.656746
8.300781	-68.102646
8.789062	-68.699944
9.277344	-66.622406
9.765625	-65.611389
10.253906	-64.256348
10.742188	-61.335815
11.230469	-61.791016
11.718750	-60.456093
12.207031	-58.341606
12.695312	-55.522545
13.183594	-55.473549
13.671875	-53.937840
14.160156	-54.165756
14.648438	-50.983871
15.136719	-49.949688
15.625000	-49.884838
16.113281	-48.022888
16.601562	-44.758202
17.089844	-47.064976
17.578125	-47.548473
18.066406	-49.103409
18.554688	-52.084000
19.042969	-53.435978
19.531250	-55.803032
20.019531	-58.743851
20.507812	-57.594933
20.996094	-58.531082
21.484375	-58.010616
21.972656	-56.092838
22.460938	-55.885101
22.949219	-56.491970
23.437500	-55.801567
23.925781	-56.115658
24.414062	-55.026775
24.902344	-52.698814
25.390625	-51.452442
25.878906	-51.387653
26.367188	-48.717045
26.855469	-51.324284
27.343750	-50.200310
27.832031	-49.740479
28.320312	-49.316753
28.808594	-49.278690
29.296875	-50.842201
29.785156	-49.619946
30.273438	-47.715942
30.761719	-47.973564
31.250000	-47.940578
31.738281	-48.161076
32.226562	-48.607319
32.714844	-47.437286
33.203125	-42.973576
33.691406	-42.499546
34.179688	-43.229450
34.667969	-43.610249
35.156250	-43.713364
35.644531	-42.724129
36.132812	-42.797195
36.621094	-44.168652
37.109375	-43.296024
37.597656	-42.097778
38.085938	-41.996502
38.574219	-43.424770
39.062500	-44.273674
39.550781	-47.198238
40.039062	-46.560089
40.527344	-45.127323
41.015625	-45.921444
41.503906	-46.889870
41.992188	-48.441380
42.480469	-47.254433
42.968750	-48.521683
43.457031	-48.309414
43.945312	-48.195599
44.433594	-48.446499
44.921875	-52.276276
45.410156	-50.452160
45.898438	-49.812599
46.386719	-50.183968
46.875000	-49.038479
47.363281	-48.719505
47.851562	-49.833492
48.339844	-50.024536
48.828125	-51.485897
49.316406	-50.111622
49.804688	-51.164959
50.292969	-51.185440
50.781250	-50.151180
51.269531	-50.252785
51.757812	-49.300610
52.246094	-51.451359
52.734375	-49.949486
53.222656	-52.097214
53.710938	-49.042900
54.199219	-47.839321
54.687500	-49.666737
55.175781	-50.852276
55.664062	-49.486767
56.152344	-47.787045
56.640625	-48.162304
57.128906	-48.967495
57.617188	-47.921047
58.105469	-48.569420
58.593750	-49.973938
59.082031	-49.395126
59.570312	-48.839363
60.058594	-50.176384
60.546875	-49.021149
61.035156	-50.082401
61.523438	-50.481480
62.011719	-51.954716
62.500000	-50.280933
62.988281	-51.365788
63.476562	-51.263676
63.964844	-50.315166
64.453125	-50.378262
64.941406	-51.307644
65.429688	-52.497181
65.917969	-49.958706
66.406250	-50.300507
66.894531	-50.652260
67.382812	-49.061161
67.871094	-51.236851
68.359375	-51.330563
68.847656	-49.238510
69.335938	-49.463909
69.824219	-50.656624
70.312500	-51.651249
