Frequency (Hz)	Level (dB)
0.488281	-91.656296
0.976562	-91.551712
1.464844	-91.065659
1.953125	-91.853226
2.441406	-92.140419
2.929688	-91.663925
3.417969	-90.315674
3.906250	-90.691109
4.394531	-90.176033
4.882812	-90.839256
5.371094	-91.296494
5.859375	-90.628998
6.347656	-89.591751
6.835938	-89.702003
7.324219	-90.664413
7.812500	-91.439575
8.300781	-90.376816
8.789062	-89.809837
9.277344	-88.684944
9.765625	-88.118706
10.253906	-86.803802
10.742188	-83.916649
11.230469	-81.994225
11.718750	-82.116570
12.207031	-83.404335
12.695312	-83.273216
13.183594	-84.265289
13.671875	-87.598938
14.160156	-86.994431
14.648438	-87.822289
15.136719	-87.861710
15.625000	-88.137672
16.113281	-87.754326
16.601562	-86.083046
17.089844	-87.983582
17.578125	-87.825722
18.066406	-87.844139
18.554688	-85.168060
19.042969	-85.388618
19.531250	-86.559013
20.019531	-87.233917
20.507812	-89.092842
20.996094	-84.664658
21.484375	-84.688095
21.972656	-86.730026
22.460938	-84.627274
22.949219	-84.711365
23.437500	-83.496140
23.925781	-82.645576
24.414062	-85.030235
24.902344	-85.928528
25.390625	-83.633110
25.878906	-84.561218
26.367188	-83.110168
26.855469	-82.772820
27.343750	-85.372322
27.832031	-82.702690
28.320312	-82.242386
28.808594	-83.930916
29.296875	-86.511185
29.785156	-81.914917
30.273438	-84.528618
30.761719	-85.251442
31.250000	-85.714554
31.738281	-84.704666
32.226562	-83.720490
32.714844	-85.122200
33.203125	-84.454041
33.691406	-85.211983
34.179688	-83.894073
34.667969	-83.474434
35.156250	-84.288292
35.644531	-84.180992
36.132812	-83.893784
36.621094	-84.105850
37.109375	-82.529022
37.597656	-82.565041
38.085938	-83.693047
38.574219	-83.695999
39.062500	-84.611443
39.550781	-82.863411
40.039062	-83.092590
40.527344	-82.997421
41.015625	-81.485870
41.503906	-82.289345
41.992188	-82.461441
42.480469	-82.582787
42.968750	-82.872826
43.457031	-81.946419
43.945312	-80.251678
44.433594	-81.640579
44.921875	-83.374374
45.410156	-83.030014
45.898438	-82.160744
46.386719	-81.802612
46.875000	-84.294502
47.363281	-81.044182
47.851562	-81.411705
48.339844	-80.603867
48.828125	-81.225128
49.316406	-81.250435
49.804688	-81.898605
50.292969	-81.368935
50.781250	-81.334442
51.269531	-81.155487
51.757812	-78.877159
52.246094	-79.402115
52.734375	-79.518333
53.222656	-78.055031
53.710938	-79.411743
54.199219	-79.389801
54.687500	-80.231644
55.175781	-79.391075
55.664062	-80.135002
56.152344	-78.598473
56.640625	-77.607689
57.128906	-78.152367
57.617188	-79.393967
58.105469	-77.555611
58.593750	-79.831558
59.082031	-79.270370
59.570312	-79.255028
60.058594	-79.263329
60.546875	-78.360550
61.035156	-78.671951
61.523438	-77.920395
62.011719	-79.040916
62.500000	-77.942116
62.988281	-76.720024
63.476562	-77.613373
63.964844	-76.489952
64.453125	-78.494308
64.941406	-78.373985
65.429688	-77.916710
65.917969	-78.436310
66.406250	-78.999748
66.894531	-77.755745
67.382812	-79.385902
67.871094	-77.763794
68.359375	-79.268219
68.847656	-79.006447
69.335938	-77.524315
69.824219	-78.418762
70.312500	-77.479919
70.800781	-78.053528
71.289062	-80.171013
71.777344	-77.805626
72.265625	-78.024117
72.753906	-77.675446
73.242188	-77.958458
73.730469	-77.935005
74.218750	-76.768318
74.707031	-77.371857
75.195312	-76.841209
75.683594	-77.305069
76.171875	-78.392998
76.660156	-78.761955
77.148438	-76.264435
77.636719	-76.826118
78.125000	-77.744690
78.613281	-78.992035
79.101562	-77.091225
79.589844	-78.700684
80.078125	-78.293266
80.566406	-77.035141
81.054688	-77.781532
81.542969	-77.865364
82.031250	-77.039146
82.519531	-77.967377
83.007812	-75.624084
83.496094	-77.516457
83.984375	-76.718307
84.472656	-75.972160
84.960938	-74.156738
85.449219	-77.092148
85.937500	-74.835243
86.425781	-75.236351
86.914062	-75.601280
87.402344	-76.361160
87.890625	-75.643097
88.378906	-75.842651
88.867188	-75.520576
89.355469	-75.961815
89.843750	-74.522942
90.332031	-76.714851
90.820312	-77.333679
91.308594	-76.063629
91.796875	-77.304001
92.285156	-76.440964
92.773438	-75.668800
93.261719	-77.058128
93.750000	-76.510658
94.238281	-76.181259
94.726562	-76.191139
95.214844	-77.390343
95.703125	-76.156761
96.191406	-75.908813
96.679688	-75.358055
97.167969	-75.751938
97.656250	-76.371529
98.144531	-76.773552
98.632812	-76.586792
99.121094	-76.985825
99.609375	-77.398796
100.097656	-77.187752
100.585938	-76.693405
101.074219	-75.542953
101.562500	-76.774727
102.050781	-76.286987
102.539062	-76.688423
103.027344	-76.473495
103.515625	-75.543709
104.003906	-76.716484
104.492188	-76.196320
104.980469	-75.163513
105.468750	-74.453316
105.957031	-76.452049
106.445312	-76.783791
106.933594	-77.160843
107.421875	-75.633934
107.910156	-77.283073
108.398438	-74.318680
108.886719	-76.144592
109.375000	-75.243874
109.863281	-75.354599
110.351562	-76.905754
110.839844	-77.253082
111.328125	-74.589462
111.816406	-76.423233
112.304688	-75.704247
112.792969	-76.181915
113.281250	-76.776077
113.769531	-74.280411
114.257812	-73.802826
114.746094	-74.995590
115.234375	-75.090805
115.722656	-74.608322
116.210938	-76.055908
116.699219	-75.639709
117.187500	-74.456612
117.675781	-75.230743
118.164062	-75.318481
118.652344	-74.197784
119.140625	-76.462387
119.628906	-73.795807
120.117188	-74.243401
120.605469	-73.047813
121.093750	-74.419510
121.582031	-76.376579
122.070312	-75.541222
122.558594	-74.545952
123.046875	-75.176979
123.535156	-74.418800
124.023438	-75.424698
124.511719	-74.541901
125.000000	-74.972366
125.488281	-74.844383
125.976562	-74.207390
126.464844	-75.635742
126.953125	-74.441589
127.441406	-74.360832
127.929688	-73.791061
128.417969	-74.846977
128.906250	-75.254265
129.394531	-75.586716
129.882812	-75.061279
130.371094	-75.240936
130.859375	-76.473587
131.347656	-75.062935
131.835938	-75.592880
132.324219	-76.065994
132.812500	-73.767662
133.300781	-74.178055
133.789062	-72.585007
134.277344	-74.835953
134.765625	-74.709686
135.253906	-73.599777
135.742188	-73.588089
136.230469	-74.757965
136.718750	-75.493599
137.207031	-73.643654
137.695312	-74.011169
138.183594	-73.262962
138.671875	-74.151649
139.160156	-73.486160
139.648438	-73.934189
140.136719	-75.196304
140.625000	-74.037163
141.113281	-73.486496
141.601562	-73.817703
142.089844	-74.743752
142.578125	-74.262512
143.066406	-72.831543
143.554688	-74.923508
144.042969	-72.190132
144.531250	-74.135437
145.019531	-74.057121
145.507812	-73.444725
145.996094	-74.045181
146.484375	-73.961082
146.972656	-75.489960
147.460938	-73.896111
147.949219	-74.770828
148.437500	-76.351082
148.925781	-74.480537
149.414062	-73.339554
149.902344	-73.613899
150.390625	-73.557648
150.878906	-73.449509
151.367188	-72.978897
151.855469	-74.125511
152.343750	-72.831276
152.832031	-72.886589
153.320312	-73.182968
153.808594	-73.556854
154.296875	-74.135468
154.785156	-73.962067
155.273438	-73.210403
155.761719	-74.313454
156.250000	-72.988007
156.738281	-74.141258
157.226562	-74.170296
157.714844	-73.689972
158.203125	-73.649948
158.691406	-71.999596
159.179688	-72.577728
159.667969	-72.528809
160.156250	-72.326424
160.644531	-73.538536
161.132812	-74.554001
161.621094	-74.268700
162.109375	-72.157616
162.597656	-74.924782
163.085938	-73.812492
163.574219	-74.423447
164.062500	-74.524925
164.550781	-72.280663
165.039062	-72.088913
165.527344	-72.580048
166.015625	-73.120888
166.503906	-73.723167
166.992188	-73.212448
167.480469	-72.107422
167.968750	-74.225220
168.457031	-72.857613
168.945312	-72.340202
169.433594	-73.604057
169.921875	-72.953979
170.410156	-73.825851
170.898438	-72.906868
171.386719	-73.697319
171.875000	-72.440361
172.363281	-72.424736
172.851562	-72.551674
173.339844	-71.521362
173.828125	-72.433052
174.316406	-72.695641
174.804688	-72.368401
175.292969	-72.258675
175.781250	-70.742500
176.269531	-71.956245
176.757812	-73.698097
177.246094	-72.540855
177.734375	-72.775871
178.222656	-72.592430
178.710938	-72.354797
179.199219	-71.748474
179.687500	-69.916008
180.175781	-72.130722
180.664062	-71.593887
181.152344	-71.767113
181.640625	-72.947250
182.128906	-71.895653
182.617188	-71.113289
183.105469	-71.891991
183.593750	-71.367645
184.082031	-72.222382
184.570312	-70.998283
185.058594	-70.866989
185.546875	-72.334801
186.035156	-71.753983
186.523438	-71.497162
187.011719	-70.924881
187.500000	-71.167976
187.988281	-70.404343
188.476562	-70.074745
188.964844	-72.511604
189.453125	-68.963028
189.941406	-71.212166
190.429688	-72.934906
190.917969	-71.277534
191.406250	-70.529366
191.894531	-71.338089
192.382812	-71.380943
192.871094	-71.693130
193.359375	-72.045441
193.847656	-71.061966
194.335938	-69.169220
194.824219	-70.029594
195.312500	-70.745491
195.800781	-70.349777
196.289062	-71.322411
196.777344	-69.222641
197.265625	-71.134369
197.753906	-71.833160
198.242188	-69.138809
198.730469	-69.750343
199.218750	-71.065651
199.707031	-68.998085
200.195312	-69.633270
200.683594	-70.302971
201.171875	-69.388840
201.660156	-70.036140
202.148438	-68.746002
202.636719	-70.460510
203.125000	-67.156929
203.613281	-70.353806
204.101562	-69.722961
204.589844	-69.497276
205.078125	-68.622322
205.566406	-69.423279
206.054688	-69.025452
206.542969	-68.458702
207.031250	-68.832512
207.519531	-69.347588
208.007812	-66.740509
208.496094	-68.122711
208.984375	-69.019974
209.472656	-67.975998
209.960938	-67.790970
210.449219	-68.668579
210.937500	-68.708450
211.425781	-66.111427
211.914062	-67.895126
212.402344	-68.358269
212.890625	-67.147217
213.378906	-67.668587
213.867188	-68.881371
214.355469	-68.386032
214.843750	-68.569344
215.332031	-67.346634
215.820312	-65.883537
216.308594	-68.470955
216.796875	-68.119095
217.285156	-66.822922
217.773438	-67.562729
218.261719	-65.853577
218.750000	-65.516380
219.238281	-66.367119
219.726562	-67.727417
220.214844	-66.136627
220.703125	-67.304352
221.191406	-66.773399
221.679688	-66.558563
222.167969	-66.770737
222.656250	-66.383560
223.144531	-66.420242
223.632812	-65.196953
224.121094	-65.252502
224.609375	-65.038300
225.097656	-65.077477
225.585938	-65.480453
226.074219	-65.921646
226.562500	-65.558784
227.050781	-65.222969
227.539062	-66.180756
228.027344	-66.479744
228.515625	-64.952499
229.003906	-64.664047
229.492188	-67.209579
229.980469	-63.732056
230.468750	-65.636932
230.957031	-64.568863
231.445312	-65.285889
231.933594	-65.134178
232.421875	-65.144867
232.910156	-64.398415
233.398438	-63.831924
233.886719	-64.799522
234.375000	-63.613827
234.863281	-64.391716
235.351562	-63.627373
235.839844	-65.474945
236.328125	-65.227341
236.816406	-62.886005
237.304688	-63.139091
237.792969	-63.276516
238.281250	-63.381081
238.769531	-62.585052
239.257812	-62.930573
239.746094	-61.358517
240.234375	-63.237862
240.722656	-62.681541
241.210938	-60.250450
241.699219	-64.522812
242.187500	-63.059826
242.675781	-62.027061
243.164062	-62.019138
243.652344	-61.435513
244.140625	-61.997402
244.628906	-63.186569
245.117188	-61.264030
245.605469	-61.430305
246.093750	-63.027580
246.582031	-60.756382
247.070312	-60.898178
247.558594	-61.162529
248.046875	-61.162449
248.535156	-60.852169
249.023438	-59.541908
249.511719	-59.921089
250.000000	-61.039833
250.488281	-60.591660
250.976562	-61.364651
251.464844	-60.191601
251.953125	-58.880779
252.441406	-59.443138
252.929688	-58.387241
253.417969	-58.337654
253.906250	-59.554295
254.394531	-59.225052
254.882812	-58.911705
255.371094	-58.689545
255.859375	-58.420937
256.347656	-59.192356
256.835938	-58.198841
257.324219	-59.571018
257.812500	-58.455231
258.300781	-59.026318
258.789062	-57.619148
259.277344	-58.217480
259.765625	-56.876114
260.253906	-55.874287
260.742188	-57.466358
261.230469	-56.230927
261.718750	-56.260540
262.207031	-57.084126
262.695312	-56.870613
263.183594	-58.565922
263.671875	-57.087742
264.160156	-57.309982
264.648438	-56.523582
265.136719	-56.679970
265.625000	-56.378899
266.113281	-58.194405
266.601562	-55.859734
267.089844	-56.990761
267.578125	-57.609653
268.066406	-58.972683
268.554688	-58.126259
269.042969	-55.676907
269.531250	-57.807575
270.019531	-58.580334
270.507812	-56.380013
270.996094	-58.157536
271.484375	-57.622204
271.972656	-58.275928
272.460938	-58.549343
272.949219	-57.809223
273.437500	-57.796780
273.925781	-58.140404
274.414062	-57.663090
274.902344	-56.818893
275.390625	-57.326942
275.878906	-57.926395
276.367188	-59.319290
276.855469	-58.275646
277.343750	-58.152328
277.832031	-59.826324
278.320312	-58.332829
278.808594	-59.589329
279.296875	-59.496948
279.785156	-60.800446
280.273438	-60.174103
280.761719	-58.353680
281.250000	-59.679256
281.738281	-57.874985
282.226562	-59.424507
282.714844	-59.565105
283.203125	-59.185478
283.691406	-60.746567
284.179688	-60.542271
284.667969	-59.797104
285.156250	-60.047726
285.644531	-60.610146
286.132812	-60.321518
286.621094	-61.606201
287.109375	-60.084042
287.597656	-63.255241
288.085938	-61.044060
288.574219	-61.664379
289.062500	-63.080276
289.550781	-62.076794
290.039062	-62.805164
290.527344	-63.266079
291.015625	-64.683609
291.503906	-64.904053
291.992188	-63.295048
292.480469	-62.174072
292.968750	-64.170456
293.457031	-62.124676
293.945312	-62.107689
294.433594	-63.273754
294.921875	-62.716457
295.410156	-64.441223
295.898438	-63.098644
296.386719	-63.186901
296.875000	-63.085583
297.363281	-63.716496
297.851562	-63.044212
298.339844	-64.278847
298.828125	-64.035408
299.316406	-62.649933
299.804688	-63.877571
300.292969	-65.314209
300.781250	-63.042946
301.269531	-65.142563
301.757812	-64.210045
302.246094	-66.878403
302.734375	-64.240524
303.222656	-64.187508
303.710938	-66.499786
304.199219	-66.343170
304.687500	-65.895966
305.175781	-63.793610
305.664062	-64.610046
306.152344	-65.747169
306.640625	-65.722969
307.128906	-64.624840
307.617188	-65.597351
308.105469	-64.370712
308.593750	-67.209999
309.082031	-65.488808
309.570312	-64.065437
310.058594	-65.977478
310.546875	-66.389648
311.035156	-65.299026
311.523438	-66.936180
312.011719	-66.164284
312.500000	-65.581635
312.988281	-64.080811
313.476562	-66.965050
313.964844	-67.311714
314.453125	-65.511017
314.941406	-67.021347
315.429688	-65.991173
315.917969	-67.562340
316.406250	-66.084953
316.894531	-66.464668
317.382812	-67.228287
317.871094	-65.802597
318.359375	-67.116821
318.847656	-67.153969
319.335938	-67.900169
319.824219	-68.492683
320.312500	-66.891808
320.800781	-67.941902
321.289062	-66.938431
321.777344	-67.199615
322.265625	-67.603073
322.753906	-68.946747
323.242188	-68.042328
323.730469	-66.299179
324.218750	-66.470757
324.707031	-67.581520
325.195312	-66.197937
325.683594	-67.985413
326.171875	-67.096748
326.660156	-66.776314
327.148438	-67.288338
327.636719	-68.983200
328.125000	-67.991539
328.613281	-68.701752
329.101562	-69.267487
329.589844	-68.578377
330.078125	-67.978104
330.566406	-69.040329
331.054688	-66.218567
331.542969	-67.705688
332.031250	-68.194588
332.519531	-68.487206
333.007812	-70.620476
333.496094	-69.304741
333.984375	-69.259453
334.472656	-70.218735
334.960938	-69.060371
335.449219	-68.959038
335.937500	-68.216408
336.425781	-67.799171
336.914062	-69.069786
337.402344	-69.901588
337.890625	-67.489510
338.378906	-66.614059
338.867188	-67.404953
339.355469	-67.384972
339.843750	-67.847855
340.332031	-70.029419
340.820312	-68.487755
341.308594	-70.614662
341.796875	-69.573898
342.285156	-68.549820
342.773438	-69.528236
343.261719	-67.477745
343.750000	-70.001045
344.238281	-70.519997
344.726562	-67.991272
345.214844	-68.598312
345.703125	-70.195946
346.191406	-70.338921
346.679688	-70.408470
347.167969	-70.376755
347.656250	-71.538055
348.144531	-69.631836
348.632812	-70.016136
349.121094	-69.559044
349.609375	-70.262543
350.097656	-71.872192
350.585938	-69.595352
351.074219	-71.309952
351.562500	-69.456924
352.050781	-70.087654
352.539062	-69.050491
353.027344	-68.678505
353.515625	-68.223473
354.003906	-68.778091
354.492188	-68.920013
354.980469	-70.913147
355.468750	-71.878860
355.957031	-69.030289
356.445312	-70.546684
356.933594	-70.805267
357.421875	-70.523865
357.910156	-70.722404
358.398438	-68.897346
358.886719	-70.272644
359.375000	-72.224472
359.863281	-69.411072
360.351562	-69.430717
360.839844	-68.931938
361.328125	-69.442795
361.816406	-69.040726
362.304688	-71.590874
362.792969	-69.350159
363.281250	-70.944473
363.769531	-69.080048
364.257812	-70.053543
364.746094	-69.914673
365.234375	-71.431801
365.722656	-69.580338
366.210938	-69.266998
366.699219	-71.289680
367.187500	-69.437851
367.675781	-69.377953
368.164062	-71.096268
368.652344	-70.445221
369.140625	-70.125473
369.628906	-68.700615
370.117188	-70.788559
370.605469	-69.851265
371.093750	-70.921593
371.582031	-68.797409
372.070312	-68.776596
372.558594	-70.070816
373.046875	-70.749252
373.535156	-70.408104
374.023438	-71.839767
374.511719	-70.583496
375.000000	-72.413445
375.488281	-70.093651
375.976562	-70.229424
376.464844	-71.658905
376.953125	-70.473145
377.441406	-69.388313
377.929688	-69.156967
378.417969	-70.369339
378.906250	-69.914810
379.394531	-70.083481
379.882812	-69.111229
380.371094	-70.797279
380.859375	-71.688225
381.347656	-71.562927
381.835938	-70.175041
382.324219	-71.061760
382.812500	-70.044716
383.300781	-70.579323
383.789062	-72.425087
384.277344	-69.091507
384.765625	-69.330490
385.253906	-70.096985
385.742188	-70.873970
386.230469	-70.135788
386.718750	-72.157005
387.207031	-70.672447
387.695312	-71.965858
388.183594	-72.316093
388.671875	-69.089294
389.160156	-70.039093
389.648438	-71.675018
390.136719	-71.888222
390.625000	-69.065681
391.113281	-70.507965
391.601562	-70.485657
392.089844	-70.266502
392.578125	-70.689735
393.066406	-71.302444
393.554688	-70.097496
394.042969	-70.281776
394.531250	-71.536224
395.019531	-71.722679
395.507812	-70.300522
395.996094	-72.266151
396.484375	-71.738373
396.972656	-71.076141
397.460938	-70.179665
397.949219	-69.154175
398.437500	-70.456062
398.925781	-70.079430
399.414062	-70.100517
399.902344	-68.994446
