Frequency (Hz)	Level (dB)
0.488281	-109.779770
0.976562	-109.422928
1.464844	-108.934502
1.953125	-108.748505
2.441406	-109.542053
2.929688	-107.968033
3.417969	-106.341591
3.906250	-102.857262
4.394531	-105.582191
4.882812	-105.098991
5.371094	-104.564316
5.859375	-102.306854
6.347656	-100.062500
6.835938	-98.883514
7.324219	-102.356720
7.812500	-101.732117
8.300781	-102.221260
8.789062	-100.068367
9.277344	-99.620850
9.765625	-97.578827
10.253906	-97.860832
10.742188	-95.490784
11.230469	-94.498589
11.718750	-94.588150
12.207031	-93.273628
12.695312	-93.254692
13.183594	-94.948334
13.671875	-92.244858
14.160156	-95.727119
14.648438	-93.234062
15.136719	-94.752449
15.625000	-93.267105
16.113281	-92.876663
16.601562	-92.695656
17.089844	-91.979843
17.578125	-94.231842
18.066406	-91.809425
18.554688	-90.561554
19.042969	-91.233826
19.531250	-92.657135
20.019531	-92.147202
20.507812	-93.973755
20.996094	-91.316536
21.484375	-89.968033
21.972656	-88.994705
22.460938	-89.101486
22.949219	-88.512299
23.437500	-88.858070
23.925781	-89.974098
24.414062	-89.545212
24.902344	-88.807861
25.390625	-91.847649
25.878906	-90.623337
26.367188	-89.714607
26.855469	-87.514069
27.343750	-88.314026
27.832031	-87.670090
28.320312	-87.745819
28.808594	-88.759056
29.296875	-89.237297
29.785156	-87.014153
30.273438	-89.842339
30.761719	-91.150192
31.250000	-90.052574
31.738281	-88.968498
32.226562	-89.152054
32.714844	-88.639366
33.203125	-88.599174
33.691406	-90.791740
34.179688	-91.533119
34.667969	-89.188301
35.156250	-88.853218
35.644531	-90.291519
36.132812	-90.558502
36.621094	-89.081703
37.109375	-88.077713
37.597656	-91.925209
38.085938	-90.390045
38.574219	-90.290482
39.062500	-90.809959
39.550781	-89.449730
40.039062	-90.811913
40.527344	-88.920700
41.015625	-90.577393
41.503906	-90.109787
41.992188	-88.673676
42.480469	-88.171883
42.968750	-87.975166
43.457031	-88.709679
43.945312	-88.575569
44.433594	-88.806976
44.921875	-88.915222
45.410156	-88.597023
45.898438	-88.924171
46.386719	-89.463486
46.875000	-88.734741
47.363281	-89.320778
47.851562	-89.604042
48.339844	-87.427719
48.828125	-88.669258
49.316406	-88.661728
49.804688	-88.890106
50.292969	-89.300880
50.781250	-88.055817
51.269531	-86.828873
51.757812	-87.752731
52.246094	-86.572449
52.734375	-86.696404
53.222656	-87.758392
53.710938	-86.435921
54.199219	-85.217705
54.687500	-84.880508
55.175781	-85.099983
55.664062	-84.999298
56.152344	-86.861473
56.640625	-84.698303
57.128906	-85.914558
57.617188	-83.855362
58.105469	-85.015167
58.593750	-85.382568
59.082031	-82.718666
59.570312	-83.870758
