Frequency (Hz)	Level (dB)
0.488281	-26.482912
0.976562	-28.562424
1.464844	-25.871914
1.953125	-26.633209
2.441406	-24.437586
2.929688	-26.417665
3.417969	-28.819628
3.906250	-27.969784
4.394531	-26.073748
4.882812	-27.289539
5.371094	-26.237862
5.859375	-28.283693
6.347656	-25.192373
6.835938	-28.110407
7.324219	-24.959713
7.812500	-26.932814
8.300781	-26.009638
8.789062	-28.019417
9.277344	-28.196569
9.765625	-28.481737
10.253906	-27.983717
10.742188	-26.802704
11.230469	-27.339100
11.718750	-27.744614
12.207031	-27.298573
12.695312	-26.669432
13.183594	-28.282143
13.671875	-26.878319
14.160156	-29.777809
14.648438	-31.226952
15.136719	-29.158010
15.625000	-28.193186
16.113281	-30.805189
16.601562	-30.346777
17.089844	-32.364605
17.578125	-29.297041
18.066406	-29.114199
18.554688	-28.604187
19.042969	-29.208084
19.531250	-31.265594
20.019531	-30.158543
20.507812	-29.328709
20.996094	-28.220461
21.484375	-29.696497
21.972656	-29.806360
22.460938	-28.915115
22.949219	-29.860956
23.437500	-29.946812
23.925781	-32.185013
24.414062	-29.687281
24.902344	-30.550278
25.390625	-30.788132
25.878906	-31.348625
26.367188	-31.860546
26.855469	-29.629463
27.343750	-32.739014
27.832031	-30.941303
28.320312	-33.033417
28.808594	-31.355093
29.296875	-31.826305
29.785156	-31.047792
30.273438	-31.383747
30.761719	-32.109013
31.250000	-32.595940
31.738281	-31.743408
32.226562	-32.103741
32.714844	-32.286232
33.203125	-33.134289
33.691406	-33.535664
34.179688	-31.938116
34.667969	-32.550911
35.156250	-31.929842
35.644531	-33.695354
36.132812	-33.056347
36.621094	-34.061550
37.109375	-33.710892
37.597656	-31.869534
38.085938	-30.629187
38.574219	-34.130249
39.062500	-32.263691
39.550781	-32.739185
40.039062	-32.937389
40.527344	-32.660210
41.015625	-34.015251
41.503906	-33.214897
41.992188	-33.049023
42.480469	-33.893032
42.968750	-32.687347
43.457031	-33.092602
43.945312	-33.426117
44.433594	-33.584621
44.921875	-33.545162
45.410156	-33.329933
