Frequency (Hz)	Level (dB)
0.488281	-45.166504
0.976562	-45.113831
1.464844	-45.027409
1.953125	-44.909229
2.441406	-44.761967
2.929688	-44.588879
3.417969	-44.393696
3.906250	-44.180515
4.394531	-43.953697
4.882812	-43.717766
5.371094	-43.477329
5.859375	-43.236996
6.347656	-43.001331
6.835938	-42.774788
7.324219	-42.561653
7.812500	-42.365986
8.300781	-42.191559
8.789062	-42.041756
9.277344	-41.919464
9.765625	-41.826931
10.253906	-41.765575
10.742188	-41.735756
11.230469	-41.736519
11.718750	-41.765301
12.207031	-41.817703
12.695312	-41.887363
13.183594	-41.966080
13.671875	-42.044296
14.160156	-42.112141
14.648438	-42.160858
15.136719	-42.184494
15.625000	-42.181297
16.113281	-42.154297
16.601562	-42.110832
17.089844	-42.060997
17.578125	-42.015556
18.066406	-41.983749
18.554688	-41.971542
19.042969	-41.980446
19.531250	-42.007145
20.019531	-42.044067
20.507812	-42.080982
20.996094	-42.107582
21.484375	-42.116547
21.972656	-42.106060
22.460938	-42.080696
22.949219	-42.050087
23.437500	-42.025700
23.925781	-42.016876
24.414062	-42.027317
24.902344	-42.053226
25.390625	-42.083961
25.878906	-42.105831
26.367188	-42.108288
26.855469	-42.089909
27.343750	-42.060387
27.832031	-42.036320
28.320312	-42.032410
28.808594	-42.052586
29.296875	-42.086067
29.785156	-42.111992
30.273438	-42.112404
30.761719	-42.086182
31.250000	-42.052246
31.738281	-42.036999
32.226562	-42.054310
32.714844	-42.092800
33.203125	-42.121689
33.691406	-42.115372
34.179688	-42.078495
34.667969	-42.045017
35.156250	-42.048050
35.644531	-42.087608
36.132812	-42.126549
36.621094	-42.124527
37.109375	-42.082565
37.597656	-42.046333
38.085938	-42.057842
38.574219	-42.107418
39.062500	-42.139175
39.550781	-42.114117
40.039062	-42.062412
40.527344	-42.049881
41.015625	-42.095650
41.503906	-42.142979
41.992188	-42.128044
42.480469	-42.070545
42.968750	-42.051804
43.457031	-42.101589
43.945312	-42.150890
44.433594	-42.125919
44.921875	-42.064121
45.410156	-42.062263
45.898438	-42.126980
46.386719	-42.157063
46.875000	-42.102283
47.363281	-42.054340
47.851562	-42.096695
48.339844	-42.160614
48.828125	-42.134064
49.316406	-42.064236
49.804688	-42.079353
50.292969	-42.155788
50.781250	-42.151768
51.269531	-42.074417
51.757812	-42.074760
52.246094	-42.156116
52.734375	-42.158295
53.222656	-42.076397
53.710938	-42.080177
54.199219	-42.165840
54.687500	-42.154007
55.175781	-42.069923
55.664062	-42.098190
56.152344	-42.180916
56.640625	-42.133972
57.128906	-42.064259
57.617188	-42.134064
58.105469	-42.185345
58.593750	-42.097233
59.082031	-42.081097
59.570312	-42.179535
60.058594	-42.154331
60.546875	-42.068165
61.035156	-42.138668
61.523438	-42.191624
62.011719	-42.091751
62.500000	-42.098961
62.988281	-42.198292
63.476562	-42.128498
63.964844	-42.077103
64.453125	-42.185944
64.941406	-42.160717
65.429688	-42.071602
65.917969	-42.169151
66.406250	-42.182388
66.894531	-42.074364
67.382812	-42.156784
67.871094	-42.194576
68.359375	-42.078224
68.847656	-42.152431
69.335938	-42.199806
69.824219	-42.079311
70.312500	-42.157207
70.800781	-42.198795
71.289062	-42.077286
71.777344	-42.171337
72.265625	-42.189480
72.753906	-42.075611
73.242188	-42.193329
73.730469	-42.168156
74.218750	-42.081997
74.707031	-42.216846
75.195312	-42.133640
75.683594	-42.106743
76.171875	-42.227333
76.660156	-42.094742
77.148438	-42.154945
77.636719	-42.205383
78.125000	-42.075703
78.613281	-42.211205
79.101562	-42.145645
79.589844	-42.106030
80.078125	-42.231236
80.566406	-42.083595
81.054688	-42.183186
81.542969	-42.175995
82.031250	-42.087414
82.519531	-42.234604
83.007812	-42.087685
83.496094	-42.176273
83.984375	-42.175510
84.472656	-42.086823
84.960938	-42.233585
85.449219	-42.073433
85.937500	-42.195412
86.425781	-42.140797
86.914062	-42.109032
87.402344	-42.213326
87.890625	-42.057545
88.378906	-42.223183
88.867188	-42.074871
89.355469	-42.167122
89.843750	-42.135841
90.332031	-42.090282
90.820312	-42.191353
91.308594	-42.037556
91.796875	-42.206055
92.285156	-42.026211
92.773438	-42.174526
93.261719	-42.047432
93.750000	-42.113262
94.238281	-42.080170
94.726562	-42.043415
95.214844	-42.104023
95.703125	-41.978966
96.191406	-42.106087
96.679688	-41.923763
97.167969	-42.081554
97.656250	-41.873840
98.144531	-42.030674
98.632812	-41.820896
99.121094	-41.954983
99.609375	-41.754971
100.097656	-41.854588
100.585938	-41.665844
101.074219	-41.726994
101.562500	-41.543598
102.050781	-41.567123
102.539062	-41.378933
103.027344	-41.368275
103.515625	-41.163868
104.003906	-41.123787
104.492188	-40.893234
104.980469	-40.829391
105.468750	-40.566917
105.957031	-40.485992
106.445312	-40.192482
106.933594	-40.102394
107.421875	-39.787277
107.910156	-39.697178
108.398438	-39.379150
108.886719	-39.299042
109.375000	-39.005405
109.863281	-38.945362
110.351562	-38.710003
110.839844	-38.679108
111.328125	-38.539070
111.816406	-38.543938
112.304688	-38.533531
112.792969	-38.576054
113.281250	-38.715446
113.769531	-38.788925
114.257812	-39.061733
114.746094	-39.145363
115.234375	-39.464478
115.722656	-39.521156
116.210938	-39.718102
116.699219	-39.711781
117.187500	-39.639004
117.675781	-39.574955
118.164062	-39.282932
118.652344	-39.214649
119.140625	-38.937168
119.628906	-38.917015
120.117188	-38.873379
120.605469	-38.914204
121.093750	-39.152752
121.582031	-39.217907
122.070312	-39.520206
122.558594	-39.538906
123.046875	-39.535683
123.535156	-39.485806
124.023438	-39.178852
