Frequency (Hz)	Level (dB)
0.488281	-105.634949
0.976562	-105.394035
1.464844	-105.011330
1.953125	-104.458611
2.441406	-104.258698
2.929688	-104.865936
3.417969	-101.838051
3.906250	-100.232063
4.394531	-101.201591
4.882812	-102.600754
5.371094	-99.859421
5.859375	-98.441956
6.347656	-96.314476
6.835938	-97.311150
7.324219	-94.382401
7.812500	-95.520134
8.300781	-95.207153
8.789062	-93.502258
9.277344	-94.654236
9.765625	-93.408997
10.253906	-92.452820
10.742188	-90.588692
11.230469	-89.544533
11.718750	-89.707146
12.207031	-88.862198
12.695312	-89.894188
13.183594	-90.224396
13.671875	-89.850609
14.160156	-90.950607
14.648438	-91.308708
15.136719	-90.454651
15.625000	-88.502510
16.113281	-89.211121
16.601562	-90.424652
17.089844	-90.650970
17.578125	-88.868568
18.066406	-88.804527
18.554688	-89.377693
19.042969	-89.430824
19.531250	-89.056671
20.019531	-91.694038
20.507812	-89.839661
20.996094	-86.908546
21.484375	-88.829155
21.972656	-88.545723
22.460938	-87.509254
22.949219	-86.188385
23.437500	-85.360771
23.925781	-84.388428
24.414062	-88.045181
24.902344	-87.270164
25.390625	-87.166801
25.878906	-87.146843
26.367188	-86.791649
26.855469	-85.085381
27.343750	-85.471550
27.832031	-84.263870
28.320312	-84.495232
28.808594	-84.895210
29.296875	-85.517723
29.785156	-83.459869
30.273438	-83.839378
30.761719	-84.644211
31.250000	-84.357414
31.738281	-83.490654
32.226562	-82.603539
32.714844	-83.252007
33.203125	-85.901535
33.691406	-83.195580
34.179688	-81.868660
34.667969	-82.696716
35.156250	-82.857216
35.644531	-83.161263
36.132812	-82.336823
36.621094	-82.352844
37.109375	-80.636147
37.597656	-79.348427
38.085938	-78.080933
38.574219	-81.618965
39.062500	-79.260681
39.550781	-79.412918
40.039062	-79.607430
40.527344	-79.487984
41.015625	-79.066681
41.503906	-78.850159
41.992188	-78.060036
42.480469	-77.856026
42.968750	-78.077599
43.457031	-77.747246
43.945312	-77.666290
44.433594	-78.356651
44.921875	-77.925636
45.410156	-78.255653
45.898438	-77.333725
46.386719	-77.449242
46.875000	-77.179115
47.363281	-76.760658
47.851562	-77.238441
48.339844	-76.930809
48.828125	-78.234146
49.316406	-76.015472
49.804688	-76.640770
50.292969	-76.039207
50.781250	-76.124107
51.269531	-77.693817
51.757812	-78.199493
52.246094	-77.684044
52.734375	-76.049812
53.222656	-78.072128
53.710938	-77.725220
54.199219	-76.526176
54.687500	-75.105698
55.175781	-75.804108
55.664062	-76.962524
56.152344	-75.972214
56.640625	-76.494080
57.128906	-74.919319
57.617188	-74.857910
58.105469	-77.230034
58.593750	-75.870361
59.082031	-74.978882
59.570312	-76.175842
60.058594	-74.572960
60.546875	-74.614105
61.035156	-76.468658
61.523438	-74.442169
62.011719	-74.843559
62.500000	-74.435692
62.988281	-73.311844
63.476562	-75.695877
63.964844	-75.815186
64.453125	-74.806168
64.941406	-75.352669
65.429688	-75.144882
65.917969	-75.773308
66.406250	-75.081650
66.894531	-76.740021
67.382812	-74.983551
67.871094	-75.170776
68.359375	-74.695068
68.847656	-75.894173
69.335938	-75.310455
69.824219	-74.743591
70.312500	-75.546669
70.800781	-74.593529
71.289062	-75.736755
71.777344	-79.232979
72.265625	-77.188240
72.753906	-77.686745
73.242188	-74.222389
73.730469	-76.207474
74.218750	-74.318726
74.707031	-75.149590
75.195312	-76.049820
75.683594	-74.728378
76.171875	-77.894531
76.660156	-75.519058
77.148438	-76.814552
77.636719	-77.144112
78.125000	-77.657036
78.613281	-75.517303
79.101562	-74.270882
79.589844	-75.743385
80.078125	-76.188499
80.566406	-74.613182
81.054688	-77.791771
81.542969	-74.751015
82.031250	-76.091545
82.519531	-74.058800
83.007812	-76.088791
83.496094	-76.448662
83.984375	-76.783859
84.472656	-75.685417
84.960938	-75.566093
85.449219	-75.533897
85.937500	-75.121834
86.425781	-77.691971
86.914062	-75.732277
87.402344	-77.518494
87.890625	-76.883316
88.378906	-76.986259
88.867188	-74.882607
89.355469	-74.491989
89.843750	-76.777550
90.332031	-73.986923
90.820312	-75.953102
91.308594	-74.915375
91.796875	-77.448021
92.285156	-77.609871
92.773438	-76.172615
93.261719	-76.324425
93.750000	-77.382912
94.238281	-77.429504
94.726562	-77.228905
95.214844	-75.977112
95.703125	-75.413986
96.191406	-77.707123
96.679688	-77.612549
97.167969	-77.284447
97.656250	-78.553719
98.144531	-77.112671
98.632812	-76.431297
99.121094	-78.431099
99.609375	-76.851715
100.097656	-76.494522
100.585938	-78.117729
101.074219	-76.063057
101.562500	-76.380127
102.050781	-76.273743
102.539062	-76.922859
103.027344	-77.608932
103.515625	-76.634621
104.003906	-77.698044
104.492188	-76.572998
104.980469	-77.616447
105.468750	-77.601212
105.957031	-77.125229
106.445312	-75.954582
106.933594	-78.804718
107.421875	-77.159119
107.910156	-77.263115
108.398438	-77.249474
108.886719	-77.337051
109.375000	-76.684402
109.863281	-77.851250
110.351562	-78.561798
110.839844	-77.232498
111.328125	-78.879051
111.816406	-76.544411
112.304688	-79.824348
112.792969	-78.777412
113.281250	-77.778435
113.769531	-77.534668
114.257812	-78.100555
114.746094	-77.456367
115.234375	-77.443481
115.722656	-78.997025
116.210938	-79.952507
116.699219	-79.164886
117.187500	-79.234184
117.675781	-77.824547
118.164062	-75.004669
118.652344	-76.383453
119.140625	-75.848137
119.628906	-78.419678
120.117188	-77.655899
120.605469	-78.897797
121.093750	-78.926018
121.582031	-78.849754
122.070312	-76.969803
122.558594	-78.384483
123.046875	-78.646576
123.535156	-79.017822
124.023438	-78.187653
124.511719	-79.048515
125.000000	-77.636551
125.488281	-80.871323
125.976562	-77.723045
126.464844	-78.359764
126.953125	-81.120232
127.441406	-79.647423
127.929688	-77.155418
128.417969	-78.232529
128.906250	-78.172310
129.394531	-78.768585
129.882812	-77.900734
130.371094	-77.062180
130.859375	-77.897148
131.347656	-78.414520
131.835938	-78.767418
132.324219	-78.982689
132.812500	-78.527298
133.300781	-77.316055
133.789062	-78.653755
134.277344	-78.104477
134.765625	-80.255234
135.253906	-79.215279
135.742188	-79.016739
136.230469	-79.760956
136.718750	-78.007927
137.207031	-80.294456
137.695312	-80.550133
138.183594	-78.573090
138.671875	-78.410210
139.160156	-80.635902
139.648438	-78.721779
140.136719	-78.795509
140.625000	-79.060905
141.113281	-78.639732
141.601562	-78.734779
142.089844	-79.490051
142.578125	-79.552872
143.066406	-80.622864
143.554688	-79.957924
144.042969	-78.856758
144.531250	-77.892036
145.019531	-80.300980
145.507812	-81.971527
145.996094	-81.780273
146.484375	-79.107346
146.972656	-80.217972
147.460938	-79.335953
147.949219	-81.191643
148.437500	-79.074898
148.925781	-78.700981
149.414062	-79.408875
149.902344	-79.478477
150.390625	-80.481827
150.878906	-80.143768
151.367188	-79.730049
151.855469	-79.308594
152.343750	-78.735573
152.832031	-82.117157
153.320312	-81.007034
153.808594	-81.330185
154.296875	-78.737579
154.785156	-80.276192
155.273438	-79.209488
155.761719	-79.079170
156.250000	-80.151718
156.738281	-79.570671
157.226562	-80.267479
157.714844	-80.071136
158.203125	-78.513687
158.691406	-78.989220
159.179688	-81.169739
159.667969	-80.346848
160.156250	-79.442711
160.644531	-80.929886
161.132812	-81.866608
161.621094	-79.910301
162.109375	-80.330368
162.597656	-79.854202
163.085938	-80.626755
163.574219	-81.284317
164.062500	-80.033638
164.550781	-80.492577
165.039062	-79.841164
165.527344	-80.812057
166.015625	-80.272942
166.503906	-80.241013
166.992188	-80.445290
167.480469	-81.356117
167.968750	-82.179810
168.457031	-82.841240
168.945312	-79.894035
169.433594	-81.079681
169.921875	-80.339615
170.410156	-81.652855
170.898438	-82.659851
171.386719	-80.022346
171.875000	-80.215988
172.363281	-79.550323
172.851562	-80.874481
173.339844	-83.891281
173.828125	-81.313858
174.316406	-82.401596
174.804688	-81.822525
175.292969	-81.615875
175.781250	-79.548531
176.269531	-83.447723
176.757812	-81.746941
177.246094	-82.001289
177.734375	-81.775780
178.222656	-82.535583
178.710938	-81.164398
179.199219	-81.628494
179.687500	-81.000923
180.175781	-80.952438
180.664062	-80.988167
181.152344	-81.661682
181.640625	-84.606812
182.128906	-81.940201
182.617188	-83.124283
183.105469	-84.239853
183.593750	-82.104324
184.082031	-81.647026
184.570312	-82.984161
185.058594	-82.246231
185.546875	-81.470268
186.035156	-80.955086
186.523438	-82.580292
187.011719	-81.648575
187.500000	-83.092186
187.988281	-82.173241
188.476562	-83.838127
188.964844	-82.592598
189.453125	-83.109711
189.941406	-81.043282
190.429688	-84.152802
190.917969	-82.567894
191.406250	-84.396065
191.894531	-83.076332
192.382812	-82.553284
192.871094	-82.121201
193.359375	-83.229790
193.847656	-81.680565
194.335938	-82.303825
194.824219	-83.458344
195.312500	-81.443687
195.800781	-84.298897
196.289062	-83.839867
196.777344	-81.486221
197.265625	-82.745201
197.753906	-83.130684
198.242188	-82.268578
198.730469	-84.017845
199.218750	-81.985344
199.707031	-81.044746
200.195312	-84.122231
200.683594	-82.847748
201.171875	-82.941887
201.660156	-84.983505
202.148438	-81.360558
202.636719	-83.992241
203.125000	-82.916519
203.613281	-83.435425
204.101562	-83.308258
204.589844	-84.368752
205.078125	-83.457207
205.566406	-83.285255
206.054688	-83.302284
206.542969	-83.484245
207.031250	-83.442200
207.519531	-85.859337
208.007812	-84.632011
208.496094	-83.897812
208.984375	-81.954811
209.472656	-83.077759
209.960938	-83.422256
210.449219	-83.806396
210.937500	-83.193314
211.425781	-82.987091
211.914062	-83.182175
212.402344	-84.519234
212.890625	-83.300949
213.378906	-83.774513
213.867188	-83.971779
214.355469	-82.585365
214.843750	-82.451454
215.332031	-84.627647
215.820312	-81.877281
216.308594	-84.327736
216.796875	-83.958466
217.285156	-83.826706
217.773438	-84.802139
218.261719	-83.749832
218.750000	-82.736061
219.238281	-82.820648
219.726562	-85.214340
220.214844	-84.449516
220.703125	-84.020531
221.191406	-83.977371
221.679688	-85.632568
222.167969	-84.403259
222.656250	-83.334267
223.144531	-84.752258
223.632812	-83.591698
224.121094	-84.338585
224.609375	-85.484337
225.097656	-83.635857
225.585938	-83.903023
226.074219	-82.933121
226.562500	-83.432724
227.050781	-82.243889
227.539062	-85.831795
228.027344	-84.045227
228.515625	-83.695747
229.003906	-84.095322
229.492188	-84.762627
229.980469	-85.111900
230.468750	-84.009018
230.957031	-84.575562
231.445312	-85.204430
231.933594	-85.373497
232.421875	-83.488716
232.910156	-84.396843
233.398438	-83.586143
233.886719	-83.868034
234.375000	-87.043663
234.863281	-86.346176
235.351562	-85.081573
235.839844	-85.133751
236.328125	-85.718094
236.816406	-86.884987
237.304688	-85.050056
237.792969	-85.209366
238.281250	-84.735130
238.769531	-85.380272
239.257812	-85.935883
239.746094	-84.062073
240.234375	-84.364044
240.722656	-87.263504
241.210938	-84.631233
241.699219	-84.552353
242.187500	-84.462257
242.675781	-85.498123
243.164062	-85.587570
243.652344	-85.292175
244.140625	-84.310631
244.628906	-84.699455
245.117188	-86.527794
245.605469	-85.277145
246.093750	-85.291229
246.582031	-85.442032
247.070312	-84.378151
247.558594	-83.344841
248.046875	-83.956345
248.535156	-86.778938
249.023438	-85.815102
249.511719	-84.869644
250.000000	-83.824921
250.488281	-84.024467
250.976562	-86.191063
251.464844	-85.364151
251.953125	-84.352806
252.441406	-85.368912
252.929688	-84.961754
253.417969	-83.788834
253.906250	-84.107689
254.394531	-85.361443
254.882812	-85.197311
255.371094	-85.536583
255.859375	-86.164963
256.347656	-85.302284
256.835938	-85.165543
257.324219	-85.715759
257.812500	-85.249374
258.300781	-84.261215
258.789062	-86.682114
259.277344	-86.286667
259.765625	-85.218796
260.253906	-85.463699
260.742188	-86.200592
261.230469	-86.208778
261.718750	-86.277870
262.207031	-86.249527
262.695312	-85.458786
