Frequency (Hz)	Level (dB)
0.488281	-107.437965
0.976562	-109.180435
1.464844	-107.487213
1.953125	-108.673157
2.441406	-105.600273
2.929688	-106.279907
3.417969	-110.859695
3.906250	-99.437630
4.394531	-100.779694
4.882812	-103.362823
5.371094	-101.836327
5.859375	-102.330551
6.347656	-103.819893
6.835938	-94.962379
7.324219	-92.577202
7.812500	-102.225082
8.300781	-100.123840
8.789062	-93.040680
9.277344	-91.343918
9.765625	-96.107574
10.253906	-91.129128
10.742188	-91.072182
11.230469	-94.384560
11.718750	-90.254745
12.207031	-90.484703
12.695312	-89.343925
13.183594	-90.067703
13.671875	-86.343712
14.160156	-91.436760
14.648438	-90.119598
15.136719	-91.521469
15.625000	-89.711273
16.113281	-92.296227
16.601562	-93.809525
17.089844	-91.992325
17.578125	-89.551277
18.066406	-93.782318
18.554688	-94.806793
19.042969	-84.982948
19.531250	-90.462440
20.019531	-89.356415
20.507812	-93.178223
20.996094	-91.324623
21.484375	-91.797249
21.972656	-94.092201
22.460938	-93.335197
22.949219	-89.339226
23.437500	-86.302055
23.925781	-90.543526
24.414062	-86.499336
24.902344	-82.671837
25.390625	-85.063347
25.878906	-84.814163
26.367188	-89.754112
26.855469	-87.039055
27.343750	-83.130585
27.832031	-83.988373
28.320312	-90.285950
28.808594	-82.224754
29.296875	-85.797798
29.785156	-83.227142
30.273438	-83.500137
30.761719	-83.181412
31.250000	-86.504456
31.738281	-82.718452
32.226562	-85.133919
32.714844	-87.975327
33.203125	-87.382500
33.691406	-86.631355
34.179688	-82.528923
34.667969	-80.873955
35.156250	-83.326546
35.644531	-86.984154
36.132812	-83.819572
36.621094	-81.247757
37.109375	-80.887932
37.597656	-89.174126
38.085938	-78.633354
38.574219	-83.686920
39.062500	-78.540627
39.550781	-83.966507
40.039062	-83.606766
40.527344	-80.052277
41.015625	-75.248207
41.503906	-78.067947
41.992188	-77.876137
42.480469	-77.041534
42.968750	-86.963120
43.457031	-81.332153
43.945312	-89.370758
44.433594	-76.710052
44.921875	-77.791145
45.410156	-79.926590
45.898438	-81.240822
46.386719	-77.367844
46.875000	-78.395683
47.363281	-78.605118
47.851562	-72.655037
48.339844	-76.362144
48.828125	-77.367668
49.316406	-78.309448
49.804688	-72.889900
50.292969	-75.389290
50.781250	-81.024292
51.269531	-76.315689
51.757812	-77.096016
52.246094	-80.811577
52.734375	-88.030022
53.222656	-77.682549
53.710938	-76.862534
54.199219	-73.086296
54.687500	-73.710205
55.175781	-77.559875
55.664062	-78.302742
56.152344	-73.819809
56.640625	-77.698616
57.128906	-74.477852
57.617188	-77.175316
58.105469	-76.939018
58.593750	-76.943947
59.082031	-79.408913
59.570312	-77.866631
60.058594	-75.237236
60.546875	-75.564171
61.035156	-78.644424
61.523438	-81.178543
62.011719	-75.648170
62.500000	-74.981125
62.988281	-73.744469
63.476562	-74.346214
63.964844	-76.113007
64.453125	-76.003601
64.941406	-80.200485
65.429688	-75.093765
65.917969	-76.167511
66.406250	-76.980171
66.894531	-79.342400
67.382812	-75.069534
67.871094	-75.367096
68.359375	-71.859680
68.847656	-73.513237
69.335938	-77.181633
69.824219	-78.782677
70.312500	-90.021957
70.800781	-80.215439
71.289062	-78.338692
71.777344	-81.885521
72.265625	-78.490448
72.753906	-76.835915
73.242188	-76.678429
73.730469	-76.441437
74.218750	-74.295456
74.707031	-71.888458
75.195312	-78.298492
75.683594	-78.325424
76.171875	-77.880814
76.660156	-79.672249
77.148438	-75.608398
77.636719	-77.230980
78.125000	-75.086479
78.613281	-80.646553
79.101562	-76.978386
79.589844	-76.468964
80.078125	-75.576668
80.566406	-75.139748
