Frequency (Hz)	Level (dB)
0.488281	-73.061310
0.976562	-73.044388
1.464844	-73.026077
1.953125	-72.925194
2.441406	-72.834877
2.929688	-72.650330
3.417969	-72.339203
3.906250	-72.290878
4.394531	-71.154449
4.882812	-70.828323
5.371094	-68.093605
5.859375	-67.033707
6.347656	-65.073555
6.835938	-62.624054
7.324219	-62.809059
7.812500	-61.064804
8.300781	-60.695946
8.789062	-58.629890
9.277344	-58.761211
9.765625	-56.798893
10.253906	-56.367577
10.742188	-55.482925
11.230469	-56.711124
11.718750	-55.324772
12.207031	-54.014347
12.695312	-54.227333
13.183594	-54.494469
13.671875	-52.440804
14.160156	-50.749352
14.648438	-51.539169
15.136719	-50.698803
15.625000	-51.718395
16.113281	-51.165920
16.601562	-50.055038
17.089844	-50.323387
17.578125	-50.428806
18.066406	-50.581909
18.554688	-50.184135
19.042969	-50.993813
19.531250	-48.172756
20.019531	-47.924454
20.507812	-47.299557
20.996094	-48.269863
21.484375	-46.775108
21.972656	-47.403835
22.460938	-46.146889
22.949219	-45.415295
23.437500	-45.078396
23.925781	-47.040695
24.414062	-44.027710
24.902344	-45.555264
25.390625	-44.928856
25.878906	-43.406113
26.367188	-43.329742
26.855469	-43.453106
27.343750	-44.066227
27.832031	-44.746044
28.320312	-44.424770
28.808594	-45.551598
29.296875	-44.029327
29.785156	-44.120239
30.273438	-44.550705
30.761719	-45.959709
31.250000	-42.478046
31.738281	-43.266758
32.226562	-43.899445
32.714844	-43.846462
33.203125	-44.311718
33.691406	-43.543915
34.179688	-43.619640
34.667969	-44.048424
35.156250	-42.334038
35.644531	-42.070675
36.132812	-42.898151
36.621094	-42.993595
37.109375	-43.614948
37.597656	-44.745731
38.085938	-43.648140
38.574219	-44.907681
39.062500	-44.230736
39.550781	-42.143021
40.039062	-43.012569
40.527344	-44.243156
41.015625	-43.311115
41.503906	-44.015705
41.992188	-43.554253
42.480469	-45.097805
42.968750	-43.872543
43.457031	-43.728352
43.945312	-44.693127
44.433594	-44.991631
44.921875	-44.617638
45.410156	-45.613316
45.898438	-43.934410
46.386719	-45.846901
46.875000	-45.625801
47.363281	-44.404602
47.851562	-46.357944
48.339844	-44.851757
48.828125	-45.752651
49.316406	-45.760647
49.804688	-44.782818
50.292969	-45.834782
50.781250	-44.719929
51.269531	-46.442860
51.757812	-45.634174
52.246094	-46.146839
52.734375	-47.086926
53.222656	-45.508324
53.710938	-46.698811
54.199219	-47.674866
54.687500	-48.215332
55.175781	-47.356041
55.664062	-48.020535
56.152344	-47.959896
56.640625	-46.675896
57.128906	-48.118443
57.617188	-47.270241
58.105469	-48.572121
58.593750	-50.356449
59.082031	-48.461239
59.570312	-49.328789
60.058594	-48.676403
60.546875	-48.994816
61.035156	-49.049301
61.523438	-50.664642
62.011719	-49.761005
62.500000	-48.449142
62.988281	-49.782547
63.476562	-48.540878
63.964844	-49.671276
64.453125	-50.270573
64.941406	-49.044739
65.429688	-48.594994
65.917969	-49.676796
66.406250	-49.827702
66.894531	-50.975151
67.382812	-50.900772
67.871094	-49.058773
68.359375	-50.060444
68.847656	-50.422752
69.335938	-50.062386
69.824219	-50.209225
70.312500	-51.351807
70.800781	-52.379116
71.289062	-53.702553
71.777344	-53.076736
72.265625	-51.128529
72.753906	-51.673546
73.242188	-51.243748
73.730469	-53.009499
74.218750	-52.370674
74.707031	-51.760792
75.195312	-51.689548
75.683594	-52.744473
76.171875	-51.847832
76.660156	-51.893208
77.148438	-51.242496
77.636719	-52.761086
78.125000	-51.900993
78.613281	-53.693680
79.101562	-51.126148
79.589844	-51.387440
80.078125	-51.920383
80.566406	-52.560852
81.054688	-53.955063
81.542969	-52.734112
82.031250	-52.508896
82.519531	-54.003342
83.007812	-54.349777
83.496094	-53.909832
83.984375	-52.869583
84.472656	-54.395370
84.960938	-56.169540
85.449219	-55.291546
85.937500	-56.014446
86.425781	-54.347778
86.914062	-54.296284
87.402344	-54.192001
87.890625	-54.123882
88.378906	-55.329960
88.867188	-53.766125
89.355469	-53.968735
89.843750	-54.214764
90.332031	-55.080605
90.820312	-55.236919
91.308594	-53.418167
91.796875	-53.567776
92.285156	-56.246883
92.773438	-55.390388
93.261719	-57.499878
93.750000	-54.563583
94.238281	-54.253017
94.726562	-56.788933
95.214844	-56.945377
95.703125	-56.005703
96.191406	-56.350697
96.679688	-54.900551
97.167969	-57.292900
97.656250	-56.244286
98.144531	-56.228970
98.632812	-56.777237
99.121094	-54.273247
99.609375	-56.210552
100.097656	-56.750565
100.585938	-55.538235
101.074219	-56.946362
101.562500	-55.892406
102.050781	-57.908104
102.539062	-56.290092
103.027344	-56.469975
103.515625	-56.587917
104.003906	-56.401791
104.492188	-57.200428
104.980469	-55.468723
105.468750	-56.173557
105.957031	-57.501225
106.445312	-58.426373
106.933594	-57.372776
107.421875	-58.231327
107.910156	-57.204769
108.398438	-57.302315
108.886719	-56.685143
109.375000	-58.178860
109.863281	-58.401596
110.351562	-56.944374
110.839844	-58.121075
111.328125	-59.407799
111.816406	-58.348213
112.304688	-59.294556
112.792969	-58.835098
113.281250	-58.653790
113.769531	-58.000496
114.257812	-59.218529
114.746094	-59.927746
115.234375	-57.877010
115.722656	-59.684772
116.210938	-60.206905
116.699219	-58.840645
117.187500	-59.865780
117.675781	-59.829903
118.164062	-60.205811
118.652344	-59.985607
119.140625	-60.460426
119.628906	-60.078728
120.117188	-59.004642
120.605469	-60.357254
121.093750	-59.633747
121.582031	-58.861465
122.070312	-59.378761
122.558594	-60.151489
123.046875	-59.649761
123.535156	-60.090332
124.023438	-59.988983
124.511719	-62.515541
125.000000	-59.780430
125.488281	-60.359936
125.976562	-60.439251
126.464844	-61.119205
126.953125	-60.337845
127.441406	-61.865368
127.929688	-62.558834
128.417969	-61.268379
128.906250	-60.561729
129.394531	-61.250572
129.882812	-62.114937
130.371094	-60.905457
130.859375	-60.439182
131.347656	-61.402969
131.835938	-61.286423
132.324219	-61.892757
132.812500	-62.273655
133.300781	-62.000420
133.789062	-62.325237
134.277344	-60.116505
134.765625	-60.269176
135.253906	-62.906090
135.742188	-62.308937
136.230469	-62.097912
