Frequency (Hz)	Level (dB)
0.488281	-103.247719
0.976562	-102.212761
1.464844	-102.756416
1.953125	-101.676842
2.441406	-102.418480
2.929688	-102.372742
3.417969	-102.248268
3.906250	-98.922913
4.394531	-99.566467
4.882812	-98.778488
5.371094	-100.239006
5.859375	-98.785072
6.347656	-96.511543
6.835938	-96.174370
7.324219	-99.278641
7.812500	-99.226646
8.300781	-99.070473
8.789062	-98.278191
9.277344	-98.373955
9.765625	-95.520142
10.253906	-95.257057
10.742188	-94.980682
11.230469	-92.826721
11.718750	-92.466568
12.207031	-93.245995
12.695312	-93.363266
13.183594	-91.088745
13.671875	-91.867424
14.160156	-93.872253
14.648438	-90.677414
15.136719	-90.813004
15.625000	-91.007675
16.113281	-90.505936
16.601562	-91.987770
17.089844	-93.286659
17.578125	-91.280045
18.066406	-90.047417
18.554688	-89.583595
19.042969	-86.949669
19.531250	-90.345787
20.019531	-90.552612
20.507812	-89.268738
20.996094	-88.001740
21.484375	-88.432014
21.972656	-87.685349
22.460938	-88.415665
22.949219	-86.033966
23.437500	-86.877106
23.925781	-88.135559
24.414062	-87.300018
24.902344	-86.943985
25.390625	-88.165039
25.878906	-88.081390
26.367188	-86.498459
26.855469	-86.728462
27.343750	-85.039330
27.832031	-88.281464
28.320312	-86.343140
28.808594	-86.012909
29.296875	-86.345406
29.785156	-85.112488
30.273438	-88.433022
30.761719	-87.110825
31.250000	-88.090965
31.738281	-85.407013
32.226562	-88.484314
32.714844	-89.341530
33.203125	-86.354935
33.691406	-86.957764
34.179688	-85.032028
34.667969	-83.618134
35.156250	-84.741013
35.644531	-87.492325
36.132812	-86.119392
36.621094	-85.560234
37.109375	-84.798401
37.597656	-85.188576
38.085938	-83.999123
38.574219	-84.883446
39.062500	-86.447960
39.550781	-85.442673
40.039062	-84.708839
40.527344	-87.391876
41.015625	-86.371567
41.503906	-84.772682
41.992188	-85.114090
42.480469	-84.919685
42.968750	-83.003120
43.457031	-85.876381
43.945312	-84.336914
44.433594	-82.917786
44.921875	-84.758209
45.410156	-83.960236
45.898438	-84.743423
46.386719	-83.567581
46.875000	-86.477692
47.363281	-82.126183
47.851562	-81.956093
48.339844	-82.318138
48.828125	-82.624634
49.316406	-83.252144
49.804688	-81.400848
50.292969	-82.945282
50.781250	-81.538757
51.269531	-81.225105
51.757812	-82.868935
52.246094	-83.176880
52.734375	-82.963104
53.222656	-80.615471
53.710938	-82.009682
54.199219	-81.766899
54.687500	-80.548889
55.175781	-80.256622
55.664062	-80.322784
56.152344	-80.192245
56.640625	-78.141182
57.128906	-79.510338
57.617188	-80.005447
58.105469	-79.535294
58.593750	-78.089134
59.082031	-79.515053
59.570312	-78.078018
60.058594	-81.241524
60.546875	-79.601974
61.035156	-79.184387
61.523438	-79.357193
62.011719	-77.114418
62.500000	-76.766884
62.988281	-77.422806
63.476562	-77.872581
63.964844	-75.904778
64.453125	-78.344841
64.941406	-81.380913
65.429688	-79.724709
65.917969	-80.836357
66.406250	-80.637199
66.894531	-80.371071
67.382812	-81.874809
67.871094	-80.812538
68.359375	-82.131470
68.847656	-81.978920
