Frequency (Hz)	Level (dB)
0.488281	-103.918892
0.976562	-101.166641
1.464844	-101.483139
1.953125	-103.607430
2.441406	-105.858063
2.929688	-102.677002
3.417969	-103.830826
3.906250	-97.349121
4.394531	-97.765823
4.882812	-97.078560
5.371094	-99.769173
5.859375	-102.536888
6.347656	-97.327507
6.835938	-98.666107
7.324219	-100.789169
7.812500	-100.591911
8.300781	-100.849388
8.789062	-104.695724
9.277344	-98.808784
9.765625	-94.942276
10.253906	-98.067978
10.742188	-90.811119
11.230469	-90.878616
11.718750	-90.550949
12.207031	-94.483879
12.695312	-97.362015
13.183594	-92.691750
13.671875	-94.044754
14.160156	-92.199013
14.648438	-91.612366
15.136719	-91.978523
15.625000	-90.020302
16.113281	-94.914970
16.601562	-91.710373
17.089844	-92.518906
17.578125	-95.916214
18.066406	-90.227875
18.554688	-93.170425
19.042969	-85.105606
19.531250	-93.028168
20.019531	-93.829346
20.507812	-87.260284
20.996094	-84.608360
21.484375	-92.220558
21.972656	-87.230209
22.460938	-93.842033
22.949219	-87.024811
23.437500	-87.420609
23.925781	-93.261627
24.414062	-88.642914
24.902344	-86.155220
25.390625	-88.229134
25.878906	-89.325783
26.367188	-87.735596
26.855469	-87.164330
27.343750	-85.900726
27.832031	-93.625343
28.320312	-88.863037
28.808594	-94.761688
29.296875	-86.915619
29.785156	-88.112915
30.273438	-88.650658
30.761719	-92.103851
31.250000	-86.342148
31.738281	-88.469910
32.226562	-91.175156
32.714844	-90.883629
33.203125	-90.435638
33.691406	-83.127678
34.179688	-80.606682
34.667969	-84.882874
35.156250	-86.734665
35.644531	-92.277863
36.132812	-84.996338
36.621094	-83.905266
37.109375	-86.787071
37.597656	-91.882118
38.085938	-85.673302
38.574219	-83.560440
39.062500	-88.680717
39.550781	-82.879196
40.039062	-80.564400
40.527344	-89.003128
41.015625	-82.356079
41.503906	-86.321663
41.992188	-85.458809
42.480469	-81.743736
42.968750	-80.928116
43.457031	-87.333229
43.945312	-88.645958
44.433594	-81.713860
44.921875	-83.218452
45.410156	-80.494553
45.898438	-86.176193
46.386719	-82.355095
46.875000	-86.915039
47.363281	-82.303307
47.851562	-84.624054
48.339844	-79.186104
48.828125	-80.674988
49.316406	-81.778038
49.804688	-79.357338
50.292969	-85.991760
50.781250	-79.855972
51.269531	-79.639877
51.757812	-85.742447
52.246094	-88.371269
52.734375	-87.457504
53.222656	-82.952652
53.710938	-83.717934
54.199219	-78.902084
54.687500	-82.982910
55.175781	-83.569519
55.664062	-77.019592
56.152344	-83.285828
56.640625	-80.643806
57.128906	-79.950470
57.617188	-82.622032
58.105469	-83.495247
58.593750	-76.254395
59.082031	-79.007721
59.570312	-79.707863
60.058594	-82.154861
60.546875	-82.523949
61.035156	-80.551506
61.523438	-78.389809
62.011719	-75.003822
62.500000	-75.807243
62.988281	-76.714195
63.476562	-77.636772
63.964844	-78.341545
64.453125	-76.676811
64.941406	-81.460686
65.429688	-79.368744
65.917969	-78.952728
66.406250	-78.481850
66.894531	-77.152122
67.382812	-80.912979
67.871094	-82.747177
68.359375	-84.222885
68.847656	-85.741333
69.335938	-76.484917
69.824219	-78.079926
70.312500	-78.109741
70.800781	-78.683418
71.289062	-83.604561
71.777344	-79.761292
72.265625	-84.456314
72.753906	-80.282616
73.242188	-80.786270
73.730469	-80.198441
74.218750	-78.648811
74.707031	-77.397285
75.195312	-79.237625
75.683594	-80.045586
76.171875	-84.193237
76.660156	-77.235825
77.148438	-80.918701
77.636719	-79.340767
78.125000	-78.180267
78.613281	-77.777199
79.101562	-78.697655
79.589844	-83.838570
80.078125	-84.689606
80.566406	-85.623329
81.054688	-82.847237
81.542969	-79.397575
82.031250	-82.294960
82.519531	-76.637650
83.007812	-76.949181
83.496094	-82.365677
83.984375	-79.193924
84.472656	-76.683594
84.960938	-76.596695
85.449219	-76.640717
85.937500	-79.906624
86.425781	-77.043182
86.914062	-78.324570
87.402344	-81.409302
87.890625	-77.129524
88.378906	-78.767830
88.867188	-77.936249
89.355469	-76.223297
89.843750	-81.080032
90.332031	-80.197876
90.820312	-84.000694
91.308594	-76.760841
91.796875	-80.282150
92.285156	-79.282745
92.773438	-82.864609
93.261719	-79.104782
93.750000	-84.694862
94.238281	-80.868393
94.726562	-77.339142
95.214844	-87.463387
95.703125	-85.811577
96.191406	-82.003975
96.679688	-78.062981
97.167969	-80.847435
97.656250	-82.196815
98.144531	-80.262794
98.632812	-84.618446
99.121094	-81.275513
99.609375	-78.994797
100.097656	-79.410110
100.585938	-77.965340
101.074219	-79.711441
101.562500	-82.371567
102.050781	-80.749077
102.539062	-77.322601
103.027344	-78.488876
103.515625	-80.595741
104.003906	-82.940514
104.492188	-77.798454
104.980469	-77.629013
105.468750	-75.345970
105.957031	-85.036217
106.445312	-80.021194
106.933594	-81.008858
107.421875	-78.152855
107.910156	-80.064896
108.398438	-80.667458
108.886719	-84.276627
109.375000	-79.532082
109.863281	-78.586586
110.351562	-81.286888
110.839844	-83.230476
111.328125	-80.005760
111.816406	-83.419250
112.304688	-79.404297
112.792969	-80.066841
113.281250	-77.516579
113.769531	-79.073524
114.257812	-78.844597
114.746094	-75.868217
115.234375	-78.417061
115.722656	-73.714989
116.210938	-78.868126
116.699219	-79.237061
117.187500	-79.674004
117.675781	-79.299889
118.164062	-82.135712
118.652344	-81.109612
119.140625	-80.642410
119.628906	-82.023125
120.117188	-85.355797
120.605469	-76.507637
121.093750	-81.874443
121.582031	-81.928894
122.070312	-84.105850
122.558594	-82.313614
123.046875	-82.810654
123.535156	-78.024338
124.023438	-82.698784
124.511719	-77.729584
125.000000	-79.609421
125.488281	-79.477119
125.976562	-79.191338
126.464844	-79.380623
126.953125	-80.552498
127.441406	-77.705345
127.929688	-76.863533
128.417969	-77.667778
128.906250	-77.344193
129.394531	-82.310562
129.882812	-78.172424
130.371094	-82.259827
130.859375	-80.780891
131.347656	-77.194206
131.835938	-82.017746
132.324219	-81.475182
132.812500	-76.460342
133.300781	-79.437241
133.789062	-79.014503
134.277344	-80.262901
134.765625	-78.815880
135.253906	-79.253716
135.742188	-78.694542
136.230469	-82.968697
136.718750	-81.690689
137.207031	-74.669937
137.695312	-77.192459
138.183594	-76.427246
138.671875	-84.238022
139.160156	-81.383720
139.648438	-85.541595
140.136719	-81.443802
140.625000	-77.823135
141.113281	-76.589165
141.601562	-81.802650
142.089844	-78.259575
142.578125	-78.067162
143.066406	-78.188187
