Frequency (Hz)	Level (dB)
0.488281	-117.609894
0.976562	-117.472076
1.464844	-119.385826
1.953125	-117.451782
2.441406	-117.752090
2.929688	-110.699417
3.417969	-112.743355
3.906250	-106.577843
4.394531	-109.255531
4.882812	-102.979187
5.371094	-98.910255
5.859375	-105.266357
6.347656	-99.796394
6.835938	-97.432182
7.324219	-92.750374
7.812500	-96.943375
8.300781	-93.928719
8.789062	-94.943626
9.277344	-95.816505
9.765625	-96.126465
10.253906	-90.095634
10.742188	-94.955322
11.230469	-94.984673
11.718750	-92.776779
12.207031	-88.189728
12.695312	-88.928963
13.183594	-94.771484
13.671875	-87.325920
14.160156	-87.367607
14.648438	-89.589546
15.136719	-86.799706
15.625000	-88.460648
16.113281	-90.705040
16.601562	-93.571625
17.089844	-89.939369
17.578125	-87.985512
18.066406	-89.090546
18.554688	-90.228653
19.042969	-91.608597
19.531250	-86.901962
20.019531	-89.818542
20.507812	-89.731224
20.996094	-84.275108
21.484375	-85.766449
21.972656	-87.760368
22.460938	-89.805237
22.949219	-90.758598
23.437500	-91.847687
23.925781	-94.526947
24.414062	-89.294922
24.902344	-87.351036
25.390625	-88.613312
25.878906	-89.048637
26.367188	-92.748390
26.855469	-88.462776
27.343750	-88.136497
27.832031	-92.296165
28.320312	-87.216667
28.808594	-95.971031
29.296875	-92.860306
29.785156	-96.147850
30.273438	-92.494576
30.761719	-88.477219
31.250000	-86.251114
31.738281	-89.694618
32.226562	-88.177010
32.714844	-90.847206
33.203125	-85.555580
33.691406	-89.967552
34.179688	-94.537621
34.667969	-88.095627
35.156250	-85.172211
35.644531	-84.326126
36.132812	-87.016136
36.621094	-87.693680
37.109375	-90.337280
37.597656	-91.113014
38.085938	-90.932564
38.574219	-87.974937
39.062500	-89.205162
39.550781	-91.179543
40.039062	-85.928535
40.527344	-87.926956
41.015625	-82.726318
41.503906	-84.393456
41.992188	-86.367744
42.480469	-86.017654
42.968750	-86.837250
43.457031	-85.786392
43.945312	-90.758659
44.433594	-79.219856
44.921875	-85.643959
45.410156	-84.063599
45.898438	-82.934418
46.386719	-82.031601
46.875000	-83.261543
47.363281	-79.893959
47.851562	-77.654831
48.339844	-79.334465
48.828125	-81.894066
49.316406	-82.131485
49.804688	-76.293480
50.292969	-80.008835
50.781250	-80.063400
51.269531	-79.277069
51.757812	-80.927238
52.246094	-84.584747
52.734375	-83.922211
53.222656	-84.282524
53.710938	-80.401230
54.199219	-73.645248
54.687500	-77.282494
55.175781	-79.716301
55.664062	-83.719124
56.152344	-80.113815
56.640625	-80.106110
57.128906	-73.888092
57.617188	-77.062576
58.105469	-78.638260
58.593750	-80.035332
59.082031	-81.956306
59.570312	-80.225449
60.058594	-77.872009
60.546875	-77.588356
61.035156	-80.698776
61.523438	-78.856110
62.011719	-77.482414
62.500000	-75.987129
62.988281	-79.455879
63.476562	-79.404106
63.964844	-80.355949
64.453125	-79.213028
64.941406	-81.600006
65.429688	-77.347244
65.917969	-79.645393
66.406250	-79.819679
66.894531	-86.285912
67.382812	-76.774605
67.871094	-76.994423
68.359375	-74.094276
68.847656	-74.938713
69.335938	-76.913239
69.824219	-87.958176
70.312500	-82.691231
70.800781	-81.728653
71.289062	-80.562416
71.777344	-84.063034
