Frequency (Hz)	Level (dB)
0.488281	-95.073952
0.976562	-94.722282
1.464844	-95.484085
1.953125	-94.697823
2.441406	-95.020561
2.929688	-95.230186
3.417969	-95.018814
3.906250	-94.476242
4.394531	-95.015953
4.882812	-94.640465
5.371094	-95.418365
5.859375	-94.211067
6.347656	-93.488434
6.835938	-91.985107
7.324219	-91.708984
7.812500	-92.284637
8.300781	-92.922165
8.789062	-91.772766
9.277344	-91.160156
9.765625	-91.921509
10.253906	-89.060738
10.742188	-89.486885
11.230469	-88.916321
11.718750	-89.145477
12.207031	-89.073509
12.695312	-87.621208
13.183594	-86.566864
13.671875	-86.663139
14.160156	-86.930786
14.648438	-84.964264
15.136719	-85.033958
15.625000	-83.994133
16.113281	-84.709946
16.601562	-83.664772
17.089844	-82.582428
17.578125	-82.636238
18.066406	-83.017548
18.554688	-82.762962
19.042969	-82.479721
19.531250	-81.321304
20.019531	-80.630089
20.507812	-81.771202
20.996094	-78.495705
21.484375	-79.617371
21.972656	-79.236229
22.460938	-79.087830
22.949219	-78.609612
23.437500	-79.637985
23.925781	-79.456543
24.414062	-79.163795
24.902344	-78.452667
25.390625	-79.047195
25.878906	-77.770981
26.367188	-77.073227
26.855469	-75.473999
27.343750	-76.667725
27.832031	-75.367882
28.320312	-77.576141
28.808594	-75.585526
29.296875	-76.306305
29.785156	-76.645561
30.273438	-75.530876
30.761719	-73.729492
31.250000	-75.056129
31.738281	-74.663460
32.226562	-75.819862
32.714844	-74.630058
33.203125	-73.491890
33.691406	-73.042313
34.179688	-73.751244
34.667969	-73.909554
35.156250	-72.100662
35.644531	-71.716423
36.132812	-72.346390
36.621094	-72.505852
37.109375	-71.968697
37.597656	-74.659164
38.085938	-71.612068
38.574219	-71.895378
39.062500	-70.052902
39.550781	-71.988884
40.039062	-72.779060
40.527344	-69.017509
41.015625	-71.115555
41.503906	-71.621567
41.992188	-71.228760
42.480469	-72.229286
42.968750	-70.977539
43.457031	-69.436913
43.945312	-68.497505
44.433594	-69.957275
44.921875	-69.329193
45.410156	-68.657089
45.898438	-69.287025
46.386719	-70.110062
46.875000	-67.990654
47.363281	-68.922188
47.851562	-69.618645
48.339844	-70.903595
48.828125	-71.685768
49.316406	-69.976494
49.804688	-69.438904
50.292969	-70.282761
50.781250	-70.354973
51.269531	-68.533516
51.757812	-70.022026
52.246094	-69.615997
52.734375	-67.263535
53.222656	-68.339905
53.710938	-69.945282
54.199219	-67.896233
54.687500	-69.169197
55.175781	-69.199348
55.664062	-69.876434
56.152344	-69.132057
56.640625	-69.111900
57.128906	-69.407150
57.617188	-68.101784
58.105469	-67.917068
58.593750	-69.783745
59.082031	-66.580185
59.570312	-69.626808
60.058594	-68.211563
60.546875	-68.742722
61.035156	-68.413483
61.523438	-68.176613
62.011719	-67.676277
62.500000	-69.249016
62.988281	-67.464928
63.476562	-69.310547
63.964844	-67.879929
64.453125	-67.727875
64.941406	-68.448746
65.429688	-69.207420
65.917969	-66.925049
66.406250	-68.339134
66.894531	-66.790146
67.382812	-66.953354
67.871094	-69.029152
68.359375	-67.822273
68.847656	-67.949249
69.335938	-67.237366
69.824219	-66.029083
70.312500	-67.711792
70.800781	-67.882301
71.289062	-68.437614
71.777344	-68.516243
72.265625	-68.269432
72.753906	-68.835258
73.242188	-66.994522
73.730469	-68.804321
74.218750	-67.529778
74.707031	-67.472679
75.195312	-66.154533
75.683594	-67.150307
76.171875	-67.233803
76.660156	-67.960175
77.148438	-67.763557
77.636719	-68.321342
78.125000	-68.107780
78.613281	-68.211731
79.101562	-69.022202
79.589844	-68.779503
80.078125	-69.425674
80.566406	-69.761765
81.054688	-69.037201
81.542969	-68.284599
82.031250	-68.019501
82.519531	-67.013268
83.007812	-66.386284
83.496094	-68.002884
83.984375	-68.523438
84.472656	-69.097519
84.960938	-67.084572
85.449219	-67.057915
85.937500	-66.290184
86.425781	-65.567749
86.914062	-67.766869
87.402344	-66.786446
87.890625	-67.350182
88.378906	-68.783508
88.867188	-67.115356
89.355469	-68.612389
89.843750	-66.714172
90.332031	-67.581955
90.820312	-67.164047
91.308594	-66.550026
91.796875	-66.546753
92.285156	-67.490219
92.773438	-67.616760
93.261719	-65.836327
93.750000	-66.425903
94.238281	-67.956367
94.726562	-66.972733
95.214844	-67.778748
95.703125	-66.930382
96.191406	-68.194298
96.679688	-66.418610
97.167969	-67.417419
97.656250	-68.657784
98.144531	-65.801613
98.632812	-68.827721
99.121094	-66.544716
99.609375	-66.834282
100.097656	-66.897697
100.585938	-67.236549
101.074219	-67.946266
101.562500	-68.463570
102.050781	-66.014122
102.539062	-66.879906
103.027344	-68.200027
103.515625	-66.832184
104.003906	-67.054550
104.492188	-66.706619
104.980469	-68.024254
105.468750	-66.708290
105.957031	-66.422737
106.445312	-67.151131
106.933594	-67.049599
107.421875	-65.487778
107.910156	-66.126389
108.398438	-67.533127
108.886719	-66.388474
109.375000	-65.318398
109.863281	-66.056435
110.351562	-66.018272
110.839844	-65.930702
111.328125	-67.621689
111.816406	-66.750046
112.304688	-67.473190
112.792969	-67.188637
113.281250	-65.675362
113.769531	-66.885170
114.257812	-65.923943
114.746094	-67.455002
115.234375	-66.509171
115.722656	-66.906380
116.210938	-67.817062
116.699219	-67.339966
117.187500	-66.432198
117.675781	-67.192116
118.164062	-65.457939
118.652344	-65.312706
119.140625	-66.833397
119.628906	-66.774445
