Frequency (Hz)	Level (dB)
0.488281	-96.912842
0.976562	-96.671677
1.464844	-96.515808
1.953125	-96.660919
2.441406	-96.442833
2.929688	-96.542351
3.417969	-96.673386
3.906250	-95.001221
4.394531	-96.223701
4.882812	-96.293480
5.371094	-96.164207
5.859375	-95.914177
6.347656	-93.656036
6.835938	-93.532440
7.324219	-93.435211
7.812500	-93.374710
8.300781	-94.314377
8.789062	-92.927765
9.277344	-91.583519
9.765625	-94.409866
10.253906	-92.744537
10.742188	-90.352036
11.230469	-89.900627
11.718750	-89.679642
12.207031	-90.405121
12.695312	-89.771111
13.183594	-90.364204
13.671875	-90.124290
14.160156	-90.853203
14.648438	-91.601402
15.136719	-91.923103
15.625000	-88.065659
16.113281	-89.513512
16.601562	-89.889771
17.089844	-88.877640
17.578125	-88.949921
18.066406	-89.130005
18.554688	-87.602539
19.042969	-88.455154
19.531250	-88.615463
20.019531	-88.820877
20.507812	-90.103432
20.996094	-86.972015
21.484375	-88.020279
21.972656	-87.569733
22.460938	-88.508736
22.949219	-87.349480
23.437500	-88.971596
23.925781	-88.300995
24.414062	-87.821770
24.902344	-88.786514
25.390625	-89.323402
25.878906	-89.067665
26.367188	-88.972908
26.855469	-89.024475
27.343750	-89.735512
27.832031	-88.185890
28.320312	-88.041199
28.808594	-88.452248
29.296875	-88.144531
29.785156	-85.839333
30.273438	-87.798470
30.761719	-88.408669
31.250000	-88.418884
31.738281	-85.871315
32.226562	-86.605858
32.714844	-88.417618
33.203125	-87.171196
33.691406	-87.830673
34.179688	-86.053711
34.667969	-85.722038
35.156250	-84.278130
35.644531	-85.827965
36.132812	-84.718636
36.621094	-85.524651
37.109375	-85.324348
37.597656	-84.096550
38.085938	-83.019882
38.574219	-84.229057
39.062500	-82.314529
39.550781	-82.357948
40.039062	-83.803047
40.527344	-83.560417
41.015625	-84.178841
41.503906	-81.797897
41.992188	-81.645821
42.480469	-82.635330
42.968750	-80.831573
43.457031	-80.964264
43.945312	-81.427811
44.433594	-81.423149
44.921875	-80.131210
45.410156	-80.013176
45.898438	-79.246529
46.386719	-80.302322
46.875000	-79.375259
47.363281	-77.987045
47.851562	-78.367805
48.339844	-78.780334
48.828125	-80.045708
49.316406	-77.608978
49.804688	-79.234108
50.292969	-76.962547
50.781250	-79.238754
51.269531	-78.611961
51.757812	-78.580643
52.246094	-78.621658
52.734375	-78.756149
53.222656	-79.313667
53.710938	-80.420692
54.199219	-78.413681
54.687500	-75.728943
55.175781	-78.414017
55.664062	-76.963089
56.152344	-77.039047
56.640625	-76.644409
57.128906	-76.972427
57.617188	-78.417831
58.105469	-77.937073
58.593750	-77.713997
59.082031	-76.727341
59.570312	-76.787376
60.058594	-77.008087
60.546875	-75.609200
61.035156	-76.605423
