Frequency (Hz)	Level (dB)
0.488281	-86.602409
0.976562	-86.031311
1.464844	-86.015076
1.953125	-85.983444
2.441406	-86.023399
2.929688	-85.881660
3.417969	-85.828407
3.906250	-85.747925
4.394531	-85.716576
4.882812	-86.289696
5.371094	-85.471924
5.859375	-86.270706
6.347656	-86.141335
6.835938	-85.936417
7.324219	-86.952095
7.812500	-86.165237
8.300781	-85.262169
8.789062	-86.258942
9.277344	-85.387642
9.765625	-86.219536
10.253906	-84.910461
10.742188	-84.255531
11.230469	-83.861870
11.718750	-83.158249
12.207031	-84.746429
12.695312	-83.881470
13.183594	-84.634911
13.671875	-84.498688
14.160156	-85.409042
14.648438	-84.333572
15.136719	-84.511765
15.625000	-83.427315
16.113281	-83.738892
16.601562	-82.940704
17.089844	-81.332558
17.578125	-81.217567
18.066406	-81.453430
18.554688	-81.517845
19.042969	-81.394424
19.531250	-81.521828
20.019531	-80.323257
20.507812	-81.178574
20.996094	-80.259644
21.484375	-81.502243
21.972656	-79.343285
22.460938	-79.029945
22.949219	-78.151627
23.437500	-78.862701
23.925781	-78.350929
24.414062	-78.037407
24.902344	-78.774254
25.390625	-77.170181
25.878906	-77.040298
26.367188	-76.581169
26.855469	-77.987869
27.343750	-76.285553
27.832031	-76.578033
28.320312	-76.818336
28.808594	-77.435677
29.296875	-76.332047
29.785156	-75.912979
30.273438	-76.701759
30.761719	-74.471611
31.250000	-72.162216
31.738281	-74.275696
32.226562	-73.283653
32.714844	-72.994499
33.203125	-73.017738
33.691406	-73.269562
34.179688	-72.437950
34.667969	-71.314087
35.156250	-72.862076
35.644531	-71.120308
36.132812	-71.099655
36.621094	-72.157555
37.109375	-72.740242
37.597656	-71.257881
38.085938	-71.167953
38.574219	-73.070374
39.062500	-71.582336
39.550781	-69.612411
40.039062	-70.703392
40.527344	-69.606285
41.015625	-69.488106
41.503906	-69.053238
41.992188	-67.568466
42.480469	-68.676476
42.968750	-67.953491
43.457031	-68.636322
43.945312	-67.659134
44.433594	-68.604630
44.921875	-68.529457
45.410156	-67.089401
45.898438	-68.623245
46.386719	-67.800400
46.875000	-66.676895
47.363281	-67.641693
47.851562	-66.948158
48.339844	-66.658928
48.828125	-65.333420
49.316406	-66.178169
49.804688	-65.549370
50.292969	-66.766647
50.781250	-67.391403
51.269531	-65.453171
51.757812	-67.720238
52.246094	-66.069977
52.734375	-66.447777
53.222656	-66.854904
53.710938	-66.286125
54.199219	-64.753517
54.687500	-64.597008
55.175781	-65.408203
55.664062	-64.870674
56.152344	-64.059311
56.640625	-64.475876
57.128906	-66.020515
57.617188	-64.238586
58.105469	-64.597191
58.593750	-64.559364
59.082031	-64.421844
59.570312	-62.909668
60.058594	-65.474701
60.546875	-64.719681
61.035156	-65.179298
61.523438	-64.397842
62.011719	-64.936546
62.500000	-63.139874
62.988281	-62.752251
63.476562	-63.130779
63.964844	-63.310310
64.453125	-62.609055
64.941406	-62.803837
65.429688	-63.946491
65.917969	-63.262421
66.406250	-61.509815
66.894531	-62.898552
67.382812	-62.478420
67.871094	-63.604053
68.359375	-65.516701
68.847656	-61.823093
69.335938	-64.801079
69.824219	-62.862358
70.312500	-63.330421
70.800781	-61.933540
71.289062	-61.597939
71.777344	-59.548290
72.265625	-61.949883
72.753906	-61.506252
73.242188	-61.564140
73.730469	-62.258419
74.218750	-62.260567
74.707031	-61.468575
75.195312	-61.750465
75.683594	-61.731964
76.171875	-62.351097
76.660156	-61.711231
77.148438	-60.801403
77.636719	-60.881775
78.125000	-61.588398
78.613281	-63.619835
79.101562	-61.049625
79.589844	-61.537212
80.078125	-60.904396
80.566406	-63.337486
81.054688	-60.965603
81.542969	-60.530312
82.031250	-63.228329
82.519531	-61.501160
83.007812	-59.835464
83.496094	-59.704056
83.984375	-60.954674
84.472656	-61.947369
84.960938	-62.877590
85.449219	-61.018631
85.937500	-59.899788
86.425781	-60.493187
86.914062	-60.759033
87.402344	-59.987968
87.890625	-59.112148
88.378906	-61.734726
88.867188	-61.985363
89.355469	-60.790131
89.843750	-60.318913
90.332031	-59.520073
90.820312	-61.071957
91.308594	-60.893108
91.796875	-60.785549
92.285156	-60.370125
92.773438	-59.283684
93.261719	-60.790997
93.750000	-59.821823
94.238281	-59.433994
94.726562	-60.710594
95.214844	-60.701618
95.703125	-61.954807
96.191406	-59.739902
96.679688	-60.255177
97.167969	-60.415508
97.656250	-60.373104
98.144531	-61.785412
98.632812	-58.963902
99.121094	-61.368233
99.609375	-61.073647
100.097656	-60.486679
100.585938	-59.119011
101.074219	-60.312366
101.562500	-60.232689
102.050781	-60.055733
102.539062	-60.216755
103.027344	-59.123096
103.515625	-59.289158
104.003906	-59.564064
104.492188	-59.935604
104.980469	-59.753532
105.468750	-59.444214
105.957031	-58.284058
106.445312	-58.299427
106.933594	-61.323509
107.421875	-61.615196
107.910156	-59.455544
108.398438	-59.296726
108.886719	-59.630680
109.375000	-59.586304
109.863281	-58.605194
110.351562	-57.648041
110.839844	-58.901691
111.328125	-57.536415
111.816406	-57.788677
112.304688	-58.941452
112.792969	-58.693161
113.281250	-58.298603
113.769531	-58.642399
114.257812	-58.595650
114.746094	-57.610630
115.234375	-59.440529
115.722656	-59.220177
116.210938	-56.495243
116.699219	-57.906048
117.187500	-57.756268
117.675781	-56.630882
118.164062	-57.465446
118.652344	-56.357426
119.140625	-57.413239
119.628906	-56.051270
120.117188	-54.664772
120.605469	-56.210941
121.093750	-56.128822
121.582031	-56.615314
122.070312	-56.456924
122.558594	-56.907063
123.046875	-56.076656
123.535156	-54.892597
124.023438	-56.579334
124.511719	-55.684845
125.000000	-56.394924
125.488281	-56.351822
125.976562	-54.741802
126.464844	-54.240356
126.953125	-55.101177
127.441406	-54.418442
127.929688	-54.509983
128.417969	-53.922703
128.906250	-54.193768
129.394531	-54.437008
129.882812	-53.489643
130.371094	-53.331295
130.859375	-53.811829
131.347656	-54.062042
131.835938	-52.866016
132.324219	-52.792679
132.812500	-52.676949
133.300781	-53.157806
133.789062	-52.127296
134.277344	-52.486153
134.765625	-51.523636
135.253906	-51.892796
135.742188	-52.552448
136.230469	-52.773251
136.718750	-51.600922
137.207031	-51.974560
137.695312	-52.615505
138.183594	-52.260723
138.671875	-52.334038
139.160156	-52.801266
139.648438	-52.883114
140.136719	-53.351574
140.625000	-53.349777
141.113281	-54.544865
141.601562	-53.174358
142.089844	-53.410030
142.578125	-54.713165
143.066406	-53.983589
143.554688	-53.750824
144.042969	-54.466244
144.531250	-54.641548
145.019531	-53.652679
145.507812	-54.378666
145.996094	-55.168205
146.484375	-55.001663
146.972656	-53.991982
147.460938	-54.707439
147.949219	-55.368565
148.437500	-55.226498
148.925781	-55.134174
149.414062	-55.512077
149.902344	-56.066582
150.390625	-56.012535
150.878906	-56.363537
151.367188	-56.117592
151.855469	-57.026333
152.343750	-56.424553
152.832031	-58.471611
153.320312	-57.497612
153.808594	-55.393459
154.296875	-56.162933
154.785156	-56.910233
155.273438	-57.608231
155.761719	-56.212746
156.250000	-56.476463
156.738281	-58.230469
157.226562	-57.777706
157.714844	-57.069221
