Frequency (Hz)	Level (dB)
0.488281	-93.357506
0.976562	-94.144928
1.464844	-94.236107
1.953125	-93.192924
2.441406	-94.633080
2.929688	-93.858330
3.417969	-93.323212
3.906250	-94.191559
4.394531	-93.158478
4.882812	-94.763687
5.371094	-94.426445
5.859375	-93.609894
6.347656	-93.446060
6.835938	-91.960289
7.324219	-94.133759
7.812500	-93.474373
8.300781	-93.474197
8.789062	-93.810135
9.277344	-92.487999
9.765625	-94.031776
10.253906	-92.141838
10.742188	-91.771568
11.230469	-91.654037
11.718750	-92.425598
12.207031	-90.159897
12.695312	-90.386772
13.183594	-89.571495
13.671875	-91.565666
14.160156	-91.284866
14.648438	-91.223625
15.136719	-92.868073
15.625000	-91.325722
16.113281	-90.703995
16.601562	-89.788612
17.089844	-90.406288
17.578125	-91.278214
18.066406	-89.835266
18.554688	-89.526466
19.042969	-88.566086
19.531250	-90.134109
20.019531	-90.245659
20.507812	-89.357933
20.996094	-87.738655
21.484375	-88.647362
21.972656	-89.569809
22.460938	-88.166359
22.949219	-88.088379
23.437500	-89.650307
23.925781	-89.466393
24.414062	-87.990753
24.902344	-89.607239
25.390625	-87.639450
25.878906	-89.060097
26.367188	-87.990646
26.855469	-89.318840
27.343750	-88.100288
27.832031	-88.545975
28.320312	-87.227715
28.808594	-87.458328
29.296875	-88.103096
29.785156	-88.714180
30.273438	-88.735497
30.761719	-90.698250
31.250000	-87.745598
31.738281	-86.944771
32.226562	-88.529480
32.714844	-89.135597
33.203125	-87.894569
33.691406	-87.549118
34.179688	-89.453575
34.667969	-88.921722
35.156250	-89.916679
35.644531	-87.899544
36.132812	-88.959534
36.621094	-90.516731
37.109375	-88.573654
37.597656	-86.814705
38.085938	-87.709694
38.574219	-88.904198
39.062500	-90.513191
39.550781	-87.218910
40.039062	-89.218491
40.527344	-87.739288
41.015625	-88.854820
41.503906	-87.957565
41.992188	-88.149132
42.480469	-86.490402
42.968750	-87.680420
43.457031	-87.836220
43.945312	-87.253983
44.433594	-88.127632
44.921875	-88.804153
45.410156	-89.833588
45.898438	-88.613434
46.386719	-86.474121
46.875000	-87.792770
47.363281	-86.088181
