Frequency (Hz)	Level (dB)
0.488281	-95.261765
0.976562	-94.526451
1.464844	-94.241524
1.953125	-95.962906
2.441406	-95.369507
2.929688	-93.748466
3.417969	-95.093857
3.906250	-94.261391
4.394531	-93.966057
4.882812	-94.502647
5.371094	-93.920181
5.859375	-93.215050
6.347656	-93.353363
6.835938	-92.411713
7.324219	-94.148468
7.812500	-93.111664
8.300781	-92.400604
8.789062	-94.261604
9.277344	-91.724937
9.765625	-92.331223
10.253906	-91.151985
10.742188	-90.141251
11.230469	-88.811882
11.718750	-89.074013
12.207031	-87.611229
12.695312	-88.453072
13.183594	-86.270042
13.671875	-88.649559
14.160156	-89.871490
14.648438	-89.650612
15.136719	-89.146309
15.625000	-86.262474
16.113281	-89.076248
16.601562	-87.680786
17.089844	-88.351585
17.578125	-90.444946
18.066406	-89.853935
18.554688	-86.646538
19.042969	-86.863663
19.531250	-87.524040
20.019531	-87.568703
20.507812	-87.782928
20.996094	-85.482658
21.484375	-85.636467
21.972656	-85.897408
22.460938	-85.040764
22.949219	-85.382469
23.437500	-86.040001
23.925781	-87.045242
24.414062	-88.523666
24.902344	-85.945137
25.390625	-87.013847
25.878906	-85.943466
26.367188	-84.783943
26.855469	-84.152992
27.343750	-82.856071
27.832031	-85.833412
28.320312	-84.530472
28.808594	-85.068779
29.296875	-85.179939
29.785156	-82.364273
30.273438	-84.093750
30.761719	-83.136276
31.250000	-86.077652
31.738281	-87.784195
32.226562	-87.257568
32.714844	-86.560593
33.203125	-84.664070
33.691406	-85.819443
34.179688	-85.160614
34.667969	-84.801262
35.156250	-83.911171
35.644531	-85.959663
36.132812	-86.114334
36.621094	-84.357422
37.109375	-84.089630
37.597656	-85.250977
38.085938	-85.071060
38.574219	-85.964920
39.062500	-84.096359
39.550781	-86.665443
40.039062	-86.925568
40.527344	-84.758202
41.015625	-85.212837
41.503906	-84.771576
41.992188	-84.034088
42.480469	-82.780838
42.968750	-84.556099
43.457031	-84.049614
43.945312	-84.182594
44.433594	-86.158554
44.921875	-83.060127
45.410156	-83.749359
45.898438	-84.497177
46.386719	-84.374580
46.875000	-82.853645
47.363281	-83.666855
47.851562	-84.559914
48.339844	-82.244392
48.828125	-83.113487
49.316406	-82.139732
49.804688	-83.581985
50.292969	-82.423187
50.781250	-82.028381
51.269531	-80.624352
51.757812	-81.137222
52.246094	-83.035698
52.734375	-81.759315
53.222656	-81.299637
53.710938	-81.665688
54.199219	-82.520462
54.687500	-80.705788
55.175781	-80.724091
55.664062	-80.535667
56.152344	-81.073235
56.640625	-80.197144
57.128906	-78.966133
57.617188	-80.456635
58.105469	-80.948647
58.593750	-81.177933
59.082031	-79.816933
59.570312	-79.512024
60.058594	-81.369545
60.546875	-80.025887
61.035156	-80.397964
61.523438	-80.722527
62.011719	-78.822540
62.500000	-78.802284
62.988281	-78.870209
63.476562	-79.151062
63.964844	-80.758156
64.453125	-80.120308
64.941406	-80.900551
65.429688	-84.443138
65.917969	-83.455551
66.406250	-83.387947
66.894531	-81.927605
67.382812	-81.959068
67.871094	-82.982155
68.359375	-84.211952
68.847656	-83.186272
69.335938	-81.849815
69.824219	-80.541924
70.312500	-80.044266
70.800781	-79.997231
71.289062	-81.049683
71.777344	-80.556335
72.265625	-78.750870
72.753906	-77.470749
73.242188	-80.096458
73.730469	-81.023003
74.218750	-81.082542
74.707031	-79.757156
75.195312	-80.613876
75.683594	-80.998901
76.171875	-81.061531
76.660156	-80.848930
77.148438	-82.567657
77.636719	-80.083000
78.125000	-80.178070
78.613281	-82.136452
79.101562	-80.371155
79.589844	-82.317749
80.078125	-81.499397
80.566406	-84.285744
81.054688	-81.325638
81.542969	-80.963066
82.031250	-80.951370
82.519531	-81.258926
83.007812	-81.455978
83.496094	-79.863998
83.984375	-80.370323
84.472656	-82.073463
84.960938	-81.338303
85.449219	-79.969315
85.937500	-82.366714
86.425781	-81.672165
86.914062	-82.763535
87.402344	-81.301765
87.890625	-80.276894
88.378906	-80.597130
88.867188	-81.017830
89.355469	-80.460449
89.843750	-81.125778
90.332031	-80.642426
90.820312	-82.189072
91.308594	-81.663445
91.796875	-81.822594
92.285156	-80.976875
92.773438	-81.024055
93.261719	-82.192039
93.750000	-82.473938
94.238281	-81.582283
94.726562	-81.560944
