Frequency (Hz)	Level (dB)
0.488281	-93.774864
0.976562	-93.348190
1.464844	-92.429955
1.953125	-93.445160
2.441406	-93.175026
2.929688	-94.805176
3.417969	-93.510437
3.906250	-92.269836
4.394531	-91.839561
4.882812	-92.192451
5.371094	-92.689430
5.859375	-92.315659
6.347656	-91.840179
6.835938	-91.450844
7.324219	-93.030106
7.812500	-93.391418
8.300781	-92.264526
8.789062	-90.775787
9.277344	-93.175354
9.765625	-92.436287
10.253906	-91.440407
10.742188	-90.629341
11.230469	-88.025688
11.718750	-87.358093
12.207031	-88.404243
12.695312	-89.142967
13.183594	-87.938728
13.671875	-89.705353
14.160156	-91.560501
14.648438	-89.295959
15.136719	-88.550003
15.625000	-88.134201
16.113281	-88.108536
16.601562	-88.954689
17.089844	-90.400833
17.578125	-88.263252
18.066406	-87.388000
18.554688	-85.402481
19.042969	-85.656006
19.531250	-87.044090
20.019531	-88.956825
20.507812	-87.919014
20.996094	-85.027534
21.484375	-84.786125
21.972656	-86.520828
22.460938	-84.623352
22.949219	-84.784027
23.437500	-85.840736
23.925781	-86.541405
24.414062	-86.004196
24.902344	-84.502060
25.390625	-85.648415
25.878906	-83.641159
26.367188	-84.073624
26.855469	-84.100960
27.343750	-84.735497
27.832031	-86.580589
28.320312	-86.755104
28.808594	-85.343590
29.296875	-83.387863
29.785156	-83.872391
30.273438	-85.734222
30.761719	-85.493523
31.250000	-87.548569
31.738281	-84.790527
32.226562	-84.839561
32.714844	-87.795456
33.203125	-84.484886
33.691406	-84.516716
34.179688	-85.430519
34.667969	-83.099586
35.156250	-86.772484
35.644531	-84.942284
36.132812	-84.917885
36.621094	-84.776459
37.109375	-84.087852
37.597656	-85.468277
38.085938	-85.643646
38.574219	-86.400826
39.062500	-86.865074
39.550781	-86.874535
40.039062	-86.443199
40.527344	-85.813911
41.015625	-85.444931
41.503906	-84.049522
41.992188	-85.529099
42.480469	-83.262306
42.968750	-84.906059
43.457031	-84.196701
43.945312	-85.328735
44.433594	-83.626678
44.921875	-83.834198
45.410156	-83.877892
45.898438	-85.037567
46.386719	-83.442589
46.875000	-85.130478
47.363281	-84.319389
47.851562	-84.658180
48.339844	-84.717163
48.828125	-84.041931
49.316406	-85.387436
49.804688	-82.713226
50.292969	-81.845299
50.781250	-83.091614
51.269531	-82.249443
51.757812	-84.125046
52.246094	-81.884399
52.734375	-84.011024
53.222656	-82.476295
53.710938	-84.589928
54.199219	-83.102516
54.687500	-80.600449
55.175781	-81.972771
55.664062	-81.748856
56.152344	-81.288521
56.640625	-81.292870
57.128906	-79.623199
57.617188	-80.034981
58.105469	-81.513374
58.593750	-80.765076
59.082031	-80.053917
59.570312	-78.451340
60.058594	-80.787163
60.546875	-79.322578
61.035156	-80.074844
61.523438	-79.532799
62.011719	-80.103874
62.500000	-79.508026
62.988281	-78.455444
63.476562	-79.461220
63.964844	-81.328735
64.453125	-81.278214
64.941406	-84.223831
65.429688	-84.745651
65.917969	-83.485474
66.406250	-81.723450
66.894531	-83.822372
67.382812	-83.070061
67.871094	-83.169266
68.359375	-81.354630
68.847656	-82.455215
69.335938	-83.632034
69.824219	-83.525131
70.312500	-82.452888
70.800781	-81.475182
71.289062	-81.870529
71.777344	-81.579002
72.265625	-84.697800
