Frequency (Hz)	Level (dB)
0.488281	-98.774513
0.976562	-97.858551
1.464844	-97.102325
1.953125	-97.886772
2.441406	-98.560005
2.929688	-98.058388
3.417969	-97.732925
3.906250	-96.867332
4.394531	-98.182541
4.882812	-98.439453
5.371094	-97.744202
5.859375	-97.205132
6.347656	-95.529854
6.835938	-95.849953
7.324219	-97.201317
7.812500	-96.102936
8.300781	-96.381142
8.789062	-95.713966
9.277344	-95.625603
9.765625	-95.561699
10.253906	-94.671524
10.742188	-93.404449
11.230469	-91.200317
11.718750	-89.647682
12.207031	-91.818710
12.695312	-92.806953
13.183594	-91.906746
13.671875	-92.202904
14.160156	-92.232552
14.648438	-90.601707
15.136719	-93.140129
15.625000	-89.018753
16.113281	-90.903885
16.601562	-92.380775
17.089844	-91.933342
17.578125	-90.443558
18.066406	-91.390579
18.554688	-88.601631
19.042969	-89.428596
19.531250	-91.288216
20.019531	-94.343719
20.507812	-90.429001
20.996094	-88.344093
21.484375	-87.505043
21.972656	-88.347771
22.460938	-88.897148
22.949219	-86.885231
23.437500	-87.850983
23.925781	-87.397820
24.414062	-89.665077
24.902344	-89.615318
25.390625	-88.689484
25.878906	-87.727531
26.367188	-87.430687
26.855469	-87.861382
27.343750	-87.989235
27.832031	-88.146729
28.320312	-86.102074
28.808594	-88.408928
29.296875	-88.344566
29.785156	-88.008949
30.273438	-86.661858
30.761719	-86.680031
31.250000	-86.921928
31.738281	-87.473747
32.226562	-88.505203
32.714844	-89.460304
33.203125	-85.765648
33.691406	-89.829002
34.179688	-86.407837
34.667969	-86.754372
35.156250	-87.104713
35.644531	-86.648483
36.132812	-87.311394
36.621094	-84.979210
37.109375	-87.743256
37.597656	-87.899498
38.085938	-88.335281
38.574219	-88.711327
39.062500	-85.959366
39.550781	-88.147476
40.039062	-87.344765
40.527344	-87.221352
41.015625	-86.960220
41.503906	-85.989990
41.992188	-85.977043
42.480469	-87.900368
42.968750	-86.892525
43.457031	-86.316742
43.945312	-84.573685
44.433594	-84.878296
44.921875	-84.688133
45.410156	-84.364128
45.898438	-81.288055
46.386719	-86.069580
46.875000	-86.914436
47.363281	-84.183960
47.851562	-85.805191
48.339844	-86.646027
48.828125	-84.662163
49.316406	-85.883247
49.804688	-85.860771
50.292969	-84.908157
50.781250	-84.954300
51.269531	-84.151382
51.757812	-86.337471
52.246094	-85.279083
52.734375	-84.912582
53.222656	-83.893501
53.710938	-83.710434
54.199219	-83.204132
54.687500	-81.403511
55.175781	-82.755043
55.664062	-83.428566
56.152344	-83.415833
56.640625	-82.561752
57.128906	-81.637039
57.617188	-83.407204
58.105469	-81.930168
58.593750	-82.320473
59.082031	-80.152855
59.570312	-80.678261
60.058594	-82.445740
60.546875	-81.973099
61.035156	-80.137772
61.523438	-80.758446
62.011719	-81.596649
62.500000	-79.350197
62.988281	-77.778847
63.476562	-80.945709
63.964844	-82.450630
64.453125	-82.904877
64.941406	-84.208359
65.429688	-83.892929
65.917969	-84.813759
66.406250	-84.930656
66.894531	-84.727211
67.382812	-84.335541
67.871094	-85.391212
68.359375	-84.796135
68.847656	-84.239120
69.335938	-85.460548
69.824219	-85.048424
70.312500	-83.642578
70.800781	-84.278519
71.289062	-82.660820
71.777344	-82.240730
72.265625	-82.399681
72.753906	-82.434784
73.242188	-81.613701
73.730469	-84.051453
74.218750	-83.587769
74.707031	-81.079117
75.195312	-82.433289
75.683594	-84.225708
76.171875	-82.264542
76.660156	-83.748840
77.148438	-84.809296
77.636719	-83.000870
78.125000	-81.751099
78.613281	-85.469978
79.101562	-84.571129
79.589844	-84.488640
80.078125	-83.176529
80.566406	-85.551880
81.054688	-82.319130
81.542969	-82.900864
82.031250	-82.896217
82.519531	-82.384552
83.007812	-83.196236
83.496094	-80.703720
83.984375	-83.594467
84.472656	-83.579468
84.960938	-81.848999
85.449219	-82.069801
85.937500	-85.869598
86.425781	-83.593391
86.914062	-82.964310
87.402344	-82.099800
87.890625	-81.442818
88.378906	-82.542099
88.867188	-84.546494
89.355469	-82.508392
89.843750	-83.534767
90.332031	-82.405937
90.820312	-82.720749
91.308594	-83.683372
91.796875	-84.522552
92.285156	-82.995750
92.773438	-82.609711
93.261719	-84.395187
93.750000	-83.211334
94.238281	-82.766228
94.726562	-83.069946
95.214844	-84.077141
95.703125	-83.429680
96.191406	-82.200142
96.679688	-82.978447
97.167969	-81.636200
97.656250	-80.902222
98.144531	-85.335014
98.632812	-83.082672
99.121094	-82.471039
99.609375	-82.605057
100.097656	-83.254784
100.585938	-80.622200
101.074219	-81.858665
101.562500	-82.466553
102.050781	-83.571472
102.539062	-82.625153
103.027344	-82.942337
103.515625	-81.094604
104.003906	-81.141563
104.492188	-81.295700
104.980469	-81.165146
105.468750	-82.256622
105.957031	-80.970108
106.445312	-81.439873
106.933594	-80.314621
107.421875	-82.471260
107.910156	-82.133759
108.398438	-80.775444
108.886719	-80.657654
109.375000	-82.974281
109.863281	-82.540581
110.351562	-80.171616
110.839844	-82.140305
111.328125	-82.377510
111.816406	-81.962273
112.304688	-82.484024
112.792969	-82.584160
113.281250	-84.208435
113.769531	-81.660538
114.257812	-81.060814
114.746094	-81.593216
115.234375	-82.613495
115.722656	-81.612335
116.210938	-83.302544
116.699219	-81.356468
117.187500	-81.427673
117.675781	-83.137009
118.164062	-82.917694
118.652344	-82.576164
119.140625	-83.712471
119.628906	-80.480377
120.117188	-77.530273
120.605469	-78.023071
121.093750	-80.719849
121.582031	-79.670883
122.070312	-82.488304
122.558594	-81.443909
123.046875	-81.174362
123.535156	-82.467728
124.023438	-83.595543
124.511719	-80.599358
125.000000	-81.188118
125.488281	-80.678581
125.976562	-81.222733
126.464844	-80.603462
126.953125	-80.388138
127.441406	-79.491318
127.929688	-79.930748
128.417969	-81.748718
128.906250	-80.897415
129.394531	-81.995934
129.882812	-81.399200
130.371094	-84.078484
130.859375	-80.853287
131.347656	-80.703102
131.835938	-81.162659
132.324219	-80.668419
132.812500	-79.671944
133.300781	-81.351791
133.789062	-79.838043
134.277344	-79.204094
134.765625	-81.351799
135.253906	-80.246330
135.742188	-82.591690
136.230469	-80.768913
136.718750	-82.083862
137.207031	-81.617210
137.695312	-80.852379
138.183594	-80.379379
138.671875	-81.020821
139.160156	-81.118835
139.648438	-81.252731
140.136719	-81.480804
140.625000	-81.777412
141.113281	-79.536713
141.601562	-79.129852
142.089844	-81.082352
142.578125	-79.916054
143.066406	-80.776909
143.554688	-80.189568
144.042969	-78.629059
144.531250	-79.136330
145.019531	-81.330711
145.507812	-81.518799
145.996094	-78.933922
146.484375	-79.312881
146.972656	-81.269836
147.460938	-80.411041
147.949219	-79.911415
148.437500	-79.119102
148.925781	-83.155365
149.414062	-81.267502
149.902344	-80.412071
150.390625	-82.188110
150.878906	-82.530563
151.367188	-80.122818
151.855469	-80.553986
152.343750	-79.697281
152.832031	-80.026405
153.320312	-80.381218
153.808594	-80.444801
154.296875	-80.168259
154.785156	-78.704102
155.273438	-80.138947
155.761719	-80.072273
156.250000	-78.615639
156.738281	-79.137527
157.226562	-78.931335
157.714844	-78.778641
158.203125	-80.532288
158.691406	-79.926895
159.179688	-78.978622
159.667969	-81.216721
160.156250	-81.165520
160.644531	-81.558662
161.132812	-79.488960
161.621094	-79.950188
162.109375	-79.338554
162.597656	-80.497810
163.085938	-80.583115
163.574219	-79.464737
164.062500	-80.838676
164.550781	-78.541092
165.039062	-79.338730
165.527344	-80.054741
166.015625	-79.588806
166.503906	-79.029907
166.992188	-78.511192
