Frequency (Hz)	Level (dB)
0.488281	-92.906601
0.976562	-92.758415
1.464844	-93.005791
1.953125	-93.430672
2.441406	-93.231476
2.929688	-92.392380
3.417969	-92.795563
3.906250	-92.631409
4.394531	-92.811050
4.882812	-92.429794
5.371094	-93.068848
5.859375	-92.321068
6.347656	-91.300056
6.835938	-92.458672
7.324219	-92.364441
7.812500	-91.746948
8.300781	-92.606445
8.789062	-91.250488
9.277344	-90.834915
9.765625	-90.920158
10.253906	-90.659904
10.742188	-89.139442
11.230469	-88.790779
11.718750	-90.037727
12.207031	-89.099113
12.695312	-89.062157
13.183594	-88.342651
13.671875	-87.556404
14.160156	-86.585716
14.648438	-86.464302
15.136719	-87.159904
15.625000	-86.833282
16.113281	-85.491959
16.601562	-85.845253
17.089844	-85.414856
17.578125	-85.663994
18.066406	-87.241508
18.554688	-84.047340
19.042969	-84.488007
19.531250	-84.096176
20.019531	-83.946579
20.507812	-81.960045
20.996094	-81.183441
21.484375	-81.538445
21.972656	-81.397682
22.460938	-79.919640
22.949219	-79.609306
23.437500	-80.398407
23.925781	-79.344337
24.414062	-80.549492
24.902344	-81.866989
25.390625	-79.421349
25.878906	-80.076935
26.367188	-80.147163
26.855469	-78.504990
27.343750	-77.196701
27.832031	-76.481049
28.320312	-76.381912
28.808594	-77.875687
29.296875	-76.644821
29.785156	-76.480850
30.273438	-75.887550
30.761719	-74.756645
31.250000	-74.521904
31.738281	-75.606697
32.226562	-77.747696
32.714844	-75.533661
33.203125	-75.995392
33.691406	-72.662109
34.179688	-72.909470
34.667969	-74.247375
35.156250	-73.256485
35.644531	-71.190407
36.132812	-73.981567
36.621094	-71.386642
37.109375	-72.214577
37.597656	-74.269730
38.085938	-72.471924
38.574219	-71.448227
39.062500	-71.573486
39.550781	-73.125702
40.039062	-71.250648
40.527344	-71.331886
41.015625	-70.772835
41.503906	-71.325302
41.992188	-70.229889
42.480469	-72.872963
42.968750	-70.294319
43.457031	-72.209633
43.945312	-70.661057
44.433594	-69.512306
44.921875	-68.331268
45.410156	-69.465141
45.898438	-69.531967
46.386719	-68.647102
46.875000	-68.280693
47.363281	-68.742332
47.851562	-66.913704
48.339844	-67.033852
48.828125	-65.505966
49.316406	-67.159676
49.804688	-68.502213
50.292969	-67.523567
50.781250	-67.005257
51.269531	-67.968857
51.757812	-67.511330
52.246094	-66.239433
52.734375	-68.076759
53.222656	-68.365730
53.710938	-68.352196
54.199219	-68.371918
54.687500	-66.094383
55.175781	-63.743473
55.664062	-65.623978
56.152344	-66.582375
56.640625	-68.277008
57.128906	-66.269226
57.617188	-66.431190
