Frequency (Hz)	Level (dB)
0.488281	-97.609741
0.976562	-98.566078
1.464844	-97.348297
1.953125	-97.662064
2.441406	-97.448433
2.929688	-97.919357
3.417969	-97.391663
3.906250	-96.663940
4.394531	-97.813522
4.882812	-97.395142
5.371094	-97.620293
5.859375	-96.742752
6.347656	-95.573013
6.835938	-96.726105
7.324219	-95.926109
7.812500	-97.070053
8.300781	-95.029625
8.789062	-94.789322
9.277344	-95.829651
9.765625	-94.592194
10.253906	-92.691216
10.742188	-93.365059
11.230469	-93.007652
11.718750	-93.922691
12.207031	-92.490082
12.695312	-93.013000
13.183594	-94.514145
13.671875	-94.109627
14.160156	-92.748459
14.648438	-93.841576
15.136719	-92.714127
15.625000	-91.712097
16.113281	-91.884216
16.601562	-91.656647
17.089844	-93.754181
17.578125	-92.679871
18.066406	-92.510864
18.554688	-89.733391
19.042969	-91.742424
19.531250	-92.821007
20.019531	-93.385315
20.507812	-90.315422
20.996094	-90.386856
21.484375	-90.176674
21.972656	-90.273468
22.460938	-90.660713
22.949219	-88.603073
23.437500	-89.825722
23.925781	-90.401085
24.414062	-90.837273
24.902344	-90.652855
25.390625	-90.682632
25.878906	-88.425751
26.367188	-89.979866
26.855469	-88.265312
27.343750	-90.168327
27.832031	-89.067993
28.320312	-88.651115
28.808594	-91.018410
29.296875	-90.714821
29.785156	-88.380318
30.273438	-89.635239
30.761719	-90.010727
31.250000	-90.026871
31.738281	-90.291977
32.226562	-89.360397
32.714844	-91.085114
33.203125	-89.393280
33.691406	-90.135216
34.179688	-91.185753
34.667969	-89.246399
35.156250	-88.191139
35.644531	-89.217636
36.132812	-89.206833
36.621094	-90.131042
37.109375	-88.511230
37.597656	-88.764771
38.085938	-90.111809
38.574219	-90.317238
39.062500	-88.737892
39.550781	-89.599747
40.039062	-90.819077
40.527344	-89.123581
41.015625	-89.280441
41.503906	-88.937508
41.992188	-87.723724
42.480469	-88.343933
42.968750	-88.182892
43.457031	-86.356583
43.945312	-89.810593
44.433594	-88.696960
44.921875	-88.387138
45.410156	-84.373924
45.898438	-85.277130
46.386719	-88.652206
46.875000	-88.476326
47.363281	-87.131973
47.851562	-90.680298
48.339844	-90.190887
48.828125	-89.852577
49.316406	-89.670341
49.804688	-88.117004
50.292969	-89.603302
50.781250	-85.735008
51.269531	-86.103516
51.757812	-88.383293
52.246094	-87.131088
52.734375	-87.100868
53.222656	-88.158615
53.710938	-85.060028
54.199219	-85.546593
54.687500	-86.401138
55.175781	-86.454170
55.664062	-85.880066
56.152344	-84.568771
56.640625	-83.824081
57.128906	-85.536903
57.617188	-84.896767
58.105469	-82.736588
58.593750	-83.853195
59.082031	-82.679909
