Frequency (Hz)	Level (dB)
0.488281	-85.771584
0.976562	-86.101837
1.464844	-86.055649
1.953125	-86.316132
2.441406	-86.063080
2.929688	-86.024307
3.417969	-84.987770
3.906250	-87.053802
4.394531	-86.173759
4.882812	-87.172142
5.371094	-87.570084
5.859375	-85.005150
6.347656	-85.369827
6.835938	-86.555130
7.324219	-87.111732
7.812500	-85.989090
8.300781	-87.407646
8.789062	-85.976791
9.277344	-86.694214
9.765625	-86.951981
10.253906	-87.392326
10.742188	-86.117599
11.230469	-86.028000
11.718750	-85.748062
12.207031	-85.237045
12.695312	-85.309875
13.183594	-85.476418
13.671875	-86.115929
14.160156	-86.084236
14.648438	-84.565666
15.136719	-85.612747
15.625000	-84.998009
16.113281	-85.240181
16.601562	-85.067230
17.089844	-85.127533
17.578125	-84.675163
18.066406	-85.557503
18.554688	-87.265907
19.042969	-84.554237
19.531250	-86.061211
20.019531	-84.627815
20.507812	-85.401840
20.996094	-84.420761
21.484375	-85.103951
21.972656	-85.131409
22.460938	-83.263161
22.949219	-83.256729
23.437500	-85.480461
23.925781	-83.677475
24.414062	-83.611816
24.902344	-84.880707
25.390625	-85.700951
25.878906	-83.934700
26.367188	-84.317459
26.855469	-84.783592
27.343750	-84.767174
27.832031	-84.192505
28.320312	-85.309166
28.808594	-85.231781
29.296875	-84.031136
29.785156	-84.004105
30.273438	-84.028633
30.761719	-85.583366
31.250000	-85.047226
31.738281	-85.241684
32.226562	-83.921822
32.714844	-86.064896
33.203125	-85.382454
33.691406	-84.912041
34.179688	-84.505241
34.667969	-83.756622
35.156250	-83.502083
35.644531	-84.458038
36.132812	-84.879150
36.621094	-84.638252
37.109375	-85.006454
37.597656	-85.156006
38.085938	-84.641136
38.574219	-83.554680
39.062500	-84.182732
39.550781	-84.148766
40.039062	-84.883636
40.527344	-83.572510
41.015625	-83.402496
41.503906	-83.825562
41.992188	-84.357903
42.480469	-84.388603
42.968750	-84.035645
43.457031	-83.687164
43.945312	-83.604477
44.433594	-85.041618
44.921875	-84.320084
45.410156	-83.349648
45.898438	-82.237648
46.386719	-82.869812
46.875000	-82.851234
47.363281	-82.039703
47.851562	-83.022568
48.339844	-83.812920
48.828125	-83.775620
49.316406	-82.735352
49.804688	-81.795311
50.292969	-81.676201
50.781250	-81.436050
51.269531	-82.445869
51.757812	-82.833015
52.246094	-82.272087
52.734375	-82.172012
53.222656	-83.919739
53.710938	-82.846687
54.199219	-83.159943
54.687500	-81.436340
55.175781	-81.604294
55.664062	-82.063362
56.152344	-80.570442
56.640625	-82.402100
57.128906	-82.306946
57.617188	-80.886864
58.105469	-82.018600
58.593750	-80.677307
59.082031	-80.134834
59.570312	-79.821106
60.058594	-81.160721
60.546875	-80.197357
61.035156	-80.597679
61.523438	-79.996147
62.011719	-79.999062
62.500000	-80.802322
62.988281	-79.510002
63.476562	-78.589943
63.964844	-80.002953
64.453125	-80.109253
64.941406	-80.342445
65.429688	-81.477463
65.917969	-82.773582
66.406250	-81.376213
66.894531	-81.577782
