Frequency (Hz)	Level (dB)
0.488281	-97.612511
0.976562	-98.552124
1.464844	-97.265381
1.953125	-97.683632
2.441406	-97.536301
2.929688	-97.627167
3.417969	-97.144249
3.906250	-96.436897
4.394531	-98.308548
4.882812	-97.558022
5.371094	-97.456917
5.859375	-97.120537
6.347656	-94.954536
6.835938	-96.522392
7.324219	-96.042801
7.812500	-97.263283
8.300781	-95.784630
8.789062	-95.048508
9.277344	-95.915848
9.765625	-95.485031
10.253906	-95.063889
10.742188	-93.506134
11.230469	-91.850182
11.718750	-94.095337
12.207031	-92.002686
12.695312	-91.121086
13.183594	-92.001129
13.671875	-93.847961
14.160156	-94.053497
14.648438	-93.124527
15.136719	-92.163864
15.625000	-91.114357
16.113281	-91.685669
16.601562	-91.270088
17.089844	-90.979179
17.578125	-91.519554
18.066406	-93.111328
18.554688	-91.632294
19.042969	-91.215874
19.531250	-93.480293
20.019531	-90.761459
20.507812	-91.829727
20.996094	-91.525551
21.484375	-90.629646
21.972656	-91.296120
22.460938	-90.200089
22.949219	-89.234482
23.437500	-89.378693
23.925781	-89.278961
24.414062	-91.022171
24.902344	-90.272278
25.390625	-89.418953
25.878906	-88.535522
26.367188	-87.438210
26.855469	-89.492104
27.343750	-88.882660
27.832031	-89.034523
28.320312	-91.275284
28.808594	-87.744484
29.296875	-89.625854
29.785156	-85.920792
30.273438	-90.521606
30.761719	-91.256226
31.250000	-91.811920
31.738281	-90.567116
32.226562	-90.589882
32.714844	-90.746765
33.203125	-90.400574
33.691406	-91.237045
34.179688	-90.753120
34.667969	-89.908783
35.156250	-91.127975
35.644531	-89.249207
36.132812	-88.893173
36.621094	-89.391899
37.109375	-86.802757
37.597656	-89.291672
38.085938	-90.188911
38.574219	-91.346657
39.062500	-90.122849
39.550781	-89.781921
40.039062	-89.566956
40.527344	-89.169800
41.015625	-89.128044
41.503906	-88.779419
41.992188	-89.766281
42.480469	-89.684608
42.968750	-88.609077
43.457031	-89.251091
43.945312	-88.085640
44.433594	-88.007393
44.921875	-86.890579
45.410156	-87.240715
45.898438	-84.807533
46.386719	-87.216255
46.875000	-88.144012
47.363281	-86.250259
47.851562	-89.600624
48.339844	-87.290085
48.828125	-88.407288
49.316406	-88.332420
49.804688	-88.014114
50.292969	-87.006805
50.781250	-87.984978
51.269531	-89.911041
51.757812	-85.780846
52.246094	-87.923264
52.734375	-87.405174
53.222656	-85.990227
53.710938	-87.080467
54.199219	-84.695168
54.687500	-84.951248
55.175781	-87.321510
55.664062	-85.703407
