Frequency (Hz)	Level (dB)
0.488281	-47.059246
0.976562	-44.745365
1.464844	-46.299622
1.953125	-47.367832
2.441406	-47.272465
2.929688	-47.232994
3.417969	-46.570042
3.906250	-47.382885
4.394531	-46.943062
4.882812	-47.912193
5.371094	-47.828060
5.859375	-47.927650
6.347656	-46.782448
6.835938	-47.183758
7.324219	-47.810272
7.812500	-47.151314
8.300781	-44.518559
8.789062	-46.853889
9.277344	-47.212730
9.765625	-45.618752
10.253906	-46.586308
10.742188	-46.555080
11.230469	-45.017910
11.718750	-47.050922
12.207031	-45.936619
12.695312	-46.232655
13.183594	-45.801430
13.671875	-46.743542
14.160156	-47.822186
14.648438	-47.631004
15.136719	-46.826794
15.625000	-47.484146
16.113281	-48.006367
16.601562	-47.075916
17.089844	-48.230179
17.578125	-46.902027
18.066406	-46.157768
18.554688	-47.774384
19.042969	-49.347031
19.531250	-48.046474
20.019531	-49.412254
20.507812	-47.071205
20.996094	-46.746948
21.484375	-46.791950
21.972656	-48.019775
22.460938	-45.567902
22.949219	-46.673389
23.437500	-45.857620
23.925781	-46.802994
24.414062	-48.535671
24.902344	-48.267681
25.390625	-46.383083
25.878906	-49.188660
26.367188	-48.783920
26.855469	-47.703114
27.343750	-46.474339
27.832031	-48.351746
28.320312	-46.317074
28.808594	-46.001144
29.296875	-48.058270
29.785156	-47.064739
30.273438	-47.605156
30.761719	-47.375534
31.250000	-49.307877
31.738281	-48.896515
32.226562	-48.056522
32.714844	-46.286255
33.203125	-48.151081
33.691406	-48.287796
34.179688	-47.752499
34.667969	-46.151245
35.156250	-48.584145
35.644531	-48.136662
36.132812	-48.569382
36.621094	-47.197021
37.109375	-46.441799
37.597656	-46.546135
38.085938	-48.013840
38.574219	-47.592068
39.062500	-45.801750
39.550781	-49.822990
40.039062	-48.719402
40.527344	-47.796909
41.015625	-47.704098
41.503906	-46.282898
41.992188	-46.349876
42.480469	-45.930187
42.968750	-46.886787
43.457031	-45.679092
43.945312	-46.512638
44.433594	-48.274967
44.921875	-47.603790
45.410156	-47.930275
45.898438	-48.206341
46.386719	-48.533745
46.875000	-47.226856
47.363281	-47.393398
47.851562	-46.406960
48.339844	-46.945045
48.828125	-47.748730
49.316406	-46.421871
49.804688	-48.195717
50.292969	-47.155113
50.781250	-46.553024
51.269531	-44.790398
51.757812	-46.880836
52.246094	-46.291584
52.734375	-47.039898
53.222656	-47.182140
53.710938	-47.947830
54.199219	-47.150314
54.687500	-45.763222
55.175781	-45.529339
55.664062	-47.566811
56.152344	-48.078865
56.640625	-48.715668
57.128906	-46.462734
57.617188	-47.019318
58.105469	-47.261211
58.593750	-47.134388
59.082031	-47.075176
59.570312	-45.910713
60.058594	-47.106232
60.546875	-48.880863
61.035156	-47.147400
61.523438	-46.991440
62.011719	-46.492237
62.500000	-45.844063
62.988281	-46.969749
63.476562	-46.593655
63.964844	-48.401314
64.453125	-45.637718
64.941406	-46.582790
65.429688	-47.961956
65.917969	-47.802402
66.406250	-47.173985
66.894531	-47.013912
67.382812	-47.445801
67.871094	-46.124783
68.359375	-48.166874
68.847656	-47.818027
69.335938	-46.624538
69.824219	-46.828171
70.312500	-45.518871
70.800781	-46.637260
71.289062	-47.285957
71.777344	-46.788597
72.265625	-46.098198
72.753906	-46.818855
73.242188	-47.373028
73.730469	-49.118980
74.218750	-48.022957
74.707031	-46.087215
75.195312	-46.542233
75.683594	-48.706421
76.171875	-46.728085
76.660156	-47.672943
77.148438	-47.757488
77.636719	-45.323891
78.125000	-44.948196
78.613281	-49.090797
79.101562	-46.817638
79.589844	-48.382702
80.078125	-46.522369
80.566406	-49.659557
81.054688	-46.017956
81.542969	-46.507511
82.031250	-46.190865
82.519531	-46.519825
83.007812	-46.575356
83.496094	-44.828468
83.984375	-46.824841
84.472656	-48.846157
84.960938	-47.360302
85.449219	-46.099865
85.937500	-49.627960
86.425781	-48.464226
86.914062	-48.694210
87.402344	-47.914810
87.890625	-46.404942
88.378906	-46.979080
88.867188	-47.346836
89.355469	-46.999630
89.843750	-46.276768
90.332031	-46.514854
90.820312	-47.665356
91.308594	-48.753868
91.796875	-47.931702
92.285156	-48.038368
92.773438	-46.831612
93.261719	-48.055580
93.750000	-47.887539
94.238281	-47.127228
94.726562	-47.346714
95.214844	-48.212379
95.703125	-47.363480
96.191406	-46.500092
96.679688	-47.706745
97.167969	-46.321213
97.656250	-44.845566
98.144531	-49.532837
98.632812	-47.841309
99.121094	-47.279411
99.609375	-46.927010
100.097656	-47.234932
100.585938	-45.876244
101.074219	-46.125683
101.562500	-47.199856
102.050781	-47.639851
102.539062	-47.075237
103.027344	-46.652580
103.515625	-45.903324
104.003906	-46.883816
104.492188	-47.057175
104.980469	-47.415092
105.468750	-46.806244
105.957031	-45.608898
106.445312	-46.313023
106.933594	-44.838985
107.421875	-47.035591
107.910156	-46.683228
108.398438	-45.196320
108.886719	-45.541946
109.375000	-48.137856
109.863281	-47.342621
110.351562	-45.538280
110.839844	-47.572712
111.328125	-48.323631
111.816406	-47.263855
112.304688	-47.070171
112.792969	-48.033855
113.281250	-48.212608
113.769531	-47.930111
114.257812	-47.557503
114.746094	-47.067345
115.234375	-47.690491
115.722656	-46.831139
116.210938	-48.455341
116.699219	-46.799892
117.187500	-46.155876
117.675781	-48.594402
118.164062	-48.721378
118.652344	-48.363766
119.140625	-49.143177
119.628906	-46.495758
120.117188	-48.059525
120.605469	-47.770885
121.093750	-47.203388
121.582031	-48.090965
122.070312	-47.983727
122.558594	-46.486355
123.046875	-46.202202
123.535156	-48.700874
124.023438	-49.741394
124.511719	-46.229595
125.000000	-46.224541
125.488281	-47.136383
125.976562	-47.215576
126.464844	-46.605659
126.953125	-45.287724
127.441406	-44.330444
127.929688	-45.548695
128.417969	-47.561321
128.906250	-45.963257
129.394531	-47.765144
129.882812	-47.613796
130.371094	-48.498520
130.859375	-47.280121
131.347656	-46.680450
131.835938	-47.273312
132.324219	-46.891338
132.812500	-45.349327
133.300781	-46.972382
133.789062	-45.712597
134.277344	-44.551517
134.765625	-47.529366
135.253906	-46.324757
135.742188	-48.486706
136.230469	-47.103653
136.718750	-47.197651
137.207031	-47.762215
137.695312	-46.741638
138.183594	-46.924950
138.671875	-47.350464
139.160156	-47.112686
139.648438	-47.208080
140.136719	-47.988052
140.625000	-47.868271
141.113281	-45.588390
141.601562	-45.372448
142.089844	-47.199276
142.578125	-46.299969
143.066406	-47.287022
143.554688	-46.677055
144.042969	-45.015190
144.531250	-45.782810
145.019531	-47.501945
145.507812	-48.291931
145.996094	-46.231888
146.484375	-45.372986
146.972656	-46.718185
147.460938	-47.385059
147.949219	-46.249943
148.437500	-46.542400
148.925781	-49.523159
149.414062	-47.608685
149.902344	-47.576252
150.390625	-48.630108
150.878906	-48.711380
151.367188	-46.347294
151.855469	-47.249702
152.343750	-46.562370
152.832031	-46.419853
153.320312	-46.465946
153.808594	-47.065460
154.296875	-47.979813
154.785156	-45.564671
155.273438	-47.283939
155.761719	-47.899990
156.250000	-45.586887
156.738281	-46.048199
157.226562	-46.640583
157.714844	-45.560051
158.203125	-48.820652
158.691406	-46.969936
159.179688	-46.130985
159.667969	-48.889408
160.156250	-48.419891
160.644531	-49.039852
161.132812	-46.132111
161.621094	-48.219109
162.109375	-46.657227
162.597656	-47.437077
163.085938	-47.546349
163.574219	-46.809109
164.062500	-47.109787
164.550781	-45.612633
165.039062	-46.586044
165.527344	-47.729153
166.015625	-46.503410
166.503906	-45.933083
166.992188	-45.722626
167.480469	-47.120396
167.968750	-46.934261
168.457031	-47.495789
168.945312	-47.740921
169.433594	-46.702084
169.921875	-48.130589
170.410156	-46.415375
170.898438	-47.463417
171.386719	-47.017975
171.875000	-45.923523
172.363281	-47.895996
172.851562	-47.313568
173.339844	-46.417912
173.828125	-47.505520
