Frequency (Hz)	Level (dB)
0.488281	-95.113403
0.976562	-96.247910
1.464844	-95.658936
1.953125	-96.080704
2.441406	-95.605331
2.929688	-94.509392
3.417969	-95.854485
3.906250	-94.866241
4.394531	-96.158249
4.882812	-95.972260
5.371094	-94.878868
5.859375	-94.232719
6.347656	-91.834381
6.835938	-93.182968
7.324219	-93.936050
7.812500	-95.447800
8.300781	-95.979568
8.789062	-94.486031
9.277344	-93.245781
9.765625	-91.573067
10.253906	-91.415962
10.742188	-89.180847
11.230469	-89.219307
11.718750	-90.964973
12.207031	-88.704422
12.695312	-87.326370
13.183594	-88.113968
13.671875	-88.568710
14.160156	-91.144020
14.648438	-90.574051
15.136719	-89.327293
15.625000	-88.981834
16.113281	-88.477104
16.601562	-88.847267
17.089844	-87.804008
17.578125	-89.691887
18.066406	-89.096718
18.554688	-86.915833
19.042969	-87.512177
19.531250	-87.078819
20.019531	-87.337448
20.507812	-87.734825
20.996094	-86.325005
21.484375	-85.931984
21.972656	-85.431122
22.460938	-83.389153
22.949219	-84.173271
23.437500	-84.538620
23.925781	-85.041000
24.414062	-86.434174
24.902344	-85.843590
25.390625	-86.004997
25.878906	-83.629692
26.367188	-84.063667
26.855469	-86.002724
27.343750	-82.885567
27.832031	-84.930038
28.320312	-85.253044
28.808594	-84.169670
29.296875	-86.473572
29.785156	-84.720047
30.273438	-86.176872
30.761719	-86.795708
31.250000	-85.793205
31.738281	-84.885437
32.226562	-84.935135
32.714844	-85.235153
33.203125	-85.196587
33.691406	-83.730576
34.179688	-85.969940
34.667969	-85.134315
35.156250	-85.037491
35.644531	-87.020088
36.132812	-84.974991
36.621094	-86.275383
37.109375	-82.695801
37.597656	-84.530228
38.085938	-85.657623
38.574219	-85.257919
39.062500	-85.772133
39.550781	-86.306313
40.039062	-86.275047
40.527344	-83.924095
41.015625	-82.296936
41.503906	-84.816200
41.992188	-85.494987
42.480469	-85.914581
42.968750	-86.884575
43.457031	-83.633995
43.945312	-84.595627
44.433594	-84.789574
44.921875	-85.210800
45.410156	-85.579887
45.898438	-84.123726
46.386719	-84.201820
46.875000	-84.513863
47.363281	-83.919434
47.851562	-83.940826
48.339844	-81.706245
48.828125	-82.944130
49.316406	-82.576988
49.804688	-82.845253
50.292969	-82.517273
50.781250	-81.907440
51.269531	-82.356277
51.757812	-82.803535
52.246094	-83.506310
52.734375	-82.775627
53.222656	-83.238762
53.710938	-81.205376
54.199219	-82.739838
54.687500	-80.843742
55.175781	-79.325905
55.664062	-80.864105
56.152344	-80.637627
56.640625	-80.205238
57.128906	-79.716606
57.617188	-79.885345
58.105469	-79.239464
58.593750	-80.624748
59.082031	-81.006912
59.570312	-78.473106
60.058594	-80.347885
60.546875	-79.568855
61.035156	-79.833069
61.523438	-79.733864
62.011719	-78.985413
62.500000	-76.517433
62.988281	-76.905228
63.476562	-77.983734
63.964844	-80.505516
64.453125	-80.211258
64.941406	-81.528748
65.429688	-82.501282
65.917969	-81.612915
66.406250	-82.475266
66.894531	-80.647949
67.382812	-82.335281
67.871094	-82.139641
68.359375	-80.958839
68.847656	-80.170547
69.335938	-82.061684
69.824219	-81.674515
70.312500	-82.293930
70.800781	-80.404526
71.289062	-80.617149
71.777344	-82.282829
72.265625	-80.062111
72.753906	-78.610962
73.242188	-80.223183
73.730469	-80.027405
74.218750	-79.870018
74.707031	-80.866280
75.195312	-81.040489
75.683594	-80.545296
76.171875	-80.366982
76.660156	-79.864235
77.148438	-81.118134
77.636719	-80.920197
78.125000	-81.392952
78.613281	-81.319130
79.101562	-81.220673
79.589844	-81.884666
80.078125	-81.929840
80.566406	-83.336937
81.054688	-80.591141
81.542969	-80.566544
82.031250	-80.406326
82.519531	-80.995239
83.007812	-81.144867
83.496094	-81.494598
83.984375	-80.213089
84.472656	-79.737633
84.960938	-80.523521
85.449219	-80.332413
85.937500	-81.289566
86.425781	-79.699623
86.914062	-79.996178
87.402344	-81.137947
87.890625	-81.397430
88.378906	-79.926460
88.867188	-80.498825
89.355469	-81.333229
89.843750	-80.247215
90.332031	-79.958855
90.820312	-81.086777
91.308594	-79.743416
91.796875	-81.896240
92.285156	-83.742683
92.773438	-80.541466
93.261719	-81.071358
93.750000	-80.473007
94.238281	-80.389458
94.726562	-80.561150
95.214844	-81.672478
95.703125	-83.364082
96.191406	-81.338493
96.679688	-80.399841
97.167969	-80.569908
97.656250	-80.630524
98.144531	-81.580200
98.632812	-80.882614
99.121094	-80.880257
99.609375	-81.113167
100.097656	-81.091698
100.585938	-81.002731
101.074219	-80.903503
101.562500	-81.136795
102.050781	-79.542770
102.539062	-80.536461
103.027344	-79.955185
103.515625	-81.602623
104.003906	-78.548050
104.492188	-79.397667
104.980469	-81.235435
105.468750	-80.539124
105.957031	-81.717323
106.445312	-79.478218
106.933594	-80.797234
107.421875	-80.434418
107.910156	-80.693001
108.398438	-79.455704
108.886719	-79.717056
109.375000	-79.978180
109.863281	-81.016357
110.351562	-80.124535
110.839844	-80.569824
111.328125	-79.322975
111.816406	-78.638481
112.304688	-80.640930
112.792969	-79.532959
113.281250	-79.263962
113.769531	-76.968407
114.257812	-77.866554
114.746094	-80.088593
115.234375	-79.592636
115.722656	-78.954361
116.210938	-79.416557
116.699219	-78.902573
117.187500	-78.589851
117.675781	-79.216110
118.164062	-79.610909
118.652344	-80.035637
119.140625	-79.909737
119.628906	-80.516167
120.117188	-75.995232
120.605469	-79.069069
121.093750	-75.363464
121.582031	-80.057922
122.070312	-79.941544
122.558594	-78.266243
123.046875	-79.141068
123.535156	-78.264023
124.023438	-79.096390
124.511719	-78.180466
125.000000	-80.681290
125.488281	-80.963142
125.976562	-78.663910
126.464844	-79.086182
126.953125	-79.030052
127.441406	-78.906654
127.929688	-80.005470
