Frequency (Hz)	Level (dB)
0.488281	-89.716255
0.976562	-89.286041
1.464844	-91.995338
1.953125	-89.604286
2.441406	-90.249649
2.929688	-89.853241
3.417969	-90.159882
3.906250	-90.262161
4.394531	-90.308228
4.882812	-89.933464
5.371094	-89.459480
5.859375	-89.527435
6.347656	-90.166878
6.835938	-90.109581
7.324219	-89.127380
7.812500	-89.966263
8.300781	-89.193687
8.789062	-89.702660
9.277344	-90.512016
9.765625	-88.967804
10.253906	-87.527695
10.742188	-89.617935
11.230469	-88.712181
11.718750	-89.265907
12.207031	-88.796440
12.695312	-88.693893
13.183594	-88.127777
13.671875	-87.713409
14.160156	-89.751190
14.648438	-89.263329
15.136719	-88.157631
15.625000	-87.908394
16.113281	-88.096695
16.601562	-88.370003
17.089844	-88.088371
17.578125	-87.484413
18.066406	-87.721428
18.554688	-86.705452
19.042969	-86.613884
19.531250	-86.167755
20.019531	-87.465210
20.507812	-86.859932
20.996094	-86.330666
21.484375	-86.361694
21.972656	-85.876396
22.460938	-86.984985
22.949219	-83.242455
23.437500	-84.629845
23.925781	-84.782722
24.414062	-86.860634
24.902344	-86.533997
25.390625	-85.988937
25.878906	-83.124855
26.367188	-83.104332
26.855469	-87.138451
27.343750	-85.139244
27.832031	-85.421761
28.320312	-85.359818
28.808594	-85.003433
29.296875	-84.530563
29.785156	-83.582565
30.273438	-85.202057
30.761719	-85.374817
31.250000	-83.689896
31.738281	-83.308952
32.226562	-84.161842
32.714844	-87.393837
33.203125	-86.626083
33.691406	-85.011963
34.179688	-84.915848
34.667969	-84.450317
35.156250	-84.668877
35.644531	-85.464027
36.132812	-83.381966
36.621094	-82.688377
37.109375	-83.414917
37.597656	-83.665688
38.085938	-85.463158
38.574219	-84.415054
39.062500	-85.098442
39.550781	-84.856796
40.039062	-85.029533
40.527344	-83.556625
41.015625	-82.451385
41.503906	-83.257820
41.992188	-84.318138
42.480469	-84.994865
42.968750	-84.124161
43.457031	-84.752693
43.945312	-83.823570
44.433594	-83.365074
44.921875	-84.204529
45.410156	-84.720856
45.898438	-84.380043
46.386719	-83.379601
46.875000	-83.972000
47.363281	-84.123505
47.851562	-83.798759
48.339844	-82.582108
48.828125	-84.400917
49.316406	-84.673759
49.804688	-84.320274
50.292969	-84.045052
50.781250	-81.777817
51.269531	-82.531464
51.757812	-83.257835
52.246094	-81.653915
52.734375	-81.439034
53.222656	-82.225426
53.710938	-83.227692
54.199219	-82.471588
54.687500	-80.087921
55.175781	-82.312180
55.664062	-80.054878
56.152344	-81.375320
56.640625	-80.899010
57.128906	-78.966156
57.617188	-81.202042
58.105469	-80.355591
58.593750	-81.409660
59.082031	-80.779030
59.570312	-81.141785
60.058594	-80.249870
60.546875	-81.819389
61.035156	-81.027222
61.523438	-79.524612
62.011719	-80.446381
62.500000	-79.386024
62.988281	-79.069016
63.476562	-79.810440
63.964844	-80.552231
64.453125	-81.132500
64.941406	-84.443039
65.429688	-81.612358
65.917969	-83.577454
66.406250	-82.953514
66.894531	-81.569000
67.382812	-83.424103
67.871094	-83.580460
68.359375	-81.659424
