Frequency (Hz)	Level (dB)
0.488281	-91.958809
0.976562	-91.792931
1.464844	-93.983597
1.953125	-93.246399
2.441406	-92.797401
2.929688	-92.115440
3.417969	-91.241417
3.906250	-92.376396
4.394531	-91.837364
4.882812	-91.799187
5.371094	-94.236824
5.859375	-91.033134
6.347656	-91.460831
6.835938	-93.297607
7.324219	-92.210129
7.812500	-93.192329
8.300781	-92.222443
8.789062	-92.114029
9.277344	-92.162529
9.765625	-90.902649
10.253906	-90.833084
10.742188	-90.335899
11.230469	-89.496933
11.718750	-90.542633
12.207031	-90.224037
12.695312	-91.189964
13.183594	-89.601234
13.671875	-90.005249
14.160156	-92.155449
14.648438	-92.582077
15.136719	-90.214828
15.625000	-91.455772
16.113281	-90.121185
16.601562	-88.481842
17.089844	-90.110687
17.578125	-89.551201
18.066406	-91.249550
18.554688	-90.404724
19.042969	-88.361336
19.531250	-89.544884
20.019531	-90.472748
20.507812	-88.923813
20.996094	-88.857925
21.484375	-90.006599
21.972656	-89.956070
22.460938	-86.025291
22.949219	-86.563576
23.437500	-88.139023
23.925781	-85.470566
24.414062	-89.124794
24.902344	-87.829285
25.390625	-88.094322
25.878906	-85.399582
26.367188	-86.229889
26.855469	-86.030464
27.343750	-88.747665
27.832031	-88.305176
28.320312	-87.594986
28.808594	-88.784813
29.296875	-88.494087
29.785156	-86.987213
30.273438	-89.973358
30.761719	-86.765137
31.250000	-88.377373
31.738281	-86.986565
32.226562	-88.046318
32.714844	-89.195160
33.203125	-87.028236
33.691406	-86.525246
34.179688	-89.450577
34.667969	-87.773102
35.156250	-89.917564
35.644531	-88.809128
36.132812	-87.159843
36.621094	-86.204140
37.109375	-87.291992
37.597656	-89.041718
38.085938	-87.090691
38.574219	-88.304367
39.062500	-87.673340
39.550781	-87.872543
40.039062	-87.217445
40.527344	-87.158287
41.015625	-85.466675
41.503906	-86.907234
41.992188	-87.502396
42.480469	-86.723854
42.968750	-87.552719
43.457031	-86.509857
43.945312	-86.421898
44.433594	-88.132561
44.921875	-86.675934
45.410156	-88.781151
45.898438	-87.932358
46.386719	-88.154137
