Frequency (Hz)	Level (dB)
0.488281	-90.496803
0.976562	-89.075462
1.464844	-89.786835
1.953125	-90.060326
2.441406	-89.576721
2.929688	-89.447983
3.417969	-90.008301
3.906250	-89.244537
4.394531	-89.416534
4.882812	-90.372887
5.371094	-88.659348
5.859375	-90.336258
6.347656	-90.402412
6.835938	-88.166298
7.324219	-89.780815
7.812500	-90.745636
8.300781	-89.440247
8.789062	-89.844246
9.277344	-89.826355
9.765625	-89.123825
10.253906	-88.641617
10.742188	-89.970169
11.230469	-87.242210
11.718750	-87.919403
12.207031	-86.809700
12.695312	-89.762489
13.183594	-86.932503
13.671875	-87.725769
14.160156	-88.397850
14.648438	-88.528625
15.136719	-86.981415
15.625000	-87.516747
16.113281	-87.066116
16.601562	-87.303383
17.089844	-89.022217
17.578125	-85.984482
18.066406	-85.924553
18.554688	-86.266380
19.042969	-83.151901
19.531250	-84.679878
20.019531	-85.459557
20.507812	-84.203735
20.996094	-83.119240
21.484375	-85.453415
21.972656	-82.139549
22.460938	-82.197792
22.949219	-82.650291
23.437500	-80.733833
23.925781	-80.226212
24.414062	-81.835968
24.902344	-81.370132
25.390625	-80.798561
25.878906	-80.042755
26.367188	-80.151848
26.855469	-80.900032
27.343750	-79.980110
27.832031	-79.660797
28.320312	-80.757263
28.808594	-80.811867
29.296875	-79.071487
29.785156	-76.265839
30.273438	-79.842873
30.761719	-79.152534
31.250000	-80.326866
31.738281	-78.506432
32.226562	-77.648201
32.714844	-79.562134
33.203125	-77.911980
33.691406	-79.208084
34.179688	-79.201080
34.667969	-78.557594
35.156250	-78.497604
35.644531	-77.141693
36.132812	-78.620674
36.621094	-77.601906
37.109375	-74.637032
37.597656	-76.774200
38.085938	-78.239082
38.574219	-77.242813
39.062500	-75.080780
39.550781	-75.347054
40.039062	-75.017738
40.527344	-74.511848
41.015625	-73.945618
41.503906	-72.124100
41.992188	-74.468002
42.480469	-75.274529
42.968750	-73.862625
43.457031	-72.746483
43.945312	-73.659988
44.433594	-71.816811
44.921875	-71.701164
45.410156	-71.817139
45.898438	-74.484116
46.386719	-73.600273
46.875000	-74.927757
47.363281	-73.801369
47.851562	-73.831879
48.339844	-73.115273
48.828125	-71.482239
49.316406	-73.198952
49.804688	-70.657356
50.292969	-72.051346
50.781250	-71.819443
51.269531	-70.925423
51.757812	-70.209450
52.246094	-70.195633
52.734375	-70.303535
53.222656	-68.947807
53.710938	-72.397400
54.199219	-73.365486
54.687500	-69.944313
55.175781	-71.581718
55.664062	-71.974846
56.152344	-74.077660
56.640625	-70.089607
57.128906	-70.335045
57.617188	-69.722351
58.105469	-70.112610
58.593750	-70.848549
59.082031	-70.428612
59.570312	-70.360062
60.058594	-72.398170
60.546875	-72.677711
61.035156	-72.216911
61.523438	-74.129417
62.011719	-74.060944
62.500000	-72.282867
62.988281	-72.923294
63.476562	-74.952728
63.964844	-77.745087
64.453125	-78.472267
64.941406	-78.727272
65.429688	-80.048676
65.917969	-81.795601
66.406250	-80.800713
66.894531	-79.962669
67.382812	-82.428085
67.871094	-80.503677
68.359375	-79.559845
68.847656	-80.060638
69.335938	-79.267891
69.824219	-80.056938
70.312500	-79.567032
70.800781	-78.235565
71.289062	-79.589355
71.777344	-81.203674
72.265625	-78.619987
72.753906	-80.526794
73.242188	-78.466187
73.730469	-78.707672
74.218750	-79.538445
74.707031	-79.781555
75.195312	-81.440971
75.683594	-80.041382
76.171875	-79.631920
76.660156	-80.898880
77.148438	-81.838066
77.636719	-84.057381
78.125000	-84.330864
78.613281	-81.604782
79.101562	-83.211090
79.589844	-83.934990
80.078125	-83.013359
80.566406	-81.199287
81.054688	-82.847458
81.542969	-83.368423
82.031250	-81.774773
82.519531	-82.306374
83.007812	-82.563690
83.496094	-80.384377
83.984375	-78.469894
84.472656	-81.543541
84.960938	-80.173096
85.449219	-79.137840
85.937500	-81.754982
86.425781	-79.019150
86.914062	-78.878456
87.402344	-79.170258
87.890625	-79.418388
88.378906	-78.148621
88.867188	-78.550316
89.355469	-79.384819
89.843750	-79.734871
90.332031	-78.135529
90.820312	-78.298470
91.308594	-76.569458
91.796875	-77.291069
92.285156	-80.175987
92.773438	-79.181839
93.261719	-79.675049
93.750000	-80.169067
94.238281	-79.842484
94.726562	-81.343300
95.214844	-81.041138
95.703125	-81.389580
96.191406	-81.631401
96.679688	-80.666725
97.167969	-79.546432
97.656250	-82.182854
98.144531	-82.151520
98.632812	-81.690742
99.121094	-80.431343
99.609375	-81.910759
100.097656	-79.720695
100.585938	-78.603065
