Frequency (Hz)	Level (dB)
0.488281	-96.555679
0.976562	-96.087776
1.464844	-95.884689
1.953125	-96.999489
2.441406	-95.423813
2.929688	-95.835426
3.417969	-95.233772
3.906250	-94.804573
4.394531	-94.583626
4.882812	-94.733376
5.371094	-95.086922
5.859375	-94.172516
6.347656	-94.336357
6.835938	-93.093361
7.324219	-95.030022
7.812500	-95.313454
8.300781	-95.409073
8.789062	-94.382942
9.277344	-93.328461
9.765625	-94.227798
10.253906	-92.385002
10.742188	-90.527565
11.230469	-89.427788
11.718750	-88.769257
12.207031	-90.273544
12.695312	-90.256981
13.183594	-89.982475
13.671875	-91.168121
14.160156	-91.648293
14.648438	-93.291901
15.136719	-91.774796
15.625000	-92.069489
16.113281	-89.404213
16.601562	-90.920631
17.089844	-92.016228
17.578125	-89.052177
18.066406	-90.470688
18.554688	-87.926605
19.042969	-87.571175
19.531250	-88.099983
20.019531	-90.499336
20.507812	-89.389053
20.996094	-88.960396
21.484375	-87.364677
21.972656	-86.236168
22.460938	-87.065048
22.949219	-85.792282
23.437500	-84.418877
23.925781	-86.100945
24.414062	-86.959038
24.902344	-86.018669
25.390625	-87.042831
25.878906	-85.720169
26.367188	-85.066536
26.855469	-87.198555
27.343750	-84.371231
27.832031	-87.019066
28.320312	-87.790459
28.808594	-89.230835
29.296875	-87.108597
29.785156	-85.125183
30.273438	-88.786392
30.761719	-88.396927
31.250000	-87.178070
31.738281	-87.039833
32.226562	-86.584877
32.714844	-88.091644
33.203125	-87.225067
33.691406	-87.269600
34.179688	-90.039124
34.667969	-86.160278
35.156250	-87.589493
35.644531	-86.154152
36.132812	-84.968842
36.621094	-85.423065
37.109375	-84.498047
37.597656	-87.569366
38.085938	-85.794075
38.574219	-86.848022
39.062500	-87.107407
39.550781	-88.135933
40.039062	-86.987000
40.527344	-84.828888
41.015625	-85.769623
41.503906	-86.355972
41.992188	-86.634163
42.480469	-84.608688
42.968750	-84.926453
43.457031	-87.241501
43.945312	-85.967155
44.433594	-84.980614
44.921875	-85.553070
45.410156	-84.710167
45.898438	-85.694489
46.386719	-83.693359
46.875000	-83.229591
47.363281	-85.292793
47.851562	-85.484711
48.339844	-85.248329
48.828125	-84.509712
49.316406	-84.591805
49.804688	-84.159599
50.292969	-84.210968
50.781250	-83.802193
51.269531	-83.482010
51.757812	-82.783371
52.246094	-83.042839
52.734375	-83.236183
53.222656	-83.205154
53.710938	-83.131943
54.199219	-82.011070
54.687500	-80.703270
55.175781	-81.952530
55.664062	-84.378822
56.152344	-81.105652
56.640625	-83.987579
57.128906	-81.113586
57.617188	-81.350441
58.105469	-81.192978
58.593750	-80.347946
59.082031	-82.039734
59.570312	-82.331062
60.058594	-80.172287
60.546875	-82.881989
61.035156	-81.575157
61.523438	-78.388947
62.011719	-80.828934
62.500000	-79.258148
