Frequency (Hz)	Level (dB)
0.488281	-86.109673
0.976562	-85.055626
1.464844	-85.946266
1.953125	-86.713005
2.441406	-85.658257
2.929688	-85.593529
3.417969	-85.798622
3.906250	-85.288109
4.394531	-86.137390
4.882812	-86.760284
5.371094	-85.070435
5.859375	-86.105865
6.347656	-86.541321
6.835938	-85.689644
7.324219	-86.626495
7.812500	-85.391853
8.300781	-86.054825
8.789062	-86.068413
9.277344	-84.805618
9.765625	-85.904388
10.253906	-85.701874
10.742188	-86.008110
11.230469	-85.176552
11.718750	-84.632782
12.207031	-85.028603
12.695312	-85.520271
13.183594	-85.431450
13.671875	-85.788040
14.160156	-84.762909
14.648438	-85.624092
15.136719	-84.513565
15.625000	-85.463768
16.113281	-85.560356
16.601562	-85.283623
17.089844	-84.730598
17.578125	-85.202034
18.066406	-83.812057
18.554688	-85.470215
19.042969	-86.074783
19.531250	-84.716476
20.019531	-84.918465
20.507812	-84.473793
20.996094	-83.912712
21.484375	-84.664299
21.972656	-83.748672
22.460938	-83.421654
22.949219	-83.317261
23.437500	-83.224747
23.925781	-85.206009
24.414062	-83.711189
24.902344	-84.843719
25.390625	-83.627251
25.878906	-82.499008
26.367188	-82.796913
26.855469	-84.653770
27.343750	-83.109665
27.832031	-83.688614
28.320312	-83.931198
28.808594	-83.998116
29.296875	-84.852303
29.785156	-83.716347
30.273438	-83.322647
30.761719	-85.569527
31.250000	-84.180603
31.738281	-84.364143
32.226562	-83.067215
32.714844	-83.913368
33.203125	-82.308578
33.691406	-82.522346
34.179688	-85.419724
34.667969	-83.270439
35.156250	-84.012070
35.644531	-83.475662
36.132812	-85.133331
36.621094	-84.244431
37.109375	-84.190987
37.597656	-82.973183
38.085938	-83.204720
38.574219	-84.600433
39.062500	-84.702507
39.550781	-84.518394
40.039062	-83.690941
40.527344	-84.196342
41.015625	-83.842690
41.503906	-82.156258
41.992188	-84.652214
42.480469	-84.876175
42.968750	-84.058647
43.457031	-82.383354
43.945312	-84.104576
44.433594	-83.758591
44.921875	-84.108849
45.410156	-82.089737
45.898438	-81.793404
46.386719	-83.844490
46.875000	-83.336113
47.363281	-84.104851
47.851562	-82.292641
48.339844	-81.932594
48.828125	-81.334038
49.316406	-81.511963
49.804688	-81.185036
50.292969	-82.002762
50.781250	-82.649887
51.269531	-82.433205
51.757812	-83.096733
52.246094	-82.432312
52.734375	-82.726562
53.222656	-82.998650
53.710938	-81.505432
54.199219	-82.223122
54.687500	-82.731178
55.175781	-80.439568
55.664062	-79.842262
56.152344	-80.515770
56.640625	-81.932564
57.128906	-80.823868
57.617188	-81.134804
58.105469	-80.864120
58.593750	-81.153496
59.082031	-81.004181
59.570312	-79.031044
60.058594	-80.311432
60.546875	-78.834305
61.035156	-80.541229
61.523438	-78.964165
62.011719	-80.203224
62.500000	-77.798691
62.988281	-79.200157
63.476562	-80.139610
63.964844	-79.674355
64.453125	-80.115578
64.941406	-79.709198
65.429688	-81.739677
65.917969	-81.217514
66.406250	-80.530945
66.894531	-80.841927
67.382812	-80.394279
67.871094	-80.682419
68.359375	-80.545021
68.847656	-80.913315
69.335938	-80.390709
69.824219	-80.534447
70.312500	-79.618996
70.800781	-77.569054
71.289062	-79.947083
71.777344	-80.391876
72.265625	-79.947166
72.753906	-78.403389
73.242188	-79.546692
73.730469	-77.531479
74.218750	-77.511772
74.707031	-79.065063
75.195312	-80.495033
75.683594	-78.250778
76.171875	-79.020279
76.660156	-80.026588
77.148438	-79.210457
77.636719	-79.635277
78.125000	-77.988586
78.613281	-77.712090
79.101562	-79.653130
79.589844	-78.284569
80.078125	-78.027847
80.566406	-79.402931
81.054688	-78.006027
81.542969	-78.530617
82.031250	-78.567513
82.519531	-78.052010
83.007812	-79.725464
83.496094	-76.629410
83.984375	-77.555016
84.472656	-77.495064
84.960938	-77.083443
85.449219	-77.955750
85.937500	-77.196480
86.425781	-76.586174
86.914062	-77.348808
87.402344	-77.505905
87.890625	-77.708160
88.378906	-76.180511
88.867188	-77.408989
89.355469	-76.634247
89.843750	-76.621201
90.332031	-76.555428
90.820312	-76.171364
91.308594	-76.102150
91.796875	-77.643661
92.285156	-77.582161
92.773438	-76.664841
93.261719	-76.872101
93.750000	-76.278755
94.238281	-75.788429
94.726562	-76.398239
95.214844	-76.251053
95.703125	-77.462273
96.191406	-76.853798
96.679688	-75.889023
97.167969	-76.206245
97.656250	-76.967133
98.144531	-76.213623
98.632812	-75.182121
99.121094	-75.579887
99.609375	-75.496582
100.097656	-76.011772
100.585938	-74.258766
101.074219	-74.081665
101.562500	-74.904694
102.050781	-73.411652
102.539062	-73.823753
103.027344	-73.769531
103.515625	-73.573593
104.003906	-72.389610
104.492188	-72.468880
104.980469	-73.913094
105.468750	-73.534714
105.957031	-74.989426
106.445312	-72.518051
106.933594	-72.926483
107.421875	-72.295921
107.910156	-73.776459
108.398438	-71.973518
108.886719	-72.362373
109.375000	-73.387932
109.863281	-73.751259
110.351562	-71.485687
110.839844	-73.120384
111.328125	-71.182640
111.816406	-69.886475
112.304688	-71.000053
112.792969	-69.700462
113.281250	-69.009148
113.769531	-66.890221
114.257812	-68.581741
114.746094	-70.596176
115.234375	-70.248131
115.722656	-69.491753
116.210938	-69.848160
116.699219	-68.419617
117.187500	-68.793671
117.675781	-68.605614
118.164062	-69.504311
118.652344	-67.941833
119.140625	-68.611031
119.628906	-69.786499
120.117188	-62.149086
120.605469	-63.883884
121.093750	-61.563984
121.582031	-67.318573
122.070312	-67.772675
122.558594	-66.907227
123.046875	-67.589981
123.535156	-65.637573
124.023438	-67.150253
124.511719	-66.148796
125.000000	-67.616333
125.488281	-67.808372
125.976562	-66.558075
126.464844	-65.659966
126.953125	-65.941849
127.441406	-65.038567
127.929688	-65.300674
128.417969	-65.153244
128.906250	-64.606796
129.394531	-63.107426
129.882812	-63.587559
130.371094	-64.228470
130.859375	-63.750240
131.347656	-64.399986
131.835938	-64.774673
