Frequency (Hz)	Level (dB)
0.976562	-93.331947
1.953125	-93.296059
2.929688	-93.630409
3.906250	-91.971657
4.882812	-92.633507
5.859375	-92.002014
6.835938	-90.414719
7.812500	-91.657341
8.789062	-90.852951
9.765625	-89.836990
10.742188	-87.342232
11.718750	-84.643791
12.695312	-86.881058
13.671875	-86.023354
14.648438	-85.856720
15.625000	-84.558426
16.601562	-84.385414
17.578125	-84.628433
18.554688	-83.077919
19.531250	-83.679504
20.507812	-84.248962
21.484375	-80.652382
22.460938	-81.568069
23.437500	-80.347855
24.414062	-78.695908
25.390625	-79.335464
26.367188	-78.840065
27.343750	-79.360344
28.320312	-79.800705
29.296875	-78.189507
30.273438	-79.371910
31.250000	-79.492645
32.226562	-80.115898
33.203125	-79.904755
34.179688	-78.983688
35.156250	-79.583687
36.132812	-79.689606
37.109375	-79.047302
38.085938	-79.691124
39.062500	-79.975662
40.039062	-78.314545
41.015625	-77.836754
41.992188	-77.128448
42.968750	-75.564270
43.945312	-79.080841
44.921875	-78.550018
45.898438	-76.586304
46.875000	-77.209305
47.851562	-77.608688
48.828125	-75.828156
49.804688	-75.469467
50.781250	-75.690964
51.757812	-75.446846
52.734375	-74.612274
53.710938	-74.238098
54.687500	-74.386276
55.664062	-73.882210
56.640625	-73.934387
57.617188	-73.657318
58.593750	-73.876404
59.570312	-72.805206
60.546875	-72.190125
61.523438	-71.598145
62.500000	-72.196747
63.476562	-71.746033
64.453125	-75.133919
65.429688	-75.468163
66.406250	-74.685791
67.382812	-75.243095
68.359375	-76.103592
69.335938	-74.149338
70.312500	-74.307800
71.289062	-74.377953
72.265625	-74.205872
73.242188	-73.513206
74.218750	-74.350960
75.195312	-73.369072
76.171875	-74.597778
77.148438	-74.571404
78.125000	-74.202423
79.101562	-76.523605
80.078125	-75.812866
81.054688	-76.919640
82.031250	-76.322220
83.007812	-76.241302
83.984375	-75.643105
84.960938	-74.155289
85.937500	-74.269684
86.914062	-73.777130
87.890625	-74.638107
88.867188	-75.779350
89.843750	-74.730179
90.820312	-75.361122
91.796875	-74.869972
92.773438	-75.532745
93.750000	-75.685760
94.726562	-76.796898
95.703125	-76.484390
96.679688	-75.815292
97.656250	-77.180222
98.632812	-77.226440
99.609375	-76.683624
100.585938	-76.211601
101.562500	-75.041924
102.539062	-75.475235
103.515625	-75.387505
104.492188	-75.553452
105.468750	-75.247925
106.445312	-75.760468
107.421875	-76.898384
108.398438	-76.597595
109.375000	-75.565071
110.351562	-75.373238
111.328125	-76.180901
112.304688	-76.668152
113.281250	-75.500107
114.257812	-73.792000
115.234375	-76.556114
116.210938	-75.855659
117.187500	-75.541512
118.164062	-76.228096
