Frequency (Hz)	Level (dB)
0.976562	-90.954117
1.953125	-90.958565
2.929688	-90.792236
3.906250	-90.091965
4.882812	-90.238007
5.859375	-89.373367
6.835938	-89.681046
7.812500	-90.217979
8.789062	-89.907486
9.765625	-87.664558
10.742188	-86.475204
11.718750	-85.372208
12.695312	-85.447006
13.671875	-84.504807
14.648438	-84.947884
15.625000	-84.713440
16.601562	-83.878700
17.578125	-85.422684
18.554688	-82.941063
19.531250	-83.321617
20.507812	-82.224846
21.484375	-81.542519
22.460938	-80.112183
23.437500	-80.716499
24.414062	-81.196617
25.390625	-80.726234
26.367188	-81.102272
27.343750	-79.860901
28.320312	-79.104271
29.296875	-79.096931
30.273438	-80.567886
31.250000	-80.619171
32.226562	-80.719864
33.203125	-78.980949
34.179688	-79.976974
35.156250	-78.846992
36.132812	-79.374512
37.109375	-78.680656
38.085938	-80.000961
39.062500	-79.461327
40.039062	-78.539246
41.015625	-77.760735
41.992188	-77.807274
42.968750	-76.346909
43.945312	-77.898079
44.921875	-78.355911
45.898438	-77.855385
46.875000	-77.990448
47.851562	-77.705238
48.828125	-77.465553
49.804688	-76.020401
50.781250	-76.215446
51.757812	-76.775909
52.734375	-76.778099
53.710938	-75.242661
54.687500	-74.997253
55.664062	-74.898064
56.640625	-73.690010
57.617188	-73.240181
58.593750	-73.335381
59.570312	-73.136955
60.546875	-74.474930
61.523438	-72.691887
62.500000	-74.358154
63.476562	-73.033585
64.453125	-76.384033
65.429688	-76.845207
66.406250	-76.780212
67.382812	-76.497475
68.359375	-77.914124
69.335938	-76.024155
70.312500	-74.977951
71.289062	-74.526291
72.265625	-76.109207
73.242188	-75.960205
74.218750	-74.790298
75.195312	-74.894730
76.171875	-75.006935
77.148438	-75.814369
78.125000	-74.923004
79.101562	-77.935944
80.078125	-77.035912
81.054688	-77.848328
82.031250	-77.505653
83.007812	-76.294441
83.984375	-75.587364
84.960938	-75.022896
85.937500	-73.569328
86.914062	-74.195778
87.890625	-74.733505
88.867188	-76.490570
89.843750	-75.525162
90.820312	-75.224579
91.796875	-76.328323
92.773438	-76.523827
93.750000	-77.729332
94.726562	-77.906471
95.703125	-76.850594
96.679688	-75.697868
97.656250	-77.855858
98.632812	-76.748077
99.609375	-76.858009
100.585938	-77.060951
101.562500	-75.885277
102.539062	-75.922348
103.515625	-75.737236
104.492188	-76.704971
105.468750	-75.693039
106.445312	-76.263863
107.421875	-77.118256
108.398438	-75.924858
109.375000	-75.375603
110.351562	-75.948128
111.328125	-76.917252
112.304688	-77.288261
113.281250	-75.578445
114.257812	-74.778137
115.234375	-76.375320
116.210938	-75.781853
117.187500	-76.345581
118.164062	-76.055855
119.140625	-76.505348
120.117188	-76.000275
121.093750	-77.545898
122.070312	-76.754478
123.046875	-76.976212
124.023438	-77.578598
125.000000	-76.348801
125.976562	-77.823128
126.953125	-76.892067
127.929688	-77.379585
128.906250	-76.524910
129.882812	-76.291695
130.859375	-77.188675
131.835938	-77.413818
132.812500	-77.233727
133.789062	-75.804367
134.765625	-77.283524
135.742188	-76.780411
136.718750	-77.708687
137.695312	-76.388222
138.671875	-77.574524
139.648438	-76.720428
140.625000	-75.925087
141.601562	-77.417610
142.578125	-77.486885
143.554688	-76.874863
