Frequency (Hz)	Level (dB)
0.976562	-89.578522
1.953125	-89.508743
2.929688	-89.355141
3.906250	-88.712791
4.882812	-89.425217
5.859375	-88.661896
6.835938	-86.503822
7.812500	-87.905075
8.789062	-87.974709
9.765625	-86.414833
10.742188	-84.709229
11.718750	-83.591370
12.695312	-83.769920
13.671875	-82.693199
14.648438	-83.740677
15.625000	-82.975479
16.601562	-82.847748
17.578125	-82.090637
18.554688	-80.963966
19.531250	-80.502914
20.507812	-81.185944
21.484375	-80.004593
22.460938	-77.770798
23.437500	-77.093201
24.414062	-79.090622
25.390625	-78.916573
26.367188	-78.244987
27.343750	-77.502350
28.320312	-76.875519
29.296875	-76.789314
30.273438	-77.409897
31.250000	-77.657021
32.226562	-77.720314
33.203125	-78.016769
34.179688	-78.283813
35.156250	-77.752159
36.132812	-78.100739
37.109375	-77.607010
38.085938	-77.645668
39.062500	-77.995140
40.039062	-77.569511
41.015625	-75.675621
41.992188	-75.913757
42.968750	-75.123787
43.945312	-75.652206
44.921875	-74.724503
45.898438	-76.133400
46.875000	-74.956154
47.851562	-75.811020
48.828125	-74.537750
49.804688	-74.492325
50.781250	-72.415413
51.757812	-73.375465
52.734375	-74.966919
53.710938	-73.907722
54.687500	-71.980064
55.664062	-73.193703
56.640625	-72.643555
57.617188	-70.903206
58.593750	-71.089371
59.570312	-71.264366
60.546875	-71.078781
61.523438	-71.394455
62.500000	-69.771347
63.476562	-71.520737
64.453125	-74.096779
65.429688	-73.962105
66.406250	-73.467720
67.382812	-74.346100
68.359375	-74.716263
69.335938	-73.834389
70.312500	-72.414246
71.289062	-74.033195
72.265625	-73.781822
73.242188	-72.689514
74.218750	-72.518097
75.195312	-71.725685
76.171875	-74.454216
77.148438	-72.647377
78.125000	-73.442757
79.101562	-74.936646
80.078125	-74.562759
81.054688	-75.109665
82.031250	-74.791161
83.007812	-75.690132
83.984375	-74.494339
84.960938	-71.891502
85.937500	-72.746170
86.914062	-71.665932
87.890625	-72.493835
88.867188	-73.376091
89.843750	-73.669167
90.820312	-73.005814
91.796875	-75.407875
92.773438	-75.124336
93.750000	-75.593597
94.726562	-75.907188
95.703125	-75.356392
96.679688	-73.958656
97.656250	-75.907059
98.632812	-74.897102
99.609375	-75.195358
100.585938	-74.819122
101.562500	-74.215179
102.539062	-73.494431
103.515625	-73.572571
104.492188	-75.063515
105.468750	-74.488029
106.445312	-74.499878
107.421875	-74.954102
108.398438	-74.698814
109.375000	-73.735573
110.351562	-73.629333
111.328125	-74.589691
112.304688	-75.189690
113.281250	-72.890480
114.257812	-70.474495
115.234375	-74.530174
116.210938	-74.294174
117.187500	-75.497650
118.164062	-74.919014
119.140625	-74.636154
120.117188	-73.103333
121.093750	-75.303375
122.070312	-74.474442
123.046875	-74.283386
124.023438	-75.820801
125.000000	-75.389511
125.976562	-75.556923
126.953125	-75.364670
127.929688	-75.873108
128.906250	-75.011848
129.882812	-74.716194
130.859375	-75.644600
131.835938	-75.622971
132.812500	-74.798141
133.789062	-74.647568
134.765625	-75.155693
135.742188	-74.426292
136.718750	-75.547752
137.695312	-75.307190
138.671875	-75.805305
139.648438	-74.974510
140.625000	-74.338982
141.601562	-75.474464
142.578125	-75.426491
143.554688	-75.688065
144.531250	-75.169083
145.507812	-74.428886
146.484375	-75.155487
147.460938	-76.247650
148.437500	-75.256042
149.414062	-74.256584
150.390625	-75.261047
151.367188	-76.701767
152.343750	-75.447716
153.320312	-75.978310
154.296875	-75.391113
155.273438	-74.746994
156.250000	-75.014633
157.226562	-76.866280
158.203125	-75.896950
159.179688	-76.220604
160.156250	-74.586166
161.132812	-77.181854
162.109375	-75.028114
163.085938	-76.003151
164.062500	-75.519272
165.039062	-75.867775
166.015625	-74.949989
166.992188	-74.804863
167.968750	-75.929466
168.945312	-77.803535
169.921875	-75.585068
170.898438	-75.701118
171.875000	-76.133224
172.851562	-75.580200
173.828125	-75.553970
174.804688	-75.925072
175.781250	-76.180328
176.757812	-75.596649
177.734375	-75.989540
178.710938	-76.031746
179.687500	-75.540665
180.664062	-75.539291
181.640625	-77.052055
182.617188	-76.286919
183.593750	-76.202614
184.570312	-76.063789
185.546875	-76.138985
186.523438	-76.835892
187.500000	-77.006470
188.476562	-76.266342
189.453125	-76.415863
190.429688	-75.942764
191.406250	-76.473686
192.382812	-74.989929
193.359375	-76.333817
194.335938	-74.486794
195.312500	-74.449623
196.289062	-77.338295
197.265625	-76.909958
198.242188	-76.590935
199.218750	-76.262466
200.195312	-76.326897
201.171875	-75.310646
202.148438	-75.092033
203.125000	-76.348526
204.101562	-75.886711
205.078125	-76.338722
206.054688	-75.933418
207.031250	-75.458733
208.007812	-76.360809
208.984375	-76.393349
209.960938	-75.919868
210.937500	-76.443085
211.914062	-75.590637
212.890625	-75.305405
213.867188	-74.650314
214.843750	-76.128708
215.820312	-75.627922
216.796875	-75.308731
217.773438	-76.248230
218.750000	-77.365692
219.726562	-76.203224
220.703125	-76.093674
221.679688	-76.560577
222.656250	-77.001343
223.632812	-76.080833
224.609375	-76.418076
225.585938	-76.605598
226.562500	-77.068985
227.539062	-76.503242
228.515625	-77.323883
229.492188	-76.292084
230.468750	-76.573761
231.445312	-76.341072
232.421875	-76.269348
233.398438	-75.365776
234.375000	-75.828690
235.351562	-76.937584
236.328125	-77.183266
237.304688	-76.687950
238.281250	-77.736458
239.257812	-76.748528
240.234375	-76.280304
241.210938	-76.244476
242.187500	-76.429039
243.164062	-77.119415
244.140625	-75.955933
245.117188	-75.956276
246.093750	-76.700569
247.070312	-76.084488
248.046875	-77.096268
249.023438	-76.713852
250.000000	-75.472427
250.976562	-76.725060
251.953125	-75.970314
252.929688	-75.752434
253.906250	-74.968147
254.882812	-74.480263
255.859375	-74.954674
256.835938	-77.203979
257.812500	-75.324356
258.789062	-76.678207
259.765625	-77.803993
260.742188	-77.053444
261.718750	-76.179726
262.695312	-75.888527
263.671875	-76.450844
264.648438	-76.485886
265.625000	-75.277367
266.601562	-76.396721
267.578125	-75.835648
268.554688	-74.829460
269.531250	-76.465523
270.507812	-75.397507
271.484375	-76.614326
272.460938	-75.922585
273.437500	-77.156998
274.414062	-76.828072
275.390625	-75.809959
276.367188	-74.892616
277.343750	-75.005966
278.320312	-76.714050
