Frequency (Hz)	Level (dB)
0.976562	-87.900642
1.953125	-87.913269
2.929688	-87.903641
3.906250	-87.371490
4.882812	-87.735886
5.859375	-87.362106
6.835938	-86.093788
7.812500	-86.923485
8.789062	-87.193382
9.765625	-85.715767
10.742188	-82.945213
11.718750	-82.778549
12.695312	-81.888206
13.671875	-80.696243
14.648438	-82.094971
15.625000	-80.340195
16.601562	-80.777916
17.578125	-80.312958
18.554688	-79.003349
19.531250	-79.034286
20.507812	-78.395836
21.484375	-75.218163
22.460938	-75.487579
23.437500	-73.935677
24.414062	-75.191887
25.390625	-75.989616
26.367188	-75.008110
27.343750	-73.076309
28.320312	-72.056351
29.296875	-72.993050
30.273438	-72.747566
31.250000	-72.720604
32.226562	-72.547920
33.203125	-72.772697
34.179688	-73.260201
35.156250	-72.094925
36.132812	-72.433029
37.109375	-71.717445
38.085938	-72.266212
39.062500	-71.243629
40.039062	-71.055450
41.015625	-70.760391
41.992188	-70.372101
42.968750	-67.538849
43.945312	-68.392960
44.921875	-69.567429
45.898438	-67.513687
46.875000	-67.550095
47.851562	-68.923042
48.828125	-67.722176
49.804688	-67.085655
50.781250	-65.808350
51.757812	-66.268661
52.734375	-65.955048
53.710938	-64.585564
54.687500	-64.162888
55.664062	-63.940254
56.640625	-63.399689
57.617188	-62.440723
58.593750	-62.080227
59.570312	-62.869186
60.546875	-62.133083
61.523438	-61.818775
62.500000	-60.210369
63.476562	-60.065529
64.453125	-63.129093
65.429688	-64.833221
66.406250	-64.507050
67.382812	-64.151649
68.359375	-65.651146
69.335938	-65.185471
70.312500	-60.706345
71.289062	-60.867653
72.265625	-62.022739
73.242188	-60.599953
74.218750	-59.748432
75.195312	-60.429298
76.171875	-61.484280
77.148438	-64.571297
78.125000	-63.761879
79.101562	-64.257301
80.078125	-65.187958
81.054688	-63.743004
82.031250	-64.816704
83.007812	-63.041519
83.984375	-60.602974
84.960938	-58.625523
85.937500	-58.754116
86.914062	-58.842258
87.890625	-60.031654
88.867188	-59.867950
89.843750	-59.148075
90.820312	-59.790585
91.796875	-59.569126
92.773438	-61.427090
93.750000	-63.917805
94.726562	-65.661301
95.703125	-65.936134
96.679688	-65.996796
97.656250	-65.128700
98.632812	-65.025085
99.609375	-62.996994
100.585938	-64.407967
101.562500	-62.604317
102.539062	-61.636333
103.515625	-60.959396
104.492188	-60.757835
105.468750	-59.714031
106.445312	-59.035172
107.421875	-60.038864
108.398438	-62.174271
109.375000	-61.791130
110.351562	-61.672939
111.328125	-60.697300
112.304688	-58.279316
113.281250	-55.366421
114.257812	-49.654640
115.234375	-56.391594
116.210938	-58.174015
117.187500	-59.601784
118.164062	-59.459068
119.140625	-58.385845
120.117188	-58.775253
121.093750	-59.687706
122.070312	-57.831661
123.046875	-59.896145
124.023438	-61.603577
125.000000	-59.888927
125.976562	-60.893635
126.953125	-61.483635
127.929688	-60.048286
128.906250	-59.665596
129.882812	-58.861042
130.859375	-59.707355
131.835938	-58.728291
132.812500	-58.267067
133.789062	-57.984356
134.765625	-58.664219
135.742188	-59.130932
136.718750	-59.644791
137.695312	-59.176811
138.671875	-59.539650
139.648438	-56.401783
140.625000	-59.494690
141.601562	-58.095840
142.578125	-58.599140
143.554688	-58.966244
144.531250	-58.931072
145.507812	-57.484612
146.484375	-56.586620
147.460938	-57.883934
148.437500	-58.729309
149.414062	-60.160740
150.390625	-61.017426
151.367188	-60.643444
152.343750	-62.140663
153.320312	-62.088631
154.296875	-62.694382
155.273438	-62.397717
156.250000	-61.043411
157.226562	-61.254189
158.203125	-61.338985
159.179688	-63.074379
160.156250	-60.922157
161.132812	-63.180153
162.109375	-63.904709
163.085938	-63.190216
164.062500	-64.314735
165.039062	-63.269207
166.015625	-63.545586
166.992188	-64.485931
167.968750	-62.972214
168.945312	-63.257332
169.921875	-65.099365
170.898438	-65.866539
171.875000	-66.866333
172.851562	-66.101555
173.828125	-66.202507
174.804688	-66.756622
175.781250	-66.086792
176.757812	-66.387520
177.734375	-66.142593
178.710938	-65.087837
179.687500	-65.867180
180.664062	-66.559052
181.640625	-66.727318
182.617188	-67.424690
183.593750	-69.073982
184.570312	-68.432938
185.546875	-68.964890
186.523438	-71.128662
187.500000	-68.688690
188.476562	-69.461060
189.453125	-70.333931
190.429688	-68.543518
191.406250	-71.485001
192.382812	-69.899071
193.359375	-72.190208
194.335938	-69.742065
195.312500	-69.775826
196.289062	-71.415123
197.265625	-71.421249
198.242188	-71.734512
199.218750	-70.113861
200.195312	-71.193237
201.171875	-71.682571
202.148438	-70.611046
203.125000	-72.034004
204.101562	-70.616150
205.078125	-70.926865
206.054688	-70.207657
207.031250	-70.810295
208.007812	-71.158028
208.984375	-71.583267
209.960938	-72.406715
210.937500	-71.498497
211.914062	-71.074600
212.890625	-70.866585
213.867188	-69.274467
