Frequency (Hz)	Level (dB)
0.976562	-47.093193
1.953125	-46.064583
2.929688	-46.237373
3.906250	-46.982952
4.882812	-47.369381
5.859375	-46.828503
6.835938	-45.893242
7.812500	-46.472019
8.789062	-46.870289
9.765625	-48.071606
10.742188	-47.758316
11.718750	-47.734894
12.695312	-46.590481
13.671875	-47.747322
14.648438	-47.745056
15.625000	-46.723232
16.601562	-45.793461
17.578125	-46.727158
18.554688	-47.266895
19.531250	-46.386410
20.507812	-46.892269
21.484375	-47.151375
22.460938	-45.416565
23.437500	-47.368465
24.414062	-46.198101
25.390625	-47.178871
26.367188	-46.305191
27.343750	-45.852436
28.320312	-48.326725
29.296875	-46.816586
30.273438	-46.335690
31.250000	-46.472370
32.226562	-48.354523
33.203125	-46.440266
34.179688	-47.229023
35.156250	-46.730202
36.132812	-47.237110
37.109375	-47.591740
38.085938	-48.542950
39.062500	-47.848915
40.039062	-46.988510
41.015625	-47.544609
41.992188	-47.022617
42.968750	-46.050804
43.945312	-47.532192
44.921875	-46.391731
45.898438	-46.389481
46.875000	-47.033543
47.851562	-46.636971
48.828125	-47.363121
49.804688	-47.885509
50.781250	-46.218952
51.757812	-47.771637
52.734375	-47.605648
53.710938	-46.325363
54.687500	-46.595142
55.664062	-48.010780
56.640625	-46.591820
57.617188	-47.073860
58.593750	-47.753860
59.570312	-46.623482
60.546875	-47.570545
61.523438	-48.105515
62.500000	-48.304878
63.476562	-47.286427
64.453125	-47.497532
65.429688	-46.736240
66.406250	-46.126598
67.382812	-46.795261
68.359375	-48.090977
69.335938	-46.114933
70.312500	-47.769657
71.289062	-47.502972
72.265625	-47.652466
73.242188	-46.617134
74.218750	-46.106926
75.195312	-46.535595
76.171875	-47.901543
77.148438	-46.571999
78.125000	-45.162983
79.101562	-47.531586
80.078125	-47.457458
81.054688	-48.250149
82.031250	-47.170837
83.007812	-46.737759
83.984375	-46.527321
84.960938	-46.967228
85.937500	-47.091293
86.914062	-46.171555
87.890625	-46.051338
88.867188	-47.541550
89.843750	-47.778347
90.820312	-48.004448
91.796875	-47.858662
92.773438	-46.828392
93.750000	-47.249615
94.726562	-47.695709
95.703125	-47.048355
96.679688	-45.549103
97.656250	-47.240959
98.632812	-46.870808
99.609375	-47.426502
100.585938	-47.020374
101.562500	-45.989845
102.539062	-45.723194
103.515625	-45.641945
104.492188	-47.175613
105.468750	-46.617458
106.445312	-46.665234
107.421875	-47.873116
108.398438	-47.190689
109.375000	-45.476204
110.351562	-45.783459
111.328125	-47.050770
112.304688	-47.800770
113.281250	-47.041618
114.257812	-47.363968
115.234375	-46.870968
116.210938	-46.489235
117.187500	-46.701889
118.164062	-46.850571
119.140625	-46.398872
120.117188	-46.670841
121.093750	-47.526691
122.070312	-46.680397
123.046875	-46.617985
124.023438	-47.261581
125.000000	-46.768497
125.976562	-47.947304
126.953125	-47.307800
127.929688	-47.795219
128.906250	-46.067860
129.882812	-46.528908
130.859375	-47.327591
131.835938	-47.297882
132.812500	-46.814041
133.789062	-46.260761
134.765625	-47.375023
135.742188	-45.947994
136.718750	-47.523643
137.695312	-47.327393
138.671875	-47.155785
139.648438	-47.216492
140.625000	-45.848457
141.601562	-46.831783
142.578125	-47.107582
143.554688	-47.134079
144.531250	-46.866024
145.507812	-46.701267
146.484375	-46.887089
147.460938	-48.257412
148.437500	-46.818096
149.414062	-45.961052
150.390625	-47.071091
151.367188	-48.881096
152.343750	-47.048786
153.320312	-47.908127
154.296875	-47.175148
155.273438	-46.186081
156.250000	-46.069046
157.226562	-48.748119
158.203125	-47.849316
159.179688	-47.915203
160.156250	-46.414051
161.132812	-48.937099
162.109375	-46.160740
163.085938	-47.644844
164.062500	-46.866943
165.039062	-47.002350
166.015625	-46.166122
166.992188	-45.736958
167.968750	-46.967777
168.945312	-49.083145
169.921875	-46.693645
170.898438	-46.947990
171.875000	-47.792229
172.851562	-46.864449
173.828125	-47.326710
