Frequency (Hz)	Level (dB)
0.976562	-89.481796
1.953125	-89.235062
2.929688	-89.524429
3.906250	-89.417442
4.882812	-89.039246
5.859375	-87.981522
6.835938	-88.396988
7.812500	-88.047890
8.789062	-86.961891
9.765625	-85.731300
10.742188	-83.629539
11.718750	-82.773010
12.695312	-82.970009
13.671875	-82.171097
14.648438	-83.547615
15.625000	-79.969688
16.601562	-82.571648
17.578125	-83.111229
18.554688	-80.838432
19.531250	-78.007881
20.507812	-78.683998
21.484375	-79.600037
22.460938	-76.663582
23.437500	-77.168877
24.414062	-77.514885
25.390625	-77.595810
26.367188	-75.962746
27.343750	-75.516579
28.320312	-72.903450
29.296875	-75.132828
30.273438	-76.133224
31.250000	-74.801811
32.226562	-73.349541
33.203125	-73.623108
34.179688	-74.164886
35.156250	-72.104897
36.132812	-73.678627
37.109375	-73.804016
38.085938	-72.415375
39.062500	-69.999359
40.039062	-71.116776
41.015625	-70.081833
41.992188	-70.448845
42.968750	-66.791687
43.945312	-68.634064
44.921875	-69.698120
45.898438	-68.990387
46.875000	-70.026115
47.851562	-68.755096
48.828125	-68.406204
49.804688	-66.926636
50.781250	-64.456917
51.757812	-69.404366
52.734375	-66.589874
53.710938	-64.395538
54.687500	-66.339973
55.664062	-64.341293
56.640625	-63.657570
57.617188	-62.794468
58.593750	-62.130039
59.570312	-63.834862
60.546875	-63.096371
61.523438	-62.424603
62.500000	-59.378170
63.476562	-60.457233
64.453125	-65.646088
65.429688	-67.946732
66.406250	-67.380669
67.382812	-67.891693
68.359375	-67.860344
69.335938	-65.070511
70.312500	-63.921539
71.289062	-62.212738
72.265625	-62.081516
73.242188	-61.314709
74.218750	-63.941334
75.195312	-61.420864
76.171875	-61.873459
77.148438	-64.808998
78.125000	-66.227768
79.101562	-66.629829
80.078125	-64.716606
81.054688	-65.859978
82.031250	-65.847473
83.007812	-65.683617
83.984375	-62.186844
84.960938	-60.257244
85.937500	-60.183697
86.914062	-59.770432
87.890625	-62.121849
88.867188	-59.089050
89.843750	-61.285393
90.820312	-59.528378
91.796875	-63.525223
92.773438	-64.981895
93.750000	-63.946232
94.726562	-65.266525
95.703125	-65.091263
96.679688	-65.872040
97.656250	-66.688454
98.632812	-65.221092
99.609375	-66.324585
100.585938	-67.534348
101.562500	-64.976509
102.539062	-65.109940
103.515625	-62.010910
104.492188	-60.953705
105.468750	-59.883389
106.445312	-60.410225
107.421875	-63.758698
108.398438	-61.817760
109.375000	-65.255638
110.351562	-63.034500
111.328125	-59.949139
112.304688	-59.654404
113.281250	-57.967613
114.257812	-51.683098
115.234375	-57.609249
116.210938	-61.542137
117.187500	-59.096455
118.164062	-60.671959
119.140625	-63.023373
120.117188	-61.471207
121.093750	-60.174923
122.070312	-61.380142
123.046875	-62.426250
124.023438	-61.407661
125.000000	-60.615768
125.976562	-61.092281
126.953125	-59.013344
127.929688	-61.496204
128.906250	-61.016125
129.882812	-63.060452
130.859375	-59.234524
131.835938	-58.933704
132.812500	-60.059528
133.789062	-62.295994
134.765625	-61.271954
135.742188	-58.851204
136.718750	-62.443253
137.695312	-60.957359
138.671875	-62.548286
139.648438	-63.310703
140.625000	-62.675842
141.601562	-61.273151
142.578125	-59.646206
143.554688	-57.181946
144.531250	-57.826668
145.507812	-59.499222
146.484375	-59.477196
147.460938	-64.068321
148.437500	-63.572632
149.414062	-64.481590
150.390625	-64.507507
151.367188	-65.456673
152.343750	-61.812687
153.320312	-65.056519
154.296875	-63.907562
155.273438	-63.980148
156.250000	-67.774704
157.226562	-63.745251
158.203125	-62.852711
159.179688	-64.299545
160.156250	-66.881042
161.132812	-63.360558
162.109375	-66.071808
163.085938	-65.117928
164.062500	-64.163834
165.039062	-64.875351
166.015625	-67.541130
166.992188	-64.383774
167.968750	-63.729736
168.945312	-66.903610
169.921875	-66.227325
170.898438	-69.097351
171.875000	-68.710182
172.851562	-69.864777
173.828125	-68.505417
174.804688	-69.377380
175.781250	-66.952332
176.757812	-67.360298
177.734375	-69.829720
178.710938	-67.577866
179.687500	-69.465805
180.664062	-69.599197
181.640625	-68.271202
182.617188	-69.907135
183.593750	-71.790955
184.570312	-70.395378
185.546875	-71.516876
186.523438	-70.234947
187.500000	-71.935425
188.476562	-69.759003
189.453125	-73.731476
190.429688	-73.475822
191.406250	-73.625786
192.382812	-74.637764
193.359375	-73.973999
194.335938	-75.987854
195.312500	-76.397758
196.289062	-73.801819
197.265625	-76.032143
198.242188	-75.735397
199.218750	-74.895874
200.195312	-77.639915
201.171875	-76.146164
202.148438	-74.637306
203.125000	-74.160446
204.101562	-75.942383
205.078125	-73.780289
206.054688	-74.325813
207.031250	-75.255066
208.007812	-74.104713
208.984375	-75.583336
209.960938	-77.747810
210.937500	-76.611702
211.914062	-77.069611
212.890625	-73.372337
213.867188	-76.715790
214.843750	-78.658501
215.820312	-77.573593
216.796875	-76.309494
217.773438	-78.054626
218.750000	-76.046768
219.726562	-79.179489
