Frequency (Hz)	Level (dB)
1.345825	-93.494621
2.691650	-93.486107
4.037476	-92.561638
5.383301	-92.635780
6.729126	-91.835876
8.074951	-92.071022
9.420776	-91.079185
10.766602	-89.473518
12.112427	-89.360939
13.458252	-89.145195
14.804077	-88.300056
16.149902	-87.977341
17.495728	-87.256828
18.841553	-86.783775
20.187378	-88.034248
21.533203	-86.290077
22.879028	-85.758446
24.224854	-85.070740
25.570679	-85.112228
26.916504	-85.209114
28.262329	-85.537468
29.608154	-84.096870
30.953979	-84.751640
32.299805	-84.680695
33.645630	-84.609077
34.991455	-84.159485
36.337280	-82.105667
37.683105	-83.153770
39.028931	-85.114853
40.374756	-83.880363
41.720581	-82.970619
43.066406	-82.732277
44.412231	-82.545456
45.758057	-81.828850
47.103882	-81.744431
48.449707	-81.413437
49.795532	-81.514618
51.141357	-80.763527
52.487183	-82.803848
53.833008	-81.355728
55.178833	-80.218964
56.524658	-79.694084
57.870483	-78.443489
59.216309	-78.544746
60.562134	-79.050049
61.907959	-79.212852
63.253784	-78.764542
64.599609	-80.820351
65.945435	-79.752686
67.291260	-81.325798
68.637085	-81.270248
69.982910	-79.211815
71.328735	-80.636261
72.674561	-79.518723
74.020386	-78.289017
75.366211	-77.529930
76.712036	-79.362137
78.057861	-78.624596
79.403687	-78.676064
80.749512	-78.477097
82.095337	-78.364227
83.441162	-76.212677
84.786987	-76.698372
86.132812	-78.209099
87.478638	-77.977333
88.824463	-77.242470
90.170288	-77.024490
91.516113	-74.875168
92.861938	-75.567444
94.207764	-78.566544
95.553589	-79.032440
96.899414	-79.865585
98.245239	-79.965942
99.591064	-79.961433
100.936890	-78.845695
102.282715	-79.143333
103.628540	-78.342178
104.974365	-80.244553
106.320190	-79.465240
107.666016	-77.437485
109.011841	-79.000923
110.357666	-79.144745
111.703491	-79.382492
113.049316	-78.927628
114.395142	-77.958725
115.740967	-78.451973
117.086792	-76.302444
118.432617	-66.516525
119.778442	-71.774834
121.124268	-77.445053
122.470093	-79.071533
123.815918	-78.565659
125.161743	-78.535965
126.507568	-78.904091
127.853394	-78.948372
129.199219	-78.544853
130.545044	-79.523972
131.890869	-78.394386
133.236694	-77.799683
134.582520	-79.009262
135.928345	-78.643326
137.274170	-78.406097
138.619995	-79.294220
139.965820	-78.394981
141.311646	-77.892746
142.657471	-78.382401
144.003296	-78.658669
145.349121	-78.126442
146.694946	-77.461205
148.040771	-78.533295
149.386597	-79.112015
150.732422	-77.100998
152.078247	-77.112350
153.424072	-78.122017
154.769897	-78.663277
156.115723	-78.141449
157.461548	-77.902534
158.807373	-78.344933
160.153198	-77.524719
161.499023	-78.536095
162.844849	-77.909798
164.190674	-76.960999
165.536499	-77.692368
166.882324	-78.194275
168.228149	-77.585350
169.573975	-76.817757
170.919800	-77.523346
172.265625	-76.730316
173.611450	-77.754158
174.957275	-77.364220
176.303101	-77.867210
177.648926	-76.064880
178.994751	-76.042130
180.340576	-76.982689
181.686401	-77.182327
183.032227	-75.949516
184.378052	-75.652603
185.723877	-76.018013
187.069702	-75.533356
188.415527	-76.401398
189.761353	-76.030663
191.107178	-76.047417
192.453003	-75.894081
193.798828	-74.724030
195.144653	-74.869621
196.490479	-74.846184
197.836304	-75.155876
199.182129	-74.728706
200.527954	-74.224007
201.873779	-74.049881
203.219604	-74.405769
204.565430	-73.765678
205.911255	-73.392982
207.257080	-74.141388
208.602905	-74.293259
209.948730	-73.501587
211.294556	-73.933273
212.640381	-73.669403
213.986206	-72.628609
215.332031	-72.286774
216.677856	-73.432472
218.023682	-72.760681
219.369507	-72.643669
220.715332	-71.403511
222.061157	-73.119720
223.406982	-70.674721
224.752808	-71.029503
226.098633	-70.627731
227.444458	-70.683441
228.790283	-69.788071
230.136108	-69.148232
231.481934	-69.778435
232.827759	-70.326965
234.173584	-68.472939
235.519409	-68.857063
236.865234	-69.279907
238.211060	-68.268951
239.556885	-68.317947
240.902710	-68.182045
242.248535	-67.457840
243.594360	-66.735420
244.940186	-66.528587
246.286011	-65.665039
247.631836	-65.142036
248.977661	-65.416946
250.323486	-65.930832
251.669312	-64.659782
253.015137	-64.357910
254.360962	-63.678589
255.706787	-62.820145
257.052612	-63.632401
258.398438	-63.649586
259.744263	-62.416477
261.090088	-61.787754
262.435913	-61.635708
263.781738	-61.573803
265.127563	-59.452549
266.473389	-61.509708
267.819214	-59.478775
269.165039	-59.517414
270.510864	-61.390366
271.856689	-60.904415
273.202515	-61.471821
274.548340	-61.582260
275.894165	-61.054241
277.239990	-61.044689
278.585815	-60.925350
279.931641	-62.575039
281.277466	-62.133831
282.623291	-63.809101
283.969116	-63.217777
285.314941	-63.681290
286.660767	-64.332901
288.006592	-64.948074
289.352417	-64.545532
290.698242	-65.635254
292.044067	-65.169006
293.389893	-65.094162
294.735718	-65.328178
296.081543	-66.818489
297.427368	-66.710640
298.773193	-66.453590
300.119019	-67.325096
301.464844	-68.858109
302.810669	-68.433395
304.156494	-67.836342
305.502319	-68.754456
306.848145	-69.494095
308.193970	-68.556519
309.539795	-69.179741
310.885620	-69.533379
312.231445	-70.393715
313.577271	-70.483551
314.923096	-70.927628
316.268921	-70.257675
317.614746	-70.724037
318.960571	-70.477669
320.306396	-70.649368
321.652222	-69.972748
322.998047	-70.695114
324.343872	-72.156746
325.689697	-72.411827
327.035522	-72.120705
328.381348	-73.201950
329.727173	-72.797310
331.072998	-71.954468
332.418823	-72.185646
333.764648	-72.226036
335.110474	-73.152336
336.456299	-72.175812
337.802124	-72.095657
339.147949	-72.785843
340.493774	-72.502235
341.839600	-73.524239
343.185425	-72.906082
344.531250	-72.884727
345.877075	-74.126846
347.222900	-73.179779
348.568726	-72.852745
349.914551	-72.700005
351.260376	-72.629997
352.606201	-72.522903
353.952026	-74.150040
355.297852	-73.075104
356.643677	-73.063881
357.989502	-74.091385
359.335327	-74.232117
360.681152	-73.557915
362.026978	-73.615746
363.372803	-74.342255
364.718628	-74.175591
366.064453	-73.918205
367.410278	-74.709358
368.756104	-73.639633
370.101929	-73.268578
371.447754	-74.725632
372.793579	-74.104027
374.139404	-74.811081
375.485229	-74.633217
376.831055	-74.989197
378.176880	-74.191589
379.522705	-73.555336
380.868530	-73.443230
382.214355	-73.548485
383.560181	-74.858551
384.906006	-75.659142
386.251831	-75.080246
387.597656	-74.787155
388.943481	-74.535789
390.289307	-74.944260
391.635132	-75.904503
392.980957	-74.649857
394.326782	-74.166298
395.672607	-75.105232
397.018433	-73.395554
398.364258	-74.286621
399.710083	-74.920288
401.055908	-73.853638
402.401733	-73.836853
403.747559	-74.247780
405.093384	-74.222694
406.439209	-74.674927
407.785034	-74.921036
409.130859	-74.105957
410.476685	-75.626328
411.822510	-74.437004
413.168335	-74.628777
414.514160	-75.582596
415.859985	-74.512489
417.205811	-74.207649
418.551636	-74.563683
419.897461	-74.901108
421.243286	-73.883614
422.589111	-73.855171
423.934937	-74.359398
425.280762	-74.582214
426.626587	-73.342056
427.972412	-74.516693
429.318237	-74.177994
430.664062	-73.448265
432.009888	-73.360336
433.355713	-73.321800
434.701538	-73.312630
436.047363	-73.660660
437.393188	-73.095291
438.739014	-72.905090
440.084839	-74.670357
441.430664	-73.384048
442.776489	-73.983688
444.122314	-73.420509
445.468140	-72.751343
446.813965	-72.823471
448.159790	-73.397415
449.505615	-73.382195
450.851440	-72.622246
452.197266	-72.986038
453.543091	-71.393539
454.888916	-72.081490
456.234741	-71.714668
457.580566	-72.379311
458.926392	-72.668648
460.272217	-71.859703
461.618042	-71.638153
462.963867	-72.290962
464.309692	-72.056938
465.655518	-72.157967
467.001343	-72.549026
468.347168	-72.402832
469.692993	-71.630539
471.038818	-72.365265
472.384644	-71.414993
473.730469	-70.549980
475.076294	-71.240356
476.422119	-70.808716
477.767944	-71.120491
479.113770	-71.078262
480.459595	-70.823898
481.805420	-71.667816
483.151245	-71.878647
484.497070	-69.447144
485.842896	-70.247147
487.188721	-69.960899
488.534546	-69.072556
489.880371	-69.999481
491.226196	-70.105484
492.572021	-70.217918
493.917847	-71.729500
495.263672	-69.654457
496.609497	-69.011093
497.955322	-70.617104
499.301147	-70.081230
500.646973	-68.890572
501.992798	-68.548309
503.338623	-69.629974
504.684448	-68.855263
506.030273	-67.714249
507.376099	-68.851059
508.721924	-67.356201
510.067749	-68.028107
511.413574	-67.891464
512.759399	-67.617607
514.105225	-66.753082
515.451050	-66.883049
516.796875	-66.039032
518.142700	-66.584755
519.488525	-66.781387
520.834351	-66.317413
522.180176	-65.611992
523.526001	-65.866135
524.871826	-65.356453
526.217651	-64.081482
527.563477	-63.766113
528.909302	-64.990463
530.255127	-63.681786
531.600952	-64.688568
532.946777	-64.213921
534.292603	-64.363518
535.638428	-64.171524
536.984253	-62.306614
538.330078	-62.088249
539.675903	-63.684242
541.021729	-62.913448
542.367554	-61.490757
543.713379	-62.776005
545.059204	-61.647377
546.405029	-60.876667
547.750854	-62.387066
549.096680	-62.251377
550.442505	-60.866199
551.788330	-61.388500
553.134155	-61.054676
554.479980	-60.965912
555.825806	-59.899612
557.171631	-60.088966
558.517456	-63.149254
559.863281	-62.263714
561.209106	-61.844666
562.554932	-62.291019
563.900757	-61.916046
565.246582	-63.087620
566.592407	-62.798149
567.938232	-62.389481
569.284058	-61.857834
570.629883	-63.408596
571.975708	-63.959362
573.321533	-62.816536
574.667358	-63.580338
576.013184	-64.464745
577.359009	-64.338081
578.704834	-66.086769
580.050659	-64.404305
581.396484	-64.906837
582.742310	-65.365479
584.088135	-66.422501
585.433960	-64.981560
586.779785	-65.249641
588.125610	-66.544411
589.471436	-67.499687
590.817261	-67.762405
592.163086	-67.321831
593.508911	-66.852989
594.854736	-65.824661
596.200562	-67.070389
597.546387	-68.588806
598.892212	-68.906052
600.238037	-68.188614
601.583862	-68.494942
602.929688	-66.662697
604.275513	-67.704903
605.621338	-68.264015
606.967163	-69.437920
608.312988	-68.514084
609.658813	-67.880356
611.004639	-68.807449
612.350464	-68.880844
613.696289	-69.072708
615.042114	-69.720619
616.387939	-69.193672
617.733765	-69.603973
619.079590	-68.671181
620.425415	-69.771584
621.771240	-69.450714
623.117065	-69.995338
624.462891	-70.631561
625.808716	-69.976540
627.154541	-69.243904
628.500366	-69.964546
629.846191	-70.038261
631.192017	-69.620117
632.537842	-69.648254
633.883667	-69.637024
635.229492	-69.524704
636.575317	-70.359406
637.921143	-69.979897
639.266968	-70.409691
640.612793	-70.513741
641.958618	-70.556107
643.304443	-70.060722
644.650269	-70.425735
645.996094	-70.557442
647.341919	-70.091042
648.687744	-70.311974
650.033569	-71.781288
651.379395	-70.437973
652.725220	-71.002968
654.071045	-71.411133
655.416870	-71.863762
656.762695	-70.907829
658.108521	-70.592514
659.454346	-71.165688
660.800171	-71.858498
662.145996	-71.137009
663.491821	-71.381691
664.837646	-72.565742
666.183472	-71.031609
667.529297	-71.034752
668.875122	-71.350151
670.220947	-71.475838
671.566772	-71.359505
672.912598	-71.947433
674.258423	-70.300186
675.604248	-70.375977
676.950073	-71.421402
678.295898	-71.518944
679.641724	-69.914124
680.987549	-71.187706
682.333374	-71.043236
683.679199	-70.606247
685.025024	-71.929382
686.370850	-71.753578
687.716675	-71.686722
689.062500	-72.378700
690.408325	-70.713577
691.754150	-70.520676
693.099976	-71.884895
694.445801	-72.007584
695.791626	-71.488129
697.137451	-71.079269
698.483276	-70.424263
699.829102	-70.291756
701.174927	-71.369652
702.520752	-71.381935
703.866577	-70.666794
705.212402	-71.105743
706.558228	-70.824463
707.904053	-70.937309
709.249878	-70.736145
710.595703	-70.510307
711.941528	-70.816475
713.287354	-71.871201
714.633179	-70.229935
715.979004	-71.134109
717.324829	-70.856323
718.670654	-71.123451
720.016479	-70.379303
721.362305	-70.553230
722.708130	-71.220360
724.053955	-71.198006
725.399780	-70.928734
726.745605	-70.756287
728.091431	-69.879318
729.437256	-69.534088
730.783081	-70.559677
732.128906	-69.366028
733.474731	-68.993065
734.820557	-68.972496
736.166382	-69.596207
737.512207	-69.516884
738.858032	-68.724838
740.203857	-69.362984
741.549683	-69.406441
742.895508	-68.328514
744.241333	-68.649559
745.587158	-68.972389
746.932983	-68.737885
748.278809	-67.818092
749.624634	-68.178764
750.970459	-67.574654
752.316284	-68.064926
753.662109	-68.313919
755.007935	-67.108215
756.353760	-67.471123
757.699585	-67.637894
759.045410	-66.114113
760.391235	-67.074234
761.737061	-66.660797
763.082886	-66.133713
764.428711	-65.710083
765.774536	-65.747398
767.120361	-64.677063
768.466187	-65.505997
769.812012	-65.425926
771.157837	-65.294701
772.503662	-65.562195
773.849487	-65.344284
775.195312	-65.291847
776.541138	-63.940491
777.886963	-63.941833
779.232788	-64.661644
780.578613	-64.606094
781.924438	-64.198822
783.270264	-62.958527
784.616089	-63.386311
785.961914	-62.990475
787.307739	-63.834557
788.653564	-63.019039
789.999390	-62.517570
791.345215	-63.472069
792.691040	-62.033115
794.036865	-62.315125
795.382690	-61.454758
796.728516	-62.165260
798.074341	-62.374805
799.420166	-61.744026
800.765991	-61.906967
802.111816	-61.462406
803.457642	-60.798763
804.803467	-62.395748
806.149292	-61.764847
807.495117	-61.738190
808.840942	-61.251919
810.186768	-61.404446
811.532593	-62.004986
812.878418	-61.601135
814.224243	-61.320694
815.570068	-61.346394
816.915894	-61.788792
818.261719	-61.701973
819.607544	-62.351128
820.953369	-62.186874
822.299194	-61.140022
823.645020	-61.737858
824.990845	-62.121124
826.336670	-61.358067
827.682495	-61.729176
829.028320	-62.318317
830.374146	-61.648712
831.719971	-62.588879
833.065796	-63.174809
834.411621	-62.469261
835.757446	-62.558914
837.103271	-61.536213
838.449097	-63.504787
839.794922	-62.380989
841.140747	-61.719021
842.486572	-63.232964
843.832397	-62.238197
845.178223	-63.184303
846.524048	-62.287174
847.869873	-62.486198
849.215698	-63.032196
850.561523	-62.526714
851.907349	-62.737370
853.253174	-63.540848
854.598999	-62.780453
855.944824	-63.119457
857.290649	-62.799358
858.636475	-63.948322
859.982300	-63.703014
861.328125	-63.277576
862.673950	-63.537018
864.019775	-64.136574
865.365601	-64.089340
866.711426	-65.029366
868.057251	-64.831772
869.403076	-64.934601
870.748901	-65.137947
872.094727	-64.416351
873.440552	-64.028427
874.786377	-65.642456
876.132202	-64.542709
877.478027	-64.494530
878.823853	-65.063118
880.169678	-64.902191
881.515503	-64.997597
882.861328	-65.718567
884.207153	-66.427559
885.552979	-65.815582
886.898804	-66.046555
888.244629	-65.993431
889.590454	-65.629486
890.936279	-66.469093
892.282104	-67.183945
893.627930	-66.081200
894.973755	-66.910912
896.319580	-67.048683
897.665405	-66.523880
899.011230	-65.585587
900.357056	-66.595871
901.702881	-66.286118
903.048706	-66.465988
904.394531	-67.947914
905.740356	-68.204575
907.086182	-67.529938
908.432007	-68.030151
909.777832	-67.831932
911.123657	-68.390442
912.469482	-67.587555
913.815308	-67.427673
915.161133	-67.761948
916.506958	-67.487968
917.852783	-68.301926
919.198608	-69.550583
920.544434	-69.286354
921.890259	-68.448662
923.236084	-69.169693
924.581909	-68.526787
925.927734	-67.981796
927.273560	-67.809364
928.619385	-68.460175
929.965210	-68.607346
931.311035	-69.941628
932.656860	-68.403061
934.002686	-68.967834
935.348511	-68.769547
936.694336	-69.516960
938.040161	-67.930748
939.385986	-67.509415
940.731812	-68.095169
942.077637	-67.966415
943.423462	-69.201988
944.769287	-68.525856
946.115112	-69.413368
947.460938	-69.311043
948.806763	-68.754532
950.152588	-68.206375
951.498413	-69.310997
952.844238	-69.648430
954.190063	-68.446053
955.535889	-68.434776
956.881714	-68.937775
958.227539	-70.013245
959.573364	-70.432648
960.919189	-68.807800
962.265015	-68.567856
963.610840	-69.556808
964.956665	-68.969063
966.302490	-68.381569
967.648315	-69.043236
968.994141	-68.250473
970.339966	-67.831390
971.685791	-68.794647
973.031616	-68.470306
974.377441	-68.481667
975.723267	-68.275925
977.069092	-68.308495
978.414917	-68.794128
979.760742	-68.102798
981.106567	-68.328957
982.452393	-67.876053
983.798218	-67.016464
985.144043	-68.614685
986.489868	-67.427284
987.835693	-68.070412
989.181519	-67.672539
990.527344	-68.175415
991.873169	-67.989517
993.218994	-68.428703
994.564819	-67.073761
995.910645	-67.334900
997.256470	-68.069672
998.602295	-67.250488
999.948120	-67.120979
1001.293945	-66.777855
1002.639771	-67.768105
1003.985596	-67.504974
1005.331421	-68.215981
1006.677246	-66.986618
1008.023071	-66.649147
1009.368896	-67.184189
1010.714722	-67.578331
1012.060547	-65.993263
1013.406372	-67.108444
1014.752197	-66.608856
1016.098022	-67.015862
1017.443848	-66.278168
1018.789673	-66.391327
1020.135498	-66.481674
1021.481323	-67.115356
1022.827148	-66.226761
1024.172974	-65.374146
1025.518799	-66.534431
1026.864624	-65.558830
1028.210449	-65.939064
1029.556274	-66.054909
1030.902100	-65.816200
1032.247925	-66.586464
1033.593750	-66.167076
1034.939575	-65.686424
1036.285400	-65.391205
1037.631226	-66.191643
1038.977051	-66.632378
1040.322876	-65.184235
1041.668701	-65.239845
1043.014526	-66.442215
1044.360352	-65.837883
1045.706177	-65.626602
1047.052002	-64.922066
1048.397827	-64.756065
1049.743652	-65.082916
1051.089478	-64.952499
1052.435303	-64.785515
1053.781128	-64.431046
1055.126953	-65.069649
1056.472778	-64.856995
1057.818604	-64.823265
1059.164429	-63.439507
1060.510254	-64.301521
1061.856079	-64.121758
1063.201904	-64.002747
1064.547729	-65.012894
1065.893555	-64.759705
1067.239380	-64.521034
1068.585205	-63.437408
1069.931030	-63.710739
1071.276855	-64.051071
1072.622681	-63.925079
1073.968506	-64.002075
1075.314331	-64.629143
1076.660156	-65.638023
1078.005981	-64.699142
1079.351807	-63.103268
1080.697632	-63.306759
1082.043457	-63.437305
1083.389282	-63.059544
1084.735107	-63.043858
1086.080933	-62.534588
1087.426758	-63.917187
1088.772583	-63.680729
1090.118408	-64.145683
1091.464233	-62.917408
1092.810059	-62.795303
1094.155884	-63.265202
1095.501709	-63.668797
1096.847534	-63.480911
1098.193359	-63.283161
1099.539185	-63.327061
1100.885010	-62.036995
1102.230835	-62.456455
1103.576660	-63.593575
1104.922485	-63.762272
1106.268311	-63.118210
1107.614136	-63.167915
1108.959961	-64.416389
1110.305786	-63.700298
1111.651611	-63.923637
1112.997437	-63.171108
1114.343262	-63.000683
1115.689087	-62.618408
1117.034912	-63.733635
1118.380737	-64.539948
1119.726562	-64.607216
1121.072388	-63.428177
1122.418213	-63.741703
1123.764038	-63.719547
1125.109863	-63.146782
1126.455688	-64.035683
1127.801514	-62.629940
1129.147339	-63.030827
1130.493164	-63.543701
1131.838989	-63.634121
1133.184814	-63.119846
1134.530640	-63.016518
1135.876465	-62.912998
1137.222290	-63.619518
1138.568115	-63.764648
1139.913940	-62.164997
1141.259766	-64.136490
1142.605591	-64.479813
1143.951416	-63.703213
1145.297241	-63.578087
1146.643066	-63.242157
1147.988892	-63.240768
1149.334717	-63.864723
1150.680542	-63.629349
1152.026367	-63.680473
1153.372192	-63.778343
1154.718018	-64.323112
1156.063843	-63.750755
1157.409668	-63.457531
1158.755493	-63.659592
1160.101318	-63.624622
1161.447144	-63.404594
1162.792969	-64.026070
1164.138794	-63.145397
1165.484619	-64.304565
1166.830444	-64.216492
1168.176270	-63.660038
1169.522095	-63.341480
1170.867920	-63.534519
1172.213745	-64.168625
1173.559570	-64.496620
1174.905396	-64.690018
1176.251221	-64.121696
1177.597046	-64.523293
1178.942871	-64.600784
1180.288696	-64.176971
1181.634521	-64.130203
1182.980347	-64.503593
1184.326172	-64.291084
1185.671997	-63.989117
1187.017822	-65.552078
1188.363647	-64.530411
1189.709473	-65.039307
1191.055298	-63.993984
1192.401123	-64.730629
1193.746948	-64.377197
1195.092773	-65.149025
1196.438599	-65.061211
1197.784424	-64.669846
1199.130249	-64.085785
1200.476074	-64.529106
1201.821899	-64.103630
1203.167725	-65.114281
1204.513550	-64.904427
1205.859375	-65.884758
1207.205200	-64.717445
1208.551025	-64.996040
1209.896851	-65.350365
1211.242676	-65.176674
1212.588501	-64.816292
1213.934326	-64.982697
1215.280151	-63.817825
1216.625977	-65.476364
1217.971802	-64.857185
1219.317627	-64.685150
1220.663452	-64.390381
1222.009277	-64.928223
1223.355103	-65.208801
1224.700928	-64.807304
1226.046753	-63.728992
1227.392578	-65.650261
1228.738403	-65.328949
1230.084229	-65.274887
1231.430054	-65.640076
1232.775879	-65.631950
1234.121704	-65.573746
1235.467529	-65.083923
1236.813354	-65.100731
1238.159180	-65.499573
1239.505005	-65.431404
1240.850830	-63.859192
1242.196655	-64.236656
1243.542480	-64.500015
1244.888306	-65.384079
1246.234131	-64.900703
1247.579956	-64.364540
1248.925781	-64.493790
1250.271606	-64.930878
1251.617432	-65.702087
1252.963257	-64.969849
1254.309082	-64.594421
1255.654907	-64.545738
1257.000732	-63.860935
1258.346558	-65.364334
1259.692383	-64.756958
1261.038208	-65.534637
1262.384033	-65.978737
1263.729858	-64.418526
1265.075684	-64.442963
1266.421509	-65.410576
1267.767334	-65.210030
1269.113159	-64.131752
1270.458984	-64.827690
1271.804810	-66.218781
1273.150635	-64.358467
1274.496460	-64.541954
1275.842285	-64.666939
1277.188110	-63.625031
1278.533936	-65.397507
1279.879761	-65.291290
1281.225586	-64.413177
1282.571411	-64.361160
1283.917236	-64.516731
1285.263062	-64.144112
1286.608887	-65.616791
1287.954712	-65.309906
1289.300537	-63.951447
1290.646362	-64.263893
1291.992188	-65.065102
1293.338013	-64.692612
1294.683838	-64.564980
1296.029663	-64.349403
1297.375488	-64.351929
1298.721313	-64.319649
1300.067139	-64.650093
1301.412964	-64.947014
1302.758789	-63.848579
1304.104614	-64.208290
1305.450439	-63.818756
1306.796265	-64.054504
1308.142090	-63.414570
1309.487915	-63.489090
1310.833740	-64.710587
1312.179565	-64.473114
1313.525391	-63.088295
1314.871216	-64.493614
1316.217041	-63.614693
1317.562866	-63.425400
1318.908691	-62.966396
1320.254517	-64.201981
1321.600342	-63.352261
1322.946167	-64.831581
1324.291992	-64.351418
1325.637817	-64.161125
1326.983643	-63.044907
1328.329468	-63.167191
1329.675293	-63.531075
1331.021118	-63.676834
1332.366943	-63.506989
1333.712769	-63.813530
1335.058594	-62.922787
1336.404419	-63.016850
1337.750244	-62.304550
1339.096069	-62.456936
1340.441895	-62.261856
1341.787720	-61.425060
1343.133545	-61.526760
1344.479370	-62.511631
1345.825195	-62.448692
1347.171021	-61.955315
1348.516846	-62.196667
1349.862671	-61.433620
1351.208496	-61.182575
1352.554321	-61.708027
1353.900146	-62.249607
1355.245972	-60.786121
1356.591797	-61.590767
1357.937622	-61.515564
1359.283447	-60.993164
1360.629272	-59.460415
1361.975098	-60.203354
1363.320923	-62.446220
1364.666748	-60.966530
1366.012573	-60.126949
1367.358398	-59.197990
1368.704224	-59.281303
1370.050049	-59.817173
1371.395874	-59.399487
1372.741699	-59.551418
1374.087524	-60.589401
1375.433350	-59.685417
1376.779175	-58.820297
1378.125000	-58.596153
1379.470825	-57.101715
1380.816650	-57.803513
1382.162476	-56.821751
1383.508301	-57.951462
1384.854126	-57.254265
1386.199951	-55.827782
1387.545776	-56.442318
1388.891602	-56.485924
1390.237427	-56.808968
1391.583252	-55.685696
1392.929077	-56.097057
1394.274902	-55.295418
1395.620728	-55.818737
1396.966553	-55.438286
1398.312378	-54.480705
1399.658203	-54.102966
1401.004028	-53.538109
1402.349854	-53.205536
1403.695679	-53.117355
1405.041504	-53.018360
1406.387329	-53.342476
1407.733154	-53.011299
1409.078979	-52.900513
1410.424805	-52.562443
1411.770630	-53.051777
1413.116455	-51.338654
1414.462280	-52.088947
1415.808105	-50.754761
1417.153931	-52.074566
1418.499756	-50.984661
1419.845581	-51.702274
1421.191406	-51.599846
1422.537231	-51.325638
1423.883057	-51.612129
1425.228882	-51.545036
1426.574707	-51.551975
1427.920532	-50.009895
1429.266357	-51.759869
1430.612183	-53.432236
1431.958008	-52.121483
1433.303833	-53.562057
1434.649658	-52.651009
1435.995483	-52.528408
1437.341309	-52.950489
1438.687134	-53.115055
1440.032959	-52.913441
1441.378784	-52.009357
1442.724609	-53.046024
1444.070435	-53.613815
1445.416260	-54.391209
1446.762085	-55.014782
1448.107910	-54.103554
1449.453735	-54.127983
1450.799561	-55.770473
1452.145386	-56.182262
1453.491211	-55.503735
1454.837036	-54.923252
1456.182861	-55.839443
1457.528687	-56.998917
