Frequency (Hz)	Level (dB)
1.345825	-91.523689
2.691650	-91.430809
4.037476	-90.471527
5.383301	-90.535812
6.729126	-90.049866
8.074951	-89.749619
9.420776	-88.624779
10.766602	-87.373581
12.112427	-87.727440
13.458252	-87.289726
14.804077	-87.395546
16.149902	-85.845665
17.495728	-86.391670
18.841553	-86.654335
20.187378	-86.541405
21.533203	-85.402985
22.879028	-83.805931
24.224854	-84.663132
25.570679	-84.938545
26.916504	-84.144142
28.262329	-82.901337
29.608154	-83.420631
30.953979	-83.364349
32.299805	-83.397675
33.645630	-82.259010
34.991455	-81.373894
36.337280	-81.727104
37.683105	-81.310669
39.028931	-82.455666
40.374756	-81.067383
41.720581	-81.093674
43.066406	-80.960449
44.412231	-81.427498
45.758057	-80.618385
47.103882	-79.847656
48.449707	-79.107918
49.795532	-78.952911
51.141357	-78.946320
52.487183	-79.629662
53.833008	-80.133110
55.178833	-79.266983
56.524658	-78.873962
57.870483	-77.900307
59.216309	-77.406609
60.562134	-78.540443
61.907959	-77.491425
63.253784	-77.080223
64.599609	-79.231895
65.945435	-78.804451
67.291260	-79.710327
68.637085	-79.214394
69.982910	-78.262421
71.328735	-79.216156
72.674561	-78.173210
74.020386	-77.118309
75.366211	-76.356178
76.712036	-77.370110
78.057861	-76.734322
79.403687	-76.358025
80.749512	-75.805756
82.095337	-75.481171
83.441162	-74.314102
84.786987	-73.927559
86.132812	-75.286926
87.478638	-75.655937
88.824463	-74.164574
90.170288	-75.384979
91.516113	-71.785759
92.861938	-72.518921
94.207764	-75.507744
95.553589	-77.545990
96.899414	-77.920113
98.245239	-78.359901
99.591064	-78.366982
100.936890	-77.389015
102.282715	-77.044434
103.628540	-76.909241
104.974365	-77.792953
106.320190	-76.576096
107.666016	-75.889175
109.011841	-77.458504
110.357666	-77.621849
111.703491	-76.862389
113.049316	-76.832970
114.395142	-76.511429
115.740967	-76.004318
117.086792	-74.307739
118.432617	-63.581837
119.778442	-69.157799
121.124268	-74.195953
122.470093	-76.446152
123.815918	-75.955696
125.161743	-76.501648
126.507568	-76.582581
127.853394	-77.164261
129.199219	-76.095543
130.545044	-77.468697
131.890869	-75.962517
133.236694	-75.644394
134.582520	-77.163658
135.928345	-76.519264
137.274170	-75.844223
138.619995	-76.552071
139.965820	-75.845421
141.311646	-75.091156
142.657471	-75.768486
144.003296	-76.791916
145.349121	-76.184753
146.694946	-75.564194
148.040771	-76.185471
149.386597	-76.426239
150.732422	-74.463989
152.078247	-74.880829
153.424072	-75.594635
154.769897	-76.287170
156.115723	-75.507240
157.461548	-75.515541
158.807373	-75.902763
160.153198	-75.218834
161.499023	-75.770287
162.844849	-75.341171
164.190674	-73.962044
165.536499	-75.017746
166.882324	-75.372589
168.228149	-74.790657
169.573975	-74.020279
170.919800	-74.612549
172.265625	-74.177483
173.611450	-74.992172
174.957275	-74.411057
176.303101	-74.744659
177.648926	-73.065094
178.994751	-72.962601
180.340576	-73.619820
181.686401	-73.733200
183.032227	-72.620514
184.378052	-72.345840
185.723877	-72.870369
187.069702	-72.224846
188.415527	-72.891945
189.761353	-72.491486
191.107178	-72.603210
192.453003	-72.216026
193.798828	-71.341965
195.144653	-71.083862
196.490479	-71.351730
197.836304	-71.443695
199.182129	-70.594795
200.527954	-70.451889
201.873779	-70.193504
203.219604	-70.652695
204.565430	-69.347527
205.911255	-69.189827
207.257080	-69.629593
208.602905	-70.159157
209.948730	-69.259117
211.294556	-69.304642
212.640381	-69.062477
213.986206	-67.927193
215.332031	-67.467606
216.677856	-68.362587
218.023682	-67.726952
219.369507	-67.527344
220.715332	-66.171379
222.061157	-67.535873
223.406982	-65.260353
224.752808	-65.652779
226.098633	-64.906113
227.444458	-64.770813
228.790283	-63.415150
230.136108	-62.971947
231.481934	-63.329273
232.827759	-64.024117
234.173584	-61.990364
235.519409	-62.201279
236.865234	-62.624943
238.211060	-61.556095
239.556885	-61.371468
240.902710	-61.229996
242.248535	-60.585659
243.594360	-59.558990
244.940186	-59.575310
246.286011	-59.279396
247.631836	-59.055782
248.977661	-59.219284
250.323486	-60.549248
251.669312	-59.764542
253.015137	-59.946060
254.360962	-59.896065
255.706787	-59.900749
257.052612	-61.173313
258.398438	-62.234451
259.744263	-61.644299
261.090088	-62.016476
262.435913	-62.478645
263.781738	-63.234570
265.127563	-61.609127
266.473389	-64.123413
267.819214	-62.807663
269.165039	-63.061428
270.510864	-65.207512
271.856689	-65.003479
273.202515	-65.733650
274.548340	-65.918190
275.894165	-65.612038
277.239990	-65.449928
278.585815	-65.207176
279.931641	-66.643188
281.277466	-66.078995
282.623291	-67.574837
283.969116	-67.105583
285.314941	-67.412926
286.660767	-67.717979
288.006592	-68.178368
289.352417	-67.710449
290.698242	-68.577873
292.044067	-68.331787
293.389893	-67.959091
294.735718	-67.883026
296.081543	-69.241409
297.427368	-69.149467
298.773193	-68.778450
300.119019	-69.518982
301.464844	-70.793411
302.810669	-70.501587
304.156494	-69.876381
305.502319	-70.621681
306.848145	-71.201538
308.193970	-70.056564
309.539795	-70.665543
310.885620	-70.971092
312.231445	-71.705666
313.577271	-71.667343
314.923096	-71.992752
316.268921	-71.143890
317.614746	-71.638344
318.960571	-71.489929
320.306396	-71.634300
321.652222	-70.756798
322.998047	-71.501572
324.343872	-72.795944
325.689697	-72.747139
327.035522	-72.473900
328.381348	-73.745461
329.727173	-73.065643
331.072998	-72.461487
332.418823	-72.288704
333.764648	-72.149742
335.110474	-73.211380
336.456299	-72.005814
337.802124	-72.066856
339.147949	-72.513229
340.493774	-72.311584
341.839600	-73.007980
343.185425	-72.815994
344.531250	-72.355507
345.877075	-73.664848
347.222900	-72.581940
348.568726	-72.201477
349.914551	-72.146103
351.260376	-71.739655
352.606201	-71.939369
353.952026	-73.123940
355.297852	-72.287231
356.643677	-72.327522
357.989502	-73.218529
359.335327	-73.412842
360.681152	-72.441765
362.026978	-72.424919
363.372803	-73.168022
364.718628	-73.135300
366.064453	-72.754852
367.410278	-73.415298
368.756104	-72.430550
370.101929	-72.032944
371.447754	-73.413460
372.793579	-72.504761
374.139404	-73.225235
375.485229	-72.877869
376.831055	-73.403625
378.176880	-72.686211
379.522705	-72.098976
380.868530	-71.819992
382.214355	-71.886505
383.560181	-72.926491
384.906006	-73.864655
386.251831	-73.088844
387.597656	-72.751755
388.943481	-72.576874
390.289307	-72.657158
391.635132	-73.782959
392.980957	-72.455040
394.326782	-72.138168
395.672607	-73.028587
397.018433	-71.402275
398.364258	-72.224030
399.710083	-72.348427
401.055908	-71.604439
402.401733	-71.412819
403.747559	-71.804176
405.093384	-71.570824
406.439209	-71.978752
407.785034	-72.075882
409.130859	-71.527092
410.476685	-72.901947
411.822510	-71.775597
413.168335	-71.830276
414.514160	-73.036629
415.859985	-71.801010
417.205811	-71.115387
418.551636	-71.712135
419.897461	-71.729996
421.243286	-70.994118
422.589111	-70.590523
423.934937	-71.271729
425.280762	-71.537369
426.626587	-70.220421
427.972412	-71.421394
429.318237	-71.123856
430.664062	-70.120720
432.009888	-70.130432
433.355713	-69.843697
434.701538	-70.030113
436.047363	-70.134811
437.393188	-69.761200
438.739014	-69.159256
440.084839	-71.107788
441.430664	-69.825516
442.776489	-70.329414
444.122314	-69.681778
445.468140	-68.808273
446.813965	-68.906914
448.159790	-69.512222
449.505615	-69.361786
450.851440	-68.613121
452.197266	-68.947189
453.543091	-67.158142
454.888916	-67.935951
456.234741	-67.565231
457.580566	-68.006470
458.926392	-68.266930
460.272217	-67.480347
461.618042	-67.153664
462.963867	-67.390228
464.309692	-67.465553
465.655518	-67.303177
467.001343	-67.520966
468.347168	-67.424614
469.692993	-66.423157
471.038818	-67.560303
472.384644	-66.142212
