Frequency (Hz)	Level (dB)
1.345825	-87.263367
2.691650	-87.331520
4.037476	-87.086586
5.383301	-87.227760
6.729126	-86.877487
8.074951	-86.662010
9.420776	-86.836807
10.766602	-85.161964
12.112427	-85.728180
13.458252	-84.960030
14.804077	-85.794479
16.149902	-86.635880
17.495728	-85.651718
18.841553	-85.848686
20.187378	-85.128456
21.533203	-84.833473
22.879028	-84.849937
24.224854	-85.168144
25.570679	-84.351326
26.916504	-84.639229
28.262329	-83.621803
29.608154	-83.084846
30.953979	-84.794312
32.299805	-84.708763
33.645630	-84.261436
34.991455	-84.199402
36.337280	-83.959412
37.683105	-83.504410
39.028931	-84.101501
40.374756	-83.504471
41.720581	-83.574158
43.066406	-83.843224
44.412231	-83.437592
45.758057	-82.885994
47.103882	-82.489281
48.449707	-82.423851
49.795532	-82.418053
51.141357	-82.663712
52.487183	-82.434586
53.833008	-81.825417
55.178833	-81.226700
56.524658	-81.353615
57.870483	-80.093628
59.216309	-75.244293
60.562134	-78.407875
61.907959	-77.757278
63.253784	-77.137840
64.599609	-80.956497
65.945435	-79.564400
67.291260	-78.943031
68.637085	-79.137009
69.982910	-77.730911
71.328735	-76.669281
72.674561	-74.986923
74.020386	-73.356873
75.366211	-72.731224
76.712036	-70.846451
78.057861	-71.054596
79.403687	-71.692650
80.749512	-67.571533
82.095337	-68.548820
83.441162	-63.661736
84.786987	-63.862209
86.132812	-66.510033
87.478638	-68.040672
88.824463	-62.464657
90.170288	-65.757904
91.516113	-59.967659
92.861938	-61.495499
94.207764	-65.027161
95.553589	-70.524467
96.899414	-72.849144
98.245239	-73.017479
99.591064	-73.126305
100.936890	-72.397598
102.282715	-71.829773
103.628540	-70.075371
104.974365	-70.389236
106.320190	-68.684456
107.666016	-67.403763
109.011841	-66.833405
110.357666	-65.753166
111.703491	-65.597061
113.049316	-65.423317
114.395142	-62.266212
115.740967	-60.426350
117.086792	-55.736767
118.432617	-42.624950
119.778442	-50.233913
121.124268	-56.814739
122.470093	-60.171440
123.815918	-58.500011
125.161743	-58.749878
126.507568	-61.416340
127.853394	-61.497738
129.199219	-61.447742
130.545044	-63.377930
131.890869	-63.619816
133.236694	-63.769634
134.582520	-65.988647
135.928345	-66.985252
137.274170	-67.091980
138.619995	-68.115067
139.965820	-68.602928
141.311646	-69.159660
142.657471	-69.831367
144.003296	-70.761276
145.349121	-70.659477
146.694946	-71.262978
148.040771	-72.506760
149.386597	-73.085915
150.732422	-72.123703
152.078247	-72.321495
153.424072	-73.366920
154.769897	-73.668068
156.115723	-74.043396
157.461548	-73.880920
158.807373	-74.567566
160.153198	-74.430511
161.499023	-75.311554
162.844849	-75.626640
164.190674	-74.695648
165.536499	-75.447006
166.882324	-75.675255
168.228149	-75.957329
169.573975	-75.848785
170.919800	-76.396889
172.265625	-76.379349
173.611450	-77.389755
174.957275	-77.145782
176.303101	-76.612129
177.648926	-76.593414
178.994751	-76.330200
180.340576	-76.930191
181.686401	-77.526062
183.032227	-76.728271
184.378052	-76.316185
185.723877	-76.738716
