Frequency (Hz)	Level (dB)
1.345825	-46.895180
2.691650	-46.489784
4.037476	-46.779816
5.383301	-47.598923
6.729126	-47.127571
8.074951	-47.071690
9.420776	-46.231037
10.766602	-46.785812
12.112427	-46.670322
13.458252	-47.725742
14.804077	-47.760941
16.149902	-48.063416
17.495728	-46.714703
18.841553	-46.906624
20.187378	-47.536659
21.533203	-46.726925
22.879028	-46.260220
24.224854	-46.971851
25.570679	-47.755337
26.916504	-46.589012
28.262329	-47.189297
29.608154	-47.419395
30.953979	-46.137566
32.299805	-47.260326
33.645630	-46.173717
34.991455	-47.418472
36.337280	-46.304455
37.683105	-46.011395
39.028931	-48.093315
40.374756	-46.972210
41.720581	-46.652969
43.066406	-46.612297
44.412231	-48.260571
45.758057	-46.956123
47.103882	-47.561321
48.449707	-46.621365
49.795532	-46.479973
51.141357	-46.570522
52.487183	-48.685448
53.833008	-47.733288
55.178833	-47.000374
56.524658	-47.634052
57.870483	-47.006931
59.216309	-46.048409
60.562134	-47.687157
61.907959	-46.454082
63.253784	-46.515537
64.599609	-46.855236
65.945435	-46.760284
67.291260	-47.685925
68.637085	-47.795292
69.982910	-46.523193
71.328735	-47.945732
72.674561	-47.207008
74.020386	-46.789341
75.366211	-46.806850
76.712036	-47.714859
78.057861	-46.603073
79.403687	-46.502449
80.749512	-47.138851
82.095337	-46.560585
83.441162	-47.259312
84.786987	-48.059685
86.132812	-48.002132
87.478638	-46.642387
88.824463	-47.389549
90.170288	-47.419090
91.516113	-46.449623
92.861938	-46.989464
94.207764	-47.751736
95.553589	-46.590088
96.899414	-47.581917
98.245239	-47.697605
99.591064	-47.878361
100.936890	-46.427654
102.282715	-46.385326
103.628540	-46.293179
104.974365	-47.818794
106.320190	-46.564381
107.666016	-45.322285
109.011841	-47.406940
110.357666	-47.542561
111.703491	-47.564663
113.049316	-46.765255
114.395142	-46.686768
115.740967	-46.678528
117.086792	-47.343338
118.432617	-47.467636
119.778442	-46.484196
121.124268	-46.617409
122.470093	-47.595074
123.815918	-47.511223
125.161743	-47.252102
126.507568	-46.551022
127.853394	-46.841091
129.199219	-46.322075
130.545044	-47.747074
131.890869	-46.515121
133.236694	-45.774952
134.582520	-47.206005
135.928345	-46.505402
137.274170	-46.237804
138.619995	-46.799938
139.965820	-46.249393
141.311646	-45.604481
142.657471	-46.307167
144.003296	-47.581856
145.349121	-46.597744
146.694946	-46.044750
148.040771	-47.207211
149.386597	-47.168491
150.732422	-45.367317
152.078247	-45.567032
153.424072	-46.938076
154.769897	-47.538448
156.115723	-46.929031
157.461548	-46.875156
158.807373	-47.218533
160.153198	-46.672974
161.499023	-47.083611
162.844849	-47.148830
164.190674	-45.990875
165.536499	-46.989162
166.882324	-47.707291
168.228149	-47.146446
169.573975	-46.397003
170.919800	-46.899300
172.265625	-46.628262
173.611450	-47.699821
174.957275	-47.517143
176.303101	-47.747814
177.648926	-46.152412
178.994751	-46.341072
180.340576	-47.347366
181.686401	-47.125866
183.032227	-46.514553
184.378052	-46.418636
185.723877	-46.987801
187.069702	-46.304195
188.415527	-47.228458
189.761353	-47.069447
191.107178	-47.356651
192.453003	-47.154259
193.798828	-46.476864
195.144653	-46.403233
196.490479	-46.858032
197.836304	-47.172604
199.182129	-46.880726
200.527954	-46.410522
201.873779	-46.516285
203.219604	-47.153893
204.565430	-46.283653
205.911255	-46.302166
207.257080	-47.295834
208.602905	-48.010784
209.948730	-47.091404
211.294556	-47.552681
212.640381	-47.486355
213.986206	-46.730106
215.332031	-46.600014
216.677856	-47.707378
218.023682	-47.410992
219.369507	-47.577282
220.715332	-46.453167
222.061157	-48.449600
223.406982	-46.193794
224.752808	-47.120964
226.098633	-46.732323
227.444458	-47.148033
228.790283	-46.380196
230.136108	-46.020817
231.481934	-46.883930
232.827759	-47.775356
234.173584	-46.400658
235.519409	-47.245754
236.865234	-47.940220
238.211060	-47.242161
239.556885	-47.431995
240.902710	-47.721001
242.248535	-47.300488
243.594360	-46.763218
244.940186	-47.000458
246.286011	-46.787865
247.631836	-46.617256
248.977661	-47.108150
250.323486	-48.315086
251.669312	-47.476372
253.015137	-47.456898
254.360962	-47.030239
255.706787	-46.564735
257.052612	-47.880226
258.398438	-48.232044
259.744263	-47.677101
261.090088	-47.709881
262.435913	-47.383560
