Frequency (Hz)	Level (dB)
1.345825	-89.737282
2.691650	-89.545036
4.037476	-88.762306
5.383301	-89.094704
6.729126	-88.349777
8.074951	-88.371414
9.420776	-86.943420
10.766602	-84.286880
12.112427	-83.007774
13.458252	-83.312912
14.804077	-82.521935
16.149902	-80.671059
17.495728	-79.564240
18.841553	-77.662888
20.187378	-79.643631
21.533203	-77.486084
22.879028	-74.639099
24.224854	-76.548897
25.570679	-75.771584
26.916504	-75.139038
28.262329	-73.812668
29.608154	-72.472786
30.953979	-74.404518
32.299805	-74.633545
33.645630	-73.412834
34.991455	-74.573700
36.337280	-73.731377
37.683105	-73.314384
39.028931	-73.816360
40.374756	-71.958054
41.720581	-70.591934
43.066406	-72.976730
44.412231	-70.864746
45.758057	-71.212364
47.103882	-71.501541
48.449707	-70.183243
49.795532	-67.939980
51.141357	-67.497162
52.487183	-67.943924
53.833008	-66.632980
55.178833	-67.284828
56.524658	-65.268616
57.870483	-65.095215
59.216309	-63.923988
60.562134	-64.366203
61.907959	-64.712852
63.253784	-65.062813
64.599609	-68.164253
65.945435	-68.554291
67.291260	-69.493324
68.637085	-68.223892
69.982910	-69.061211
71.328735	-67.927010
72.674561	-66.970337
74.020386	-65.103157
75.366211	-64.376442
76.712036	-65.246529
78.057861	-67.015984
79.403687	-67.334587
80.749512	-67.554756
82.095337	-66.459991
83.441162	-65.692535
84.786987	-64.840820
86.132812	-65.394867
87.478638	-65.156258
88.824463	-65.275551
90.170288	-64.514946
91.516113	-64.717529
92.861938	-60.196274
94.207764	-61.462143
95.553589	-66.458046
96.899414	-67.864273
98.245239	-68.621284
99.591064	-68.178856
100.936890	-68.604172
102.282715	-68.592804
103.628540	-67.305573
104.974365	-66.136215
106.320190	-66.981667
107.666016	-67.766670
109.011841	-68.657654
110.357666	-69.441315
111.703491	-67.469040
113.049316	-67.138367
114.395142	-62.751514
115.740967	-68.911461
117.086792	-71.064713
118.432617	-67.385178
119.778442	-67.948914
121.124268	-70.594452
122.470093	-70.377319
123.815918	-71.628899
125.161743	-71.749863
126.507568	-70.659500
127.853394	-72.427010
129.199219	-71.479904
130.545044	-71.383537
131.890869	-70.936432
133.236694	-72.303696
134.582520	-72.972420
135.928345	-72.836800
137.274170	-72.834961
138.619995	-73.867477
139.965820	-73.126030
141.311646	-72.522133
142.657471	-72.653625
144.003296	-72.915237
145.349121	-71.346764
146.694946	-70.471931
148.040771	-72.099258
149.386597	-71.428635
150.732422	-71.087494
152.078247	-70.128922
153.424072	-71.903809
154.769897	-71.556168
156.115723	-70.750908
157.461548	-70.193329
158.807373	-70.900513
160.153198	-71.924675
161.499023	-72.379532
162.844849	-72.941711
164.190674	-71.314026
165.536499	-72.401833
166.882324	-72.438522
168.228149	-73.887436
169.573975	-71.519157
170.919800	-72.877548
172.265625	-74.159477
173.611450	-74.340874
174.957275	-73.799561
176.303101	-72.558418
177.648926	-72.222649
178.994751	-72.774231
180.340576	-73.771004
181.686401	-73.498962
183.032227	-74.487633
184.378052	-74.149353
185.723877	-74.330162
187.069702	-73.576019
188.415527	-75.295105
189.761353	-74.032661
191.107178	-74.634766
192.453003	-74.462654
193.798828	-75.515686
195.144653	-75.474152
196.490479	-75.200180
197.836304	-75.803009
199.182129	-74.446976
200.527954	-75.193314
201.873779	-75.470451
203.219604	-74.985733
204.565430	-74.821312
205.911255	-75.316376
207.257080	-75.360313
208.602905	-74.698296
209.948730	-75.407211
211.294556	-76.257217
212.640381	-75.179863
213.986206	-75.521599
215.332031	-75.585197
216.677856	-76.501335
218.023682	-76.299629
219.369507	-76.814133
220.715332	-75.530060
222.061157	-77.521751
223.406982	-75.634789
224.752808	-76.655502
226.098633	-76.212250
227.444458	-75.821480
228.790283	-75.700134
230.136108	-75.126266
231.481934	-75.938858
232.827759	-76.691772
234.173584	-75.341255
235.519409	-75.270912
236.865234	-74.777512
238.211060	-74.688759
239.556885	-75.002449
240.902710	-76.647575
242.248535	-76.478790
243.594360	-75.850029
244.940186	-75.975929
246.286011	-75.138100
247.631836	-75.684929
248.977661	-76.600166
250.323486	-76.696304
251.669312	-75.988289
253.015137	-75.579170
254.360962	-76.373932
255.706787	-76.445335
257.052612	-76.097610
258.398438	-76.710709
259.744263	-76.405563
261.090088	-76.077423
262.435913	-77.019844
263.781738	-76.823181
265.127563	-75.564110
266.473389	-76.771637
267.819214	-75.189949
269.165039	-75.907890
270.510864	-77.365944
271.856689	-76.761139
273.202515	-75.984116
274.548340	-76.654121
275.894165	-76.177612
277.239990	-76.397301
278.585815	-75.060791
279.931641	-76.825272
281.277466	-75.537163
282.623291	-72.379723
283.969116	-75.233681
285.314941	-76.729134
286.660767	-76.451218
288.006592	-76.491547
289.352417	-75.953423
290.698242	-76.418892
292.044067	-76.331039
293.389893	-75.432487
294.735718	-75.059135
296.081543	-76.030922
297.427368	-76.618095
298.773193	-75.192390
300.119019	-76.216362
301.464844	-77.031677
302.810669	-76.007477
304.156494	-76.475319
305.502319	-76.490791
306.848145	-76.437134
308.193970	-74.944847
309.539795	-76.184814
310.885620	-76.396370
312.231445	-76.984276
313.577271	-76.285347
314.923096	-76.980743
316.268921	-76.693710
317.614746	-76.536476
318.960571	-76.066170
320.306396	-75.555595
321.652222	-75.679337
322.998047	-75.383926
324.343872	-75.978539
325.689697	-76.979591
327.035522	-76.445747
328.381348	-77.796150
329.727173	-77.151009
331.072998	-76.072571
332.418823	-76.050430
333.764648	-75.572426
335.110474	-75.804688
336.456299	-75.373138
337.802124	-75.308121
339.147949	-75.813789
340.493774	-76.250587
341.839600	-76.654167
343.185425	-75.533150
344.531250	-75.306923
345.877075	-75.915726
347.222900	-75.053253
348.568726	-74.824226
349.914551	-74.868088
351.260376	-74.939133
352.606201	-74.131218
353.952026	-76.319000
355.297852	-74.291847
356.643677	-73.863876
357.989502	-74.540184
359.335327	-75.374405
360.681152	-75.312294
362.026978	-74.689857
363.372803	-75.596275
364.718628	-75.841797
366.064453	-75.075829
367.410278	-75.581879
368.756104	-74.902184
370.101929	-74.873047
371.447754	-75.430489
372.793579	-74.850159
374.139404	-74.821236
375.485229	-74.562630
376.831055	-75.816101
378.176880	-74.882431
379.522705	-74.110954
380.868530	-74.039658
382.214355	-74.153801
383.560181	-74.577011
384.906006	-75.209045
386.251831	-75.669334
387.597656	-75.205368
388.943481	-74.616173
390.289307	-75.139366
391.635132	-75.376442
392.980957	-74.563850
394.326782	-74.768562
395.672607	-75.468842
397.018433	-73.926743
398.364258	-74.325089
399.710083	-74.205475
401.055908	-73.504601
402.401733	-73.553421
403.747559	-73.876350
405.093384	-73.496048
406.439209	-74.550377
407.785034	-74.246788
409.130859	-73.649590
410.476685	-75.150642
411.822510	-74.363602
413.168335	-74.294029
414.514160	-75.383110
415.859985	-74.588196
417.205811	-73.472916
418.551636	-73.805771
419.897461	-74.647354
421.243286	-73.511635
422.589111	-72.812103
423.934937	-73.373779
425.280762	-74.149590
426.626587	-72.991661
427.972412	-73.547478
429.318237	-73.827484
430.664062	-72.799660
432.009888	-72.387993
433.355713	-72.446434
434.701538	-72.758308
436.047363	-72.116531
437.393188	-72.886642
438.739014	-72.407852
440.084839	-72.930504
441.430664	-72.505180
442.776489	-73.207573
444.122314	-72.908401
445.468140	-72.740501
446.813965	-72.317398
448.159790	-73.226089
449.505615	-72.704018
450.851440	-72.443794
452.197266	-72.267212
453.543091	-70.394714
454.888916	-71.317642
456.234741	-71.439949
457.580566	-72.355995
458.926392	-72.150200
460.272217	-71.170311
461.618042	-71.503647
462.963867	-72.007492
464.309692	-71.777145
465.655518	-71.708267
467.001343	-71.859947
468.347168	-72.185638
469.692993	-71.538902
471.038818	-72.173698
472.384644	-71.457932
473.730469	-70.246910
475.076294	-70.860054
476.422119	-70.818321
477.767944	-71.086090
479.113770	-70.768547
480.459595	-70.644798
481.805420	-71.479683
483.151245	-71.676117
484.497070	-69.597649
485.842896	-70.104454
487.188721	-70.210754
488.534546	-69.293388
489.880371	-69.919090
491.226196	-69.696449
492.572021	-70.193108
493.917847	-71.695534
495.263672	-69.644127
496.609497	-69.234093
497.955322	-70.890640
499.301147	-70.318733
500.646973	-69.445374
501.992798	-69.128517
503.338623	-69.944633
504.684448	-69.841713
506.030273	-68.440765
507.376099	-69.443024
508.721924	-68.371933
510.067749	-68.880806
511.413574	-68.588196
512.759399	-68.321037
514.105225	-67.330605
515.451050	-67.861855
516.796875	-67.554100
518.142700	-68.086357
519.488525	-68.182022
520.834351	-68.012375
522.180176	-67.650703
523.526001	-67.935623
524.871826	-66.840973
526.217651	-66.359100
527.563477	-66.120445
528.909302	-66.921936
530.255127	-66.257622
531.600952	-67.823448
532.946777	-66.469498
534.292603	-66.973305
535.638428	-66.549965
536.984253	-65.381752
538.330078	-65.206657
539.675903	-66.592117
541.021729	-66.691826
542.367554	-65.061523
543.713379	-66.050163
545.059204	-65.667908
546.405029	-64.397255
547.750854	-66.003258
549.096680	-65.897583
550.442505	-64.727295
551.788330	-64.493912
553.134155	-64.443954
554.479980	-64.101364
555.825806	-63.358551
557.171631	-63.156261
558.517456	-65.086441
559.863281	-64.413483
561.209106	-63.792618
562.554932	-63.885654
563.900757	-63.337414
565.246582	-63.837666
566.592407	-62.876949
567.938232	-62.249866
569.284058	-61.508644
570.629883	-62.853043
571.975708	-62.559086
573.321533	-60.699467
574.667358	-61.448166
576.013184	-61.639797
