Frequency (Hz)	Level (dB)
1.345825	-88.674911
2.691650	-88.490379
4.037476	-87.861732
5.383301	-87.368637
6.729126	-86.016106
8.074951	-84.362854
9.420776	-81.331207
10.766602	-77.233826
12.112427	-76.375160
13.458252	-74.765068
14.804077	-73.643486
16.149902	-73.494926
17.495728	-73.805145
18.841553	-74.103371
20.187378	-76.870689
21.533203	-75.147438
22.879028	-73.373558
24.224854	-76.160690
25.570679	-74.663803
26.916504	-74.187630
28.262329	-74.290237
29.608154	-71.216446
30.953979	-75.389587
32.299805	-73.849487
33.645630	-73.559151
34.991455	-71.494270
36.337280	-70.335587
37.683105	-70.089302
39.028931	-68.915176
40.374756	-68.658882
41.720581	-68.844955
43.066406	-69.083496
44.412231	-68.576187
45.758057	-69.955208
47.103882	-69.289558
48.449707	-68.726486
49.795532	-67.505119
51.141357	-66.603729
52.487183	-67.481377
53.833008	-66.485825
55.178833	-65.639153
56.524658	-65.515533
57.870483	-63.437870
59.216309	-63.280422
60.562134	-64.878304
61.907959	-63.141300
63.253784	-63.802971
64.599609	-65.610413
65.945435	-67.853035
67.291260	-67.993561
68.637085	-70.889473
69.982910	-66.773109
71.328735	-67.692757
72.674561	-66.194778
74.020386	-64.679146
75.366211	-64.357529
76.712036	-66.206322
78.057861	-66.254524
79.403687	-66.658928
80.749512	-65.585472
82.095337	-65.891838
83.441162	-65.093658
84.786987	-64.367119
86.132812	-63.643875
87.478638	-63.992004
88.824463	-65.303772
90.170288	-64.925163
91.516113	-64.519859
92.861938	-59.530033
94.207764	-59.361908
95.553589	-64.773163
96.899414	-66.967606
98.245239	-67.871201
99.591064	-67.358101
100.936890	-67.024727
102.282715	-67.198967
103.628540	-65.589188
104.974365	-67.146530
106.320190	-66.023682
107.666016	-67.335228
109.011841	-68.498657
110.357666	-68.674675
111.703491	-67.197876
113.049316	-65.640793
114.395142	-64.268593
115.740967	-68.107544
117.086792	-68.787598
118.432617	-65.373917
119.778442	-68.623833
121.124268	-69.746353
122.470093	-69.127350
123.815918	-70.154976
125.161743	-70.212097
126.507568	-69.482635
127.853394	-70.258942
129.199219	-71.058266
130.545044	-70.715309
131.890869	-71.365120
133.236694	-71.274300
134.582520	-71.752991
135.928345	-71.357002
137.274170	-71.696823
138.619995	-73.298904
139.965820	-72.156151
141.311646	-72.459854
142.657471	-72.183586
144.003296	-71.679321
145.349121	-69.490746
146.694946	-69.959824
148.040771	-70.771698
149.386597	-69.894691
150.732422	-69.984093
152.078247	-69.483795
153.424072	-69.970383
154.769897	-70.540154
156.115723	-69.471619
157.461548	-69.339508
158.807373	-70.503479
160.153198	-72.041061
161.499023	-72.138489
162.844849	-71.799767
164.190674	-71.492371
165.536499	-72.413048
166.882324	-72.854668
168.228149	-72.252129
169.573975	-72.294357
170.919800	-72.384827
172.265625	-72.587135
173.611450	-72.898750
174.957275	-72.687523
176.303101	-72.438240
177.648926	-72.170647
178.994751	-71.968948
180.340576	-71.195763
