Frequency (Hz)	Level (dB)
1.345825	-46.599174
2.691650	-46.787479
4.037476	-46.418377
5.383301	-47.306240
6.729126	-47.185219
8.074951	-47.301666
9.420776	-46.271976
10.766602	-46.786221
12.112427	-46.918659
13.458252	-48.117851
14.804077	-47.978916
16.149902	-48.440704
17.495728	-47.177067
18.841553	-46.791489
20.187378	-47.673035
21.533203	-46.715794
22.879028	-45.997562
24.224854	-46.697037
25.570679	-47.510288
26.916504	-46.642189
28.262329	-46.864403
29.608154	-47.199753
30.953979	-45.928135
32.299805	-47.116016
33.645630	-46.102798
34.991455	-46.994740
36.337280	-46.694317
37.683105	-45.884045
39.028931	-48.570560
40.374756	-47.080856
41.720581	-46.955891
43.066406	-46.722698
44.412231	-47.968521
45.758057	-46.664597
47.103882	-47.393719
48.449707	-46.987492
49.795532	-46.568733
51.141357	-46.780224
52.487183	-48.595692
53.833008	-47.762524
55.178833	-47.265400
56.524658	-47.151752
57.870483	-46.951782
59.216309	-46.102081
60.562134	-47.531582
61.907959	-46.521049
63.253784	-46.511257
64.599609	-47.198608
65.945435	-46.974854
67.291260	-47.879459
68.637085	-47.536194
69.982910	-46.348858
71.328735	-48.256008
72.674561	-46.769005
74.020386	-47.065651
75.366211	-46.749828
76.712036	-47.128407
78.057861	-46.873581
79.403687	-46.340057
80.749512	-47.223434
82.095337	-46.691654
83.441162	-47.361393
84.786987	-47.984802
86.132812	-48.547352
87.478638	-46.455910
88.824463	-47.141087
90.170288	-47.225292
91.516113	-46.582108
92.861938	-47.275581
94.207764	-47.964725
95.553589	-46.399796
96.899414	-47.530846
98.245239	-47.806561
99.591064	-47.403885
100.936890	-46.555397
102.282715	-46.887981
103.628540	-46.509563
104.974365	-47.080406
106.320190	-46.253548
107.666016	-45.502598
109.011841	-47.236221
110.357666	-47.430794
111.703491	-48.099236
113.049316	-47.175320
114.395142	-46.947308
115.740967	-46.343071
117.086792	-47.169010
118.432617	-47.502274
119.778442	-46.064484
121.124268	-46.569885
122.470093	-47.158234
123.815918	-47.734421
125.161743	-47.413071
126.507568	-46.510712
127.853394	-47.906372
129.199219	-46.464340
130.545044	-47.526791
131.890869	-46.735271
133.236694	-45.378231
134.582520	-46.979736
135.928345	-46.781616
137.274170	-46.154175
138.619995	-46.998611
139.965820	-46.023586
141.311646	-46.010395
142.657471	-46.700066
144.003296	-46.901619
145.349121	-46.665760
146.694946	-46.572769
148.040771	-47.004280
149.386597	-47.423325
150.732422	-45.499313
152.078247	-45.295582
153.424072	-47.074371
154.769897	-47.237885
156.115723	-46.768215
157.461548	-47.176502
158.807373	-47.256813
160.153198	-46.987991
161.499023	-46.895370
162.844849	-47.211319
164.190674	-46.213966
165.536499	-47.087929
166.882324	-47.101990
168.228149	-46.744919
169.573975	-46.108475
170.919800	-47.008759
172.265625	-46.567215
173.611450	-47.443130
174.957275	-47.438515
176.303101	-47.540955
177.648926	-46.496803
178.994751	-46.922562
180.340576	-47.353168
181.686401	-47.494144
183.032227	-46.580143
184.378052	-46.090458
185.723877	-46.800507
187.069702	-46.145878
188.415527	-47.285255
189.761353	-46.917202
