"Date","Time","Lab_Temp_C","Lab_Pressure_kPa","Lab_Rel_Humidity","Gas_Flow_LPM","FlowSens_Gas_Temp_C","Thermocouple1_Temp_C","Thermocouple2_Temp_C","Purge_Gas"
"2025-09-01","11:26:15.826 AM","25.62","97.24","36.448","0","24.91","23.38","23.34","None"
"2025-09-01","11:26:16.074 AM","25.62","97.24","36.448","0","24.91","23.38","23.27","None"
"2025-09-01","11:26:16.361 AM","25.62","97.239","36.442","0","24.85","23.38","23.27","None"
"2025-09-01","11:26:16.581 AM","25.62","97.239","36.442","0","24.85","23.39","23.27","None"
"2025-09-01","11:26:16.832 AM","25.62","97.239","36.442","0","24.85","23.39","23.30","None"
"2025-09-01","11:26:17.077 AM","25.62","97.237","36.442","0","24.865","23.39","23.30","None"
"2025-09-01","11:26:17.330 AM","25.62","97.237","36.442","0","24.865","23.48","23.30","None"
"2025-09-01","11:26:17.580 AM","25.62","97.237","36.442","0","24.865","23.48","23.36","None"
"2025-09-01","11:26:17.827 AM","25.62","97.238","36.431","0","24.925","23.48","23.36","None"
"2025-09-01","11:26:18.080 AM","25.62","97.238","36.431","0","24.925","23.52","23.36","None"
"2025-09-01","11:26:18.329 AM","25.62","97.238","36.431","0","24.925","23.52","23.33","None"
"2025-09-01","11:26:18.577 AM","25.62","97.237","36.437","0","24.905","23.52","23.33","None"
"2025-09-01","11:26:18.830 AM","25.62","97.237","36.437","0","24.905","23.47","23.37","None"
"2025-09-01","11:26:19.083 AM","25.62","97.237","36.437","0","24.905","23.47","23.37","None"
"2025-09-01","11:26:19.346 AM","25.62","97.236","36.437","0","24.92","23.47","23.37","None"
"2025-09-01","11:26:19.590 AM","25.62","97.236","36.437","0","24.92","23.39","23.33","None"
"2025-09-01","11:26:19.839 AM","25.62","97.236","36.437","0","24.92","23.39","23.33","None"
"2025-09-01","11:26:20.090 AM","25.62","97.239","36.431","0","24.89","23.39","23.33","None"
"2025-09-01","11:26:20.341 AM","25.62","97.239","36.431","0","24.89","23.41","23.38","None"
"2025-09-01","11:26:20.629 AM","25.62","97.239","36.431","0","24.89","23.41","23.38","None"
"2025-09-01","11:26:20.863 AM","25.61","97.242","36.43","0","24.86","23.38","23.38","None"
"2025-09-01","11:26:21.110 AM","25.61","97.242","36.43","0","24.86","23.38","23.33","None"
"2025-09-01","11:26:21.362 AM","25.61","97.242","36.43","0","24.86","23.38","23.33","None"
"2025-09-01","11:26:21.615 AM","25.61","97.238","36.43","0","24.925","23.41","23.33","None"
"2025-09-01","11:26:21.869 AM","25.61","97.238","36.43","0","24.925","23.41","23.34","None"
"2025-09-01","11:26:22.111 AM","25.61","97.235","36.424","0","24.88","23.41","23.34","None"
"2025-09-01","11:26:22.364 AM","25.61","97.235","36.424","0","24.88","23.37","23.34","None"
"2025-09-01","11:26:22.611 AM","25.61","97.235","36.424","0","24.88","23.37","23.36","None"
"2025-09-01","11:26:22.863 AM","25.61","97.235","36.436","0","24.94","23.37","23.36","None"
"2025-09-01","11:26:23.117 AM","25.61","97.235","36.436","0","24.94","23.47","23.36","None"
"2025-09-01","11:26:23.364 AM","25.61","97.235","36.436","0","24.94","23.47","23.33","None"
"2025-09-01","11:26:23.629 AM","25.61","97.233","36.436","0","24.94","23.47","23.33","None"
"2025-09-01","11:26:23.876 AM","25.61","97.233","36.436","0","24.94","23.41","23.37","None"
"2025-09-01","11:26:24.145 AM","25.61","97.233","36.436","0","24.94","23.41","23.37","None"
"2025-09-01","11:26:24.402 AM","25.61","97.231","36.436","0","24.925","23.41","23.37","None"
