"Date","Time","Lab_Temp_C","Lab_Pressure_kPa","Lab_Rel_Humidity","Gas_Flow_LPM","FlowSens_Gas_Temp_C","Thermocouple1_Temp_C","Thermocouple2_Temp_C","Purge_Gas"
"2025-09-03","2:23:03.338 PM","25.41","96.931","36.705","0","24.66","23.07","23.14","None"
"2025-09-03","2:23:03.629 PM","25.41","96.931","36.705","0","24.66","23.09","23.14","None"
"2025-09-03","2:23:03.858 PM","25.41","96.931","36.705","0","24.66","23.09","23.07","None"
"2025-09-03","2:23:04.110 PM","25.41","96.93","36.693","0","24.665","23.09","23.07","None"
"2025-09-03","2:23:04.371 PM","25.41","96.93","36.693","0","24.665","23.05","23.05","None"
"2025-09-03","2:23:04.623 PM","25.41","96.93","36.693","0","24.665","23.05","23.05","None"
"2025-09-03","2:23:04.872 PM","25.41","96.928","36.699","0","24.69","23.05","23.05","None"
"2025-09-03","2:23:05.125 PM","25.41","96.928","36.699","0","24.69","23.13","23.07","None"
"2025-09-03","2:23:05.376 PM","25.41","96.928","36.699","0","24.69","23.13","23.07","None"
"2025-09-03","2:23:05.635 PM","25.41","96.926","36.705","0","24.63","23.16","23.07","None"
"2025-09-03","2:23:05.874 PM","25.41","96.926","36.705","0","24.63","23.16","23.05","None"
"2025-09-03","2:23:06.122 PM","25.41","96.926","36.705","0","24.63","23.16","23.05","None"
"2025-09-03","2:23:06.372 PM","25.41","96.928","36.711","0","24.675","23.09","23.05","None"
"2025-09-03","2:23:06.628 PM","25.41","96.928","36.711","0","24.675","23.09","23.13","None"
"2025-09-03","2:23:06.876 PM","25.41","96.928","36.711","0","24.675","23.09","23.13","None"
"2025-09-03","2:23:07.126 PM","25.41","96.927","36.693","0","24.665","23.12","23.13","None"
"2025-09-03","2:23:07.382 PM","25.41","96.927","36.693","0","24.665","23.12","23.08","None"
"2025-09-03","2:23:07.633 PM","25.41","96.926","36.682","0","24.68","23.12","23.08","None"
"2025-09-03","2:23:07.919 PM","25.41","96.926","36.682","0","24.68","23.08","23.08","None"
"2025-09-03","2:23:08.144 PM","25.41","96.926","36.682","0","24.68","23.08","23.05","None"
"2025-09-03","2:23:08.393 PM","25.41","96.928","36.711","0","24.65","23.08","23.05","None"
"2025-09-03","2:23:08.651 PM","25.41","96.928","36.711","0","24.65","23.07","23.05","None"
"2025-09-03","2:23:08.899 PM","25.41","96.928","36.711","0","24.65","23.07","23.05","None"
"2025-09-03","2:23:09.151 PM","25.41","96.932","36.699","0","24.635","23.07","23.05","None"
"2025-09-03","2:23:09.402 PM","25.41","96.932","36.699","0","24.635","23.14","23.09","None"
"2025-09-03","2:23:09.646 PM","25.41","96.932","36.699","0","24.635","23.14","23.09","None"
"2025-09-03","2:23:09.897 PM","25.42","96.932","36.688","0","24.615","23.14","23.09","None"
"2025-09-03","2:23:10.157 PM","25.42","96.932","36.688","0","24.615","23.12","23.07","None"
"2025-09-03","2:23:10.407 PM","25.42","96.932","36.688","0","24.615","23.12","23.07","None"
"2025-09-03","2:23:10.662 PM","25.42","96.93","36.694","0","24.695","23.05","23.07","None"
"2025-09-03","2:23:10.911 PM","25.42","96.93","36.694","0","24.695","23.05","23.14","None"
"2025-09-03","2:23:11.164 PM","25.42","96.93","36.694","0","24.695","23.05","23.14","None"
