Frequency (Hz)	Level (dB)
0.672913	-97.978653
1.345825	-97.793640
2.018738	-98.178940
2.691650	-98.404282
3.364563	-97.939117
4.037476	-95.625771
4.710388	-96.638802
5.383301	-96.269341
6.056213	-94.371719
6.729126	-93.215790
7.402039	-94.104134
8.074951	-95.604233
8.747864	-94.963821
9.420776	-93.658585
10.093689	-90.531990
10.766602	-90.117661
11.439514	-89.452080
12.112427	-88.872032
12.785339	-88.923027
13.458252	-88.615250
14.131165	-89.149620
14.804077	-89.117630
15.476990	-88.822701
16.149902	-88.288307
16.822815	-88.125511
17.495728	-88.260284
18.168640	-87.272461
18.841553	-87.289520
19.514465	-86.746284
20.187378	-88.871803
20.860291	-87.082748
21.533203	-86.985786
22.206116	-86.628746
22.879028	-83.859146
23.551941	-84.907837
24.224854	-86.266670
24.897766	-86.495049
25.570679	-84.529564
26.243591	-84.852341
26.916504	-85.697205
27.589417	-85.184708
28.262329	-84.306244
28.935242	-84.366791
29.608154	-83.572838
30.281067	-85.249435
30.953979	-85.371468
31.626892	-85.019554
32.299805	-85.310326
32.972717	-85.959549
33.645630	-85.522652
34.318542	-86.933014
34.991455	-85.604256
35.664368	-83.909813
36.337280	-84.620903
37.010193	-84.009521
37.683105	-83.510208
38.356018	-84.646217
39.028931	-86.148926
39.701843	-85.065392
40.374756	-85.301559
41.047668	-85.173309
41.720581	-84.492935
42.393494	-85.686882
43.066406	-85.696144
43.739319	-83.712936
44.412231	-83.438194
45.085144	-84.471565
45.758057	-81.950905
46.430969	-83.019577
47.103882	-85.359528
47.776794	-83.918449
48.449707	-84.165680
49.122620	-83.220306
49.795532	-81.951988
50.468445	-80.888313
51.141357	-83.476936
51.814270	-83.067055
52.487183	-81.465034
53.160095	-80.605347
53.833008	-80.679337
54.505920	-81.464821
55.178833	-80.410027
55.851746	-82.261566
56.524658	-81.099808
57.197571	-79.703156
57.870483	-80.599243
58.543396	-81.621437
59.216309	-80.004524
59.889221	-79.506622
60.562134	-79.378365
61.235046	-79.628571
61.907959	-79.468025
62.580872	-78.325150
63.253784	-78.329376
63.926697	-81.518417
64.599609	-82.763458
65.272522	-82.867867
65.945435	-81.356140
66.618347	-79.410263
67.291260	-83.012642
67.964172	-82.061592
68.637085	-82.082230
69.309998	-81.679047
69.982910	-81.968834
70.655823	-80.688011
71.328735	-81.774330
72.001648	-81.436493
72.674561	-81.713531
73.347473	-81.367226
74.020386	-80.270851
74.693298	-80.260757
75.366211	-79.461235
76.039124	-81.482941
76.712036	-81.514763
77.384949	-81.573364
78.057861	-82.414955
78.730774	-81.964607
79.403687	-82.489647
80.076599	-81.422119
80.749512	-82.201485
81.422424	-82.168442
82.095337	-81.368515
82.768250	-81.600182
83.441162	-82.221031
84.114075	-80.924850
84.786987	-80.155228
85.459900	-80.122261
86.132812	-80.692322
86.805725	-80.049171
87.478638	-79.958961
88.151550	-80.057190
88.824463	-80.402901
89.497375	-80.874405
90.170288	-80.763451
90.843201	-81.358131
91.516113	-80.453461
92.189026	-82.439644
92.861938	-81.447975
93.534851	-81.652687
94.207764	-81.004738
94.880676	-81.402832
95.553589	-81.256645
96.226501	-81.684502
96.899414	-81.012321
97.572327	-81.948677
98.245239	-81.698135
98.918152	-82.001572
99.591064	-81.532379
100.263977	-80.493721
100.936890	-81.578285
101.609802	-80.380562
102.282715	-80.128525
102.955627	-79.459518
103.628540	-80.343102
104.301453	-81.743454
104.974365	-80.706070
105.647278	-80.801964
106.320190	-80.509285
106.993103	-79.779053
107.666016	-81.233147
108.338928	-80.093605
109.011841	-80.849930
109.684753	-80.836372
110.357666	-80.401306
111.030579	-80.641563
111.703491	-80.905357
112.376404	-80.354256
113.049316	-79.044373
113.722229	-80.082031
114.395142	-78.803825
115.068054	-80.333298
115.740967	-79.392540
116.413879	-79.090424
117.086792	-79.643616
117.759705	-80.776405
118.432617	-78.278496
119.105530	-78.396667
119.778442	-78.918297
120.451355	-75.937027
121.124268	-72.499489
121.797180	-78.307144
122.470093	-78.790794
123.143005	-79.908775
123.815918	-79.519608
124.488831	-79.458199
125.161743	-80.648621
125.834656	-80.209869
126.507568	-79.739967
127.180481	-79.365608
127.853394	-79.714287
128.526306	-78.919746
129.199219	-79.726875
129.872131	-79.952507
130.545044	-80.210182
131.217957	-80.016197
131.890869	-79.460022
132.563782	-79.591698
133.236694	-78.933929
133.909607	-79.099434
134.582520	-79.567535
135.255432	-78.793823
135.928345	-79.155334
136.601257	-80.021179
137.274170	-79.180099
137.947083	-78.354317
138.619995	-78.811600
139.292908	-78.206650
139.965820	-78.260414
140.638733	-78.588783
141.311646	-78.972847
