Frequency (Hz)	Level (dB)
1.345825	-89.036316
2.691650	-89.011635
4.037476	-88.855621
5.383301	-88.891144
6.729126	-88.486267
8.074951	-88.822662
9.420776	-88.876259
10.766602	-88.624641
12.112427	-88.158859
13.458252	-89.012482
14.804077	-88.517006
16.149902	-88.423103
17.495728	-88.054131
18.841553	-87.364494
20.187378	-87.508820
21.533203	-87.635735
22.879028	-87.941513
24.224854	-87.372192
25.570679	-87.298355
26.916504	-87.053383
28.262329	-87.268822
29.608154	-87.045654
30.953979	-87.767342
32.299805	-86.197853
33.645630	-86.752731
34.991455	-87.507446
36.337280	-86.632713
37.683105	-86.459068
39.028931	-86.952568
40.374756	-86.125145
41.720581	-86.285774
43.066406	-86.425499
44.412231	-87.038254
45.758057	-85.754128
47.103882	-86.260971
48.449707	-86.813354
49.795532	-85.994194
51.141357	-85.589165
52.487183	-85.916153
53.833008	-85.572678
55.178833	-85.876694
56.524658	-85.476585
57.870483	-84.356750
59.216309	-85.045959
60.562134	-85.466545
61.907959	-85.160362
63.253784	-85.482628
64.599609	-85.533562
65.945435	-85.111565
67.291260	-84.806770
68.637085	-85.023201
69.982910	-84.274673
71.328735	-84.295120
72.674561	-84.770386
74.020386	-84.950546
75.366211	-85.314026
76.712036	-85.594925
78.057861	-84.191048
79.403687	-84.367310
80.749512	-84.158165
82.095337	-84.568184
83.441162	-83.748848
84.786987	-85.036591
86.132812	-84.636116
87.478638	-84.996475
88.824463	-83.821861
90.170288	-83.412369
91.516113	-84.620689
92.861938	-83.314384
94.207764	-83.734909
95.553589	-83.549347
96.899414	-83.772049
98.245239	-84.335197
99.591064	-84.483955
100.936890	-84.301453
102.282715	-84.197617
103.628540	-84.065010
104.974365	-83.291565
106.320190	-83.203835
107.666016	-83.592537
109.011841	-84.136429
110.357666	-83.136070
111.703491	-84.095222
113.049316	-83.633835
114.395142	-82.815857
115.740967	-83.473221
117.086792	-83.000076
118.432617	-82.501038
119.778442	-82.789795
121.124268	-82.768486
122.470093	-84.294533
123.815918	-83.410667
125.161743	-82.345535
126.507568	-83.132263
127.853394	-82.217445
129.199219	-82.241653
130.545044	-82.696571
131.890869	-83.554832
133.236694	-81.313271
134.582520	-82.070045
135.928345	-82.395470
137.274170	-81.085663
138.619995	-80.349617
139.965820	-81.692261
141.311646	-80.648361
142.657471	-80.096718
144.003296	-79.763893
145.349121	-79.984909
146.694946	-78.550941
148.040771	-78.776627
149.386597	-78.043327
150.732422	-77.308296
152.078247	-74.993744
153.424072	-76.053093
154.769897	-75.129921
156.115723	-75.611107
157.461548	-75.488350
158.807373	-75.537529
