"Date","Time","Lab_Temp_C","Lab_Pressure_kPa","Lab_Rel_Humidity","Gas_Flow_LPM","FlowSens_Gas_Temp_C","Thermocouple1_Temp_C","Thermocouple2_Temp_C","Purge_Gas"
"2025-09-01","7:48:00.168 AM","25.39","97.273","36.564","1.155","24.96","23.05","23.39","Compressed Air"
"2025-09-01","7:48:00.437 AM","25.39","97.273","36.564","1.155","24.96","23.05","23.39","Compressed Air"
"2025-09-01","7:48:00.704 AM","25.39","97.274","36.587","1.156","24.855","23.02","23.39","Compressed Air"
"2025-09-01","7:48:00.968 AM","25.39","97.274","36.587","1.156","24.855","23.02","23.44","Compressed Air"
"2025-09-01","7:48:01.236 AM","25.39","97.273","36.587","1.159","24.825","23.02","23.44","Compressed Air"
"2025-09-01","7:48:01.498 AM","25.39","97.273","36.587","1.159","24.825","23.13","23.44","Compressed Air"
"2025-09-01","7:48:01.805 AM","25.39","97.273","36.587","1.159","24.825","23.13","23.44","Compressed Air"
"2025-09-01","7:48:02.027 AM","25.39","97.273","36.586","1.155","24.9","23.13","23.44","Compressed Air"
"2025-09-01","7:48:02.275 AM","25.39","97.273","36.586","1.155","24.9","23.02","23.52","Compressed Air"
"2025-09-01","7:48:02.525 AM","25.39","97.273","36.586","1.155","24.9","23.02","23.52","Compressed Air"
"2025-09-01","7:48:02.774 AM","25.38","97.273","36.575","1.159","24.87","23.09","23.52","Compressed Air"
"2025-09-01","7:48:03.030 AM","25.38","97.273","36.575","1.159","24.87","23.09","23.38","Compressed Air"
"2025-09-01","7:48:03.301 AM","25.38","97.273","36.575","1.159","24.87","23.09","23.38","Compressed Air"
"2025-09-01","7:48:03.536 AM","25.38","97.274","36.592","1.158","24.86","23.13","23.38","Compressed Air"
"2025-09-01","7:48:03.791 AM","25.38","97.274","36.592","1.158","24.86","23.13","23.36","Compressed Air"
"2025-09-01","7:48:04.038 AM","25.38","97.274","36.592","1.158","24.86","23.13","23.36","Compressed Air"
"2025-09-01","7:48:04.292 AM","25.38","97.274","36.598","1.158","24.925","23.09","23.36","Compressed Air"
"2025-09-01","7:48:04.539 AM","25.38","97.274","36.598","1.158","24.925","23.09","23.41","Compressed Air"
"2025-09-01","7:48:04.792 AM","25.38","97.275","36.586","1.158","24.92","23.09","23.41","Compressed Air"
"2025-09-01","7:48:05.038 AM","25.38","97.275","36.586","1.158","24.92","23.09","23.41","Compressed Air"
"2025-09-01","7:48:05.296 AM","25.38","97.275","36.586","1.158","24.92","23.09","23.52","Compressed Air"
"2025-09-01","7:48:05.537 AM","25.38","97.276","36.586","1.158","24.79","23.09","23.52","Compressed Air"
"2025-09-01","7:48:05.823 AM","25.38","97.276","36.586","1.158","24.79","23.16","23.52","Compressed Air"
"2025-09-01","7:48:06.062 AM","25.38","97.276","36.586","1.158","24.79","23.16","23.47","Compressed Air"
"2025-09-01","7:48:06.309 AM","25.38","97.276","36.581","1.162","24.815","23.16","23.47","Compressed Air"
"2025-09-01","7:48:06.560 AM","25.38","97.276","36.581","1.162","24.815","23.07","23.36","Compressed Air"
"2025-09-01","7:48:06.808 AM","25.38","97.276","36.581","1.162","24.815","23.07","23.36","Compressed Air"
"2025-09-01","7:48:07.058 AM","25.39","97.276","36.569","1.158","24.875","23.07","23.36","Compressed Air"
"2025-09-01","7:48:07.310 AM","25.39","97.276","36.569","1.158","24.875","23.10","23.38","Compressed Air"
"2025-09-01","7:48:07.565 AM","25.39","97.276","36.569","1.158","24.875","23.10","23.38","Compressed Air"
"2025-09-01","7:48:07.813 AM","25.39","97.273","36.569","1.163","24.795","23.10","23.38","Compressed Air"
"2025-09-01","7:48:08.060 AM","25.39","97.273","36.569","1.163","24.795","23.10","23.38","Compressed Air"
"2025-09-01","7:48:08.313 AM","25.39","97.273","36.569","1.163","24.795","23.10","23.38","Compressed Air"
"2025-09-01","7:48:08.572 AM","25.39","97.274","36.563","1.161","24.915","23.12","23.38","Compressed Air"
"2025-09-01","7:48:08.843 AM","25.39","97.274","36.563","1.161","24.915","23.12","23.43","Compressed Air"
"2025-09-01","7:48:09.067 AM","25.39","97.274","36.563","1.161","24.915","23.12","23.43","Compressed Air"
"2025-09-01","7:48:09.324 AM","25.39","97.273","36.558","1.162","24.88","23.09","23.43","Compressed Air"
"2025-09-01","7:48:09.573 AM","25.39","97.273","36.558","1.162","24.88","23.09","23.36","Compressed Air"
"2025-09-01","7:48:09.844 AM","25.39","97.273","36.558","1.161","24.89","23.09","23.36","Compressed Air"
"2025-09-01","7:48:10.142 AM","25.39","97.273","36.558","1.161","24.89","23.16","23.36","Compressed Air"
"2025-09-01","7:48:10.388 AM","25.39","97.273","36.558","1.161","24.89","23.16","23.39","Compressed Air"
"2025-09-01","7:48:10.635 AM","25.38","97.274","36.546","1.162","24.89","23.16","23.39","Compressed Air"
"2025-09-01","7:48:10.881 AM","25.38","97.274","36.546","1.162","24.89","23.13","23.41","Compressed Air"
"2025-09-01","7:48:11.136 AM","25.38","97.274","36.546","1.162","24.89","23.13","23.41","Compressed Air"
"2025-09-01","7:48:11.384 AM","25.38","97.273","36.557","1.163","24.88","23.13","23.41","Compressed Air"
"2025-09-01","7:48:11.631 AM","25.38","97.273","36.557","1.163","24.88","23.01","23.39","Compressed Air"
"2025-09-01","7:48:11.880 AM","25.38","97.273","36.557","1.163","24.88","23.01","23.39","Compressed Air"
"2025-09-01","7:48:12.134 AM","25.38","97.274","36.546","1.16","24.85","23.09","23.39","Compressed Air"
"2025-09-01","7:48:12.382 AM","25.38","97.274","36.546","1.16","24.85","23.09","23.45","Compressed Air"
"2025-09-01","7:48:12.640 AM","25.38","97.274","36.546","1.16","24.85","23.09","23.45","Compressed Air"
"2025-09-01","7:48:12.896 AM","25.38","97.274","36.546","1.164","24.825","23.05","23.45","Compressed Air"
